"iso3c","chart_type","type","window"
"ALB","yearly","deaths","5"
"ABW","yearly","deaths","8"
"AFG","yearly","deaths","7"
"AGO","yearly","deaths","6"
"AIA","yearly","deaths",
"AND","yearly","deaths","5"
"ARE","yearly","deaths","5"
"ARG","yearly","deaths","7"
"ARM","yearly","deaths","12"
"ASM","yearly","deaths","12"
"ATG","yearly","deaths","5"
"AUS","yearly","deaths","7"
"AUT","yearly","deaths","8"
"AZE","yearly","deaths","5"
"BDI","yearly","deaths","9"
"BEL","yearly","deaths","9"
"BEN","yearly","deaths","5"
"BES","yearly","deaths","9"
"BFA","yearly","deaths","5"
"BGD","yearly","deaths","12"
"BGR","yearly","deaths","5"
"BHR","yearly","deaths","5"
"BHS","yearly","deaths","12"
"BIH","yearly","deaths","12"
"BLM","yearly","deaths",
"BLR","yearly","deaths","5"
"BLZ","yearly","deaths","5"
"BMU","yearly","deaths","12"
"BOL","yearly","deaths","7"
"BRA","yearly","deaths","5"
"BRB","yearly","deaths","5"
"BRN","yearly","deaths","5"
"BTN","yearly","deaths","5"
"BWA","yearly","deaths","5"
"CAF","yearly","deaths","5"
"CAN","yearly","deaths","5"
"CHE","yearly","deaths","9"
"CHL","yearly","deaths","5"
"CHN","yearly","deaths","12"
"CIV","yearly","deaths","5"
"CMR","yearly","deaths","11"
"COD","yearly","deaths","5"
"COG","yearly","deaths","6"
"COK","yearly","deaths","5"
"COL","yearly","deaths","8"
"COM","yearly","deaths","6"
"CPV","yearly","deaths","5"
"CRI","yearly","deaths","7"
"CUB","yearly","deaths","5"
"CUW","yearly","deaths","5"
"CYM","yearly","deaths","5"
"CYP","yearly","deaths","12"
"CZE","yearly","deaths","7"
"DEU","yearly","deaths","8"
"DEU-BB","yearly","deaths","5"
"DEU-BE","yearly","deaths","5"
"DEU-BW","yearly","deaths","8"
"DEU-BY","yearly","deaths","8"
"DEU-HB","yearly","deaths","9"
"DEU-HE","yearly","deaths","7"
"DEU-HH","yearly","deaths","5"
"DEU-MV","yearly","deaths","5"
"DEU-NI","yearly","deaths","8"
"DEU-NW","yearly","deaths","8"
"DEU-RP","yearly","deaths","7"
"DEU-SH","yearly","deaths","6"
"DEU-SL","yearly","deaths","7"
"DEU-SN","yearly","deaths","9"
"DEU-ST","yearly","deaths","9"
"DEU-TH","yearly","deaths","9"
"DJI","yearly","deaths","5"
"DMA","yearly","deaths","5"
"DNK","yearly","deaths","9"
"DOM","yearly","deaths","6"
"DZA","yearly","deaths","5"
"ECU","yearly","deaths","5"
"EGY","yearly","deaths","5"
"ERI","yearly","deaths","12"
"ESH","yearly","deaths","5"
"ESP","yearly","deaths","8"
"EST","yearly","deaths","5"
"ETH","yearly","deaths","12"
"FIN","yearly","deaths","6"
"FJI","yearly","deaths","5"
"FLK","yearly","deaths",
"FRA","yearly","deaths","8"
"FRO","yearly","deaths","10"
