"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"DEU-BB","2000-2001",6221,2163117,287.6,,,,,,,,,,,,
"DEU-BB","2001-2002",5859,2135217,274.4,,,,,,,,,,,,
"DEU-BB","2002-2003",5923,2107037,281.1,,,,,,,,,,,,
"DEU-BB","2003-2004",5627,2076753,271,,,,,,,,,,,,
"DEU-BB","2004-2005",5387,2044839,263.4,,,,,,,,,,,,
"DEU-BB","2005-2006",5120,2013722,254.2,,,,,,,,,,,,
"DEU-BB","2006-2007",4981,1988161,250.5,,,,,,,,,,,,
"DEU-BB","2007-2008",4933,1963089,251.3,,,,,,,,,,,,
"DEU-BB","2008-2009",4678,1945856,240.4,,,,,,,,,,,,
"DEU-BB","2009-2010",4900,1928989,254,,,,,,,,,,,,
"DEU-BB","2010-2011",4840,1898898,254.9,,,,,,,,,,,,
"DEU-BB","2011-2012",4974,1892153,262.9,,,,,,,,,,,,
"DEU-BB","2012-2013",5243,1890091,277.4,,,,,,,,,,,,
"DEU-BB","2013-2014",5031,1895458,265.4,,,,,,,,,,,,
"DEU-BB","2014-2015",5356,1905705,281,5405,5100,5709,-49,256,-353,283.54,267.35,299.73,-2.54,13.65,-18.73
"DEU-BB","2015-2016",5288,1903477,277.8,5315,5041,5589,-27,247,-301,279.27,264.67,293.87,-1.47,13.13,-16.07
"DEU-BB","2016-2017",5292,1900119,278.5,5225,4962,5489,67,330,-197,275,260.98,289.02,3.5,17.52,-10.52
"DEU-BB","2017-2018",5277,1896410,278.3,5136,4861,5410,141,416,-133,270.73,256.13,285.33,7.57,22.17,-7.03
"DEU-BB","2018-2019",4913,1893847,259.4,5046,4741,5350,-133,172,-437,266.46,250.27,282.65,-7.06,9.13,-23.25
"DEU-BB","2019-2020",5144,1892108,271.9,4956,4607,5305,188,537,-161,262.19,243.64,280.74,9.71,28.26,-8.84
"DEU-BB","2020-2021",5339,1898194,281.3,4866,4464,5269,473,875,70,257.92,236.5,279.34,23.38,44.8,1.96
"DEU-BB","2021-2022",5380,1916855,280.7,4777,4314,5239,603,1066,141,253.65,229.02,278.28,27.05,51.68,2.42
"DEU-BE","2000-2001",7699,2876732,267.6,,,,,,,,,,,,
"DEU-BE","2001-2002",7590,2862691,265.1,,,,,,,,,,,,
"DEU-BE","2002-2003",7538,2841890,265.2,,,,,,,,,,,,
"DEU-BE","2003-2004",7054,2822125,249.9,,,,,,,,,,,,
"DEU-BE","2004-2005",7047,2805979,251.1,,,,,,,,,,,,
"DEU-BE","2005-2006",6893,2793164,246.8,,,,,,,,,,,,
"DEU-BE","2006-2007",6211,2788642,222.7,,,,,,,,,,,,
"DEU-BE","2007-2008",6324,2786250,227,,,,,,,,,,,,
"DEU-BE","2008-2009",6066,2788507,217.6,,,,,,,,,,,,
"DEU-BE","2009-2010",6179,2767318,223.2,,,,,,,,,,,,
"DEU-BE","2010-2011",5990,2700919,221.8,,,,,,,,,,,,
"DEU-BE","2011-2012",5997,2737177,219.1,,,,,,,,,,,,
"DEU-BE","2012-2013",6126,2775172,220.7,,,,,,,,,,,,
"DEU-BE","2013-2014",6000,2812493,213.3,,,,,,,,,,,,
"DEU-BE","2014-2015",6231,2853430,218.4,6148,5907,6388,83,324,-157,214.74,205.31,224.17,3.66,13.09,-5.77
"DEU-BE","2015-2016",5942,2895095,205.3,6037,5820,6254,-95,122,-312,209,200.5,217.5,-3.7,4.8,-12.2
"DEU-BE","2016-2017",5857,2925467,200.2,5926,5717,6134,-69,140,-277,203.26,195.1,211.42,-3.06,5.1,-11.22
"DEU-BE","2017-2018",5902,2949638,200.1,5815,5598,6032,87,304,-130,197.52,189.02,206.02,2.58,11.08,-5.92
"DEU-BE","2018-2019",5696,2961747,192.3,5704,5463,5944,-8,233,-248,191.78,182.35,201.21,0.52,9.95,-8.91
"DEU-BE","2019-2020",5789,2962043,195.4,5593,5317,5868,196,472,-79,186.04,175.24,196.84,9.36,20.16,-1.44
"DEU-BE","2020-2021",5986,2991899,200.2,5482,5163,5800,504,823,186,180.3,167.83,192.77,19.9,32.37,7.43
"DEU-BE","2021-2022",5971,3051118,195.7,5371,5004,5737,600,967,234,174.56,160.22,188.9,21.14,35.48,6.8
"DEU-BW","2000-2001",18286,8884534,205.8,,,,,,,,,,,,
"DEU-BW","2001-2002",17448,8885886,196.4,,,,,,,,,,,,
"DEU-BW","2002-2003",17335,8858240,195.7,,,,,,,,,,,,
"DEU-BW","2003-2004",16386,8816041,185.9,,,,,,,,,,,,
"DEU-BW","2004-2005",15954,8768372,181.9,,,,,,,,,,,,
"DEU-BW","2005-2006",15186,8724499,174.1,,,,,,,,,,,,
"DEU-BW","2006-2007",14779,8701002,169.8,,,,,,,,,,,,
"DEU-BW","2007-2008",14740,8672850,170,,,,,,,,,,,,
"DEU-BW","2008-2009",14603,8655362,168.7,,,,,,,,,,,,
"DEU-BW","2009-2010",14797,8606981,171.9,,,,,,,,,,,,
"DEU-BW","2010-2011",14905,8481404,175.7,,,,,,,,,,,,
"DEU-BW","2011-2012",14557,8511777,171,,,,,,,,,,,,
"DEU-BW","2012-2013",14767,8553694,172.6,,,,,,,,,,,,
"DEU-BW","2013-2014",14578,8628445,169,,,,,,,,,,,,
"DEU-BW","2014-2015",15142,8735958,173.3,15156,14743,15569,-14,399,-427,173.14,168.42,177.86,0.16,4.88,-4.56
"DEU-BW","2015-2016",15234,8783340,173.4,15139,14767,15512,95,467,-278,172.47,168.22,176.72,0.93,5.18,-3.32
"DEU-BW","2016-2017",14921,8820623,169.2,15122,14764,15480,-201,157,-559,171.8,167.72,175.88,-2.6,1.48,-6.68
"DEU-BW","2017-2018",15280,8837579,172.9,15105,14732,15477,175,548,-197,171.13,166.88,175.38,1.77,6.02,-2.48
"DEU-BW","2018-2019",15033,8833682,170.2,15088,14675,15501,-55,358,-468,170.46,165.74,175.18,-0.26,4.46,-4.98
"DEU-BW","2019-2020",14752,8814142,167.4,15070,14597,15544,-318,155,-792,169.79,164.39,175.19,-2.39,3.01,-7.79
"DEU-BW","2020-2021",15157,8840031,171.5,15053,14507,15600,104,650,-443,169.12,162.88,175.36,2.38,8.62,-3.86
"DEU-BW","2021-2022",15910,8927597,178.2,15036,14408,15664,874,1502,246,168.45,161.28,175.62,9.75,16.92,2.58
"DEU-BY","2000-2001",23000,10295272,223.4,,,,,,,,,,,,
"DEU-BY","2001-2002",22849,10294438,222,,,,,,,,,,,,
"DEU-BY","2002-2003",22381,10262118,218.1,,,,,,,,,,,,
"DEU-BY","2003-2004",21057,10208154,206.3,,,,,,,,,,,,
"DEU-BY","2004-2005",20427,10160620,201,,,,,,,,,,,,
"DEU-BY","2005-2006",19982,10130987,197.2,,,,,,,,,,,,
"DEU-BY","2006-2007",19499,10117396,192.7,,,,,,,,,,,,
"DEU-BY","2007-2008",19384,10085953,192.2,,,,,,,,,,,,
"DEU-BY","2008-2009",18927,10069270,188,,,,,,,,,,,,
"DEU-BY","2009-2010",18908,10066126,187.8,,,,,,,,,,,,
"DEU-BY","2010-2011",19231,10021355,191.9,,,,,,,,,,,,
"DEU-BY","2011-2012",19080,10064443,189.6,,,,,,,,,,,,
"DEU-BY","2012-2013",18921,10116050,187,,,,,,,,,,,,
"DEU-BY","2013-2014",18204,10184695,178.8,,,,,,,,,,,,
"DEU-BY","2014-2015",19198,10283513,186.7,19141,18626,19655,57,572,-457,185.92,181.1,190.74,0.78,5.6,-4.04
"DEU-BY","2015-2016",18669,10335110,180.6,18907,18443,19370,-238,226,-701,183.03,178.69,187.37,-2.43,1.91,-6.77
"DEU-BY","2016-2017",18840,10376353,181.6,18673,18228,19119,167,612,-279,180.14,175.97,184.31,1.46,5.63,-2.71
"DEU-BY","2017-2018",18590,10416839,178.5,18439,17976,18903,151,614,-313,177.25,172.91,181.59,1.25,5.59,-3.09
"DEU-BY","2018-2019",18069,10425370,173.3,18206,17692,18720,-137,377,-651,174.36,169.54,179.18,-1.06,3.76,-5.88
"DEU-BY","2019-2020",18739,10418277,179.9,17972,17383,18561,767,1356,178,171.47,165.95,176.99,8.43,13.95,2.91
"DEU-BY","2020-2021",19326,10463681,184.7,17738,17058,18419,1588,2268,907,168.58,162.21,174.95,16.12,22.49,9.75
"DEU-BY","2021-2022",20047,10577681,189.5,17505,16723,18287,2542,3324,1760,165.69,158.36,173.02,23.81,31.14,16.48
"DEU-HB","2000-2001",1643,535881,306.5,,,,,,,,,,,,
"DEU-HB","2001-2002",1559,535285,291.2,,,,,,,,,,,,
"DEU-HB","2002-2003",1645,533238,308.5,,,,,,,,,,,,
"DEU-HB","2003-2004",1552,530242,292.7,,,,,,,,,,,,
"DEU-HB","2004-2005",1452,527473,275.2,,,,,,,,,,,,
"DEU-HB","2005-2006",1433,525111,272.9,,,,,,,,,,,,
"DEU-HB","2006-2007",1364,522531,261,,,,,,,,,,,,
"DEU-HB","2007-2008",1362,520241,261.8,,,,,,,,,,,,
"DEU-HB","2008-2009",1382,519392,266.2,,,,,,,,,,,,
"DEU-HB","2009-2010",1285,517539,248.3,,,,,,,,,,,,
"DEU-HB","2010-2011",1254,513879,244,,,,,,,,,,,,
"DEU-HB","2011-2012",1291,515579,250.5,,,,,,,,,,,,
"DEU-HB","2012-2013",1402,517964,270.6,,,,,,,,,,,,
"DEU-HB","2013-2014",1256,522611,240.3,,,,,,,,,,,,
"DEU-HB","2014-2015",1361,530507,256.6,1338,1221,1454,23,140,-93,251.2,229.06,273.34,5.4,27.54,-16.74
"DEU-HB","2015-2016",1285,535729,239.9,1321,1216,1426,-36,69,-141,247.38,227.42,267.34,-7.48,12.48,-27.44
"DEU-HB","2016-2017",1283,537703,238.6,1305,1204,1406,-22,79,-123,243.56,224.38,262.74,-4.96,14.22,-24.14
"DEU-HB","2017-2018",1349,538464,250.5,1289,1184,1394,60,165,-45,239.74,219.78,259.7,10.76,30.72,-9.2
"DEU-HB","2018-2019",1247,536864,232.2,1272,1156,1389,-25,91,-142,235.92,213.78,258.06,-3.72,18.42,-25.86
"DEU-HB","2019-2020",1382,534831,258.5,1256,1122,1389,126,260,-7,232.1,206.73,257.47,26.4,51.77,1.03
"DEU-HB","2020-2021",1301,534785,243.3,1239,1085,1394,62,216,-93,228.28,198.99,257.57,15.02,44.31,-14.27
"DEU-HB","2021-2022",1443,540174,267.2,1223,1046,1400,220,397,43,224.46,190.79,258.13,42.74,76.41,9.07
"DEU-HE","2000-2001",11548,5048907,228.7,,,,,,,,,,,,
"DEU-HE","2001-2002",11346,5033804,225.4,,,,,,,,,,,,
"DEU-HE","2002-2003",11451,5006545,228.7,,,,,,,,,,,,
"DEU-HE","2003-2004",10783,4975971,216.7,,,,,,,,,,,,
"DEU-HE","2004-2005",10299,4934616,208.7,,,,,,,,,,,,
"DEU-HE","2005-2006",9843,4897962,201,,,,,,,,,,,,
"DEU-HE","2006-2007",9710,4879210,199,,,,,,,,,,,,
"DEU-HE","2007-2008",9680,4858890,199.2,,,,,,,,,,,,
"DEU-HE","2008-2009",9626,4849244,198.5,,,,,,,,,,,,
"DEU-HE","2009-2010",9385,4840379,193.9,,,,,,,,,,,,
"DEU-HE","2010-2011",9767,4807919,203.2,,,,,,,,,,,,
"DEU-HE","2011-2012",9527,4817123,197.8,,,,,,,,,,,,
"DEU-HE","2012-2013",9612,4834997,198.8,,,,,,,,,,,,
"DEU-HE","2013-2014",9277,4872798,190.4,,,,,,,,,,,,
"DEU-HE","2014-2015",9675,4925927,196.4,9540,9151,9929,135,524,-254,193.42,185.32,201.52,2.98,11.08,-5.12
"DEU-HE","2015-2016",9299,4948349,187.9,9491,9140,9841,-192,159,-542,191.92,184.62,199.22,-4.02,3.28,-11.32
"DEU-HE","2016-2017",9395,4963943,189.3,9441,9104,9778,-46,291,-383,190.42,183.41,197.43,-1.12,5.89,-8.13
"DEU-HE","2017-2018",9519,4974885,191.3,9392,9041,9742,127,478,-223,188.92,181.62,196.22,2.38,9.68,-4.92
"DEU-HE","2018-2019",9318,4978623,187.2,9342,8953,9731,-24,365,-413,187.42,179.32,195.52,-0.22,7.88,-8.32
"DEU-HE","2019-2020",9367,4970877,188.4,9293,8847,9739,74,520,-372,185.92,176.64,195.2,2.48,11.76,-6.8
"DEU-HE","2020-2021",9835,4985511,197.3,9244,8729,9758,591,1106,77,184.42,173.71,195.13,12.88,23.59,2.17
"DEU-HE","2021-2022",9925,5043935,196.8,9194,8603,9786,731,1322,139,182.92,170.61,195.23,13.88,26.19,1.57
"DEU-HH","2000-2001",3745,1430837,261.7,,,,,,,,,,,,
"DEU-HH","2001-2002",3542,1429512,247.8,,,,,,,,,,,,
"DEU-HH","2002-2003",3616,1427489,253.3,,,,,,,,,,,,
"DEU-HH","2003-2004",3394,1424377,238.3,,,,,,,,,,,,
"DEU-HH","2004-2005",3259,1425956,228.6,,,,,,,,,,,,
"DEU-HH","2005-2006",3104,1431793,216.8,,,,,,,,,,,,
"DEU-HH","2006-2007",2950,1439706,204.9,,,,,,,,,,,,
"DEU-HH","2007-2008",2927,1438546,203.5,,,,,,,,,,,,
"DEU-HH","2008-2009",2927,1441332,203.1,,,,,,,,,,,,
"DEU-HH","2009-2010",2981,1433334,208,,,,,,,,,,,,
"DEU-HH","2010-2011",2923,1396747,209.3,,,,,,,,,,,,
"DEU-HH","2011-2012",2822,1407774,200.5,,,,,,,,,,,,
"DEU-HH","2012-2013",2843,1419346,200.3,,,,,,,,,,,,
"DEU-HH","2013-2014",2720,1435799,189.4,,,,,,,,,,,,
"DEU-HH","2014-2015",2904,1458420,199.2,2851,2709,2993,53,195,-89,194.82,183.76,205.88,4.38,15.44,-6.68
"DEU-HH","2015-2016",2740,1479761,185.2,2808,2680,2936,-68,60,-196,190.22,180.25,200.19,-5.02,4.95,-14.99
