"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"ALB","2015-2016",212,,,,,,,482279,43.9,,,,,,
"ALB","2016-2017",213,,,,,,,483425,44,,,,,,
"ALB","2017-2018",229,,,,,,,479445,47.7,,,,,,
"ALB","2018-2019",173,,,,,,,471779,36.7,,,,,,
"ALB","2019-2020",175,,,,,,,461640,37.9,,,,,,
"AND","2010-2011",3,,,,,,,9200,32.6,,,,,,
"AND","2011-2012",4,,,,,,,8998,44.4,,,,,,
"AND","2012-2013",4,,,,,,,8614,46.5,,,,,,
"AND","2013-2014",0,1,-1,2,-1,1,-2,8592,0,6.98,-14.14,28.1,-6.98,14.14,-28.1
"AND","2014-2015",2,1,-1,3,1,3,-1,8588,23.3,11.64,-7.39,30.67,11.66,30.69,-7.37
"AND","2015-2016",1,1,0,3,0,1,-2,8585,11.6,16.3,-1.99,34.59,-4.7,13.59,-22.99
"AND","2016-2017",2,2,0,3,0,2,-1,8581,23.3,20.96,1.93,39.99,2.34,21.37,-16.69
"AND","2017-2018",2,2,0,4,0,2,-2,8578,23.3,25.62,4.5,46.74,-2.32,18.8,-23.44
"ARM","2015-2016",308,,,,,,,503806,61,,,,,,
"ARM","2016-2017",288,,,,,,,479226,59.9,,,,,,
"ARM","2017-2018",242,,,,,,,454633,53.3,,,,,,
"ARM","2018-2019",225,,,,,,,429546,52.5,,,,,,
"ARM","2019-2020",237,,,,,,,404097,58.8,,,,,,
"AUT","2000-2001",635,,,,,,,1015529,62.5,,,,,,
"AUT","2001-2002",631,,,,,,,1010539,62.5,,,,,,
"AUT","2002-2003",643,,,,,,,1014817,63.4,,,,,,
"AUT","2003-2004",608,,,,,,,1023412,59.4,,,,,,
"AUT","2004-2005",611,603,550,655,8,61,-44,1035059,59,57.74,52.61,62.87,1.26,6.39,-3.87
"AUT","2005-2006",558,586,535,638,-28,23,-80,1044649,53.4,55.93,50.89,60.96,-2.53,2.51,-7.56
"AUT","2006-2007",548,570,520,621,-22,28,-73,1051818,52.1,54.11,49.16,59.06,-2.01,2.94,-6.96
"AUT","2007-2008",544,554,504,604,-10,40,-60,1061938,51.2,52.3,47.42,57.18,-1.1,3.78,-5.98
"AUT","2008-2009",550,538,489,588,12,61,-38,1071243,51.3,50.48,45.66,55.31,0.82,5.64,-4.01
"AUT","2009-2010",559,522,473,571,37,86,-12,1076411,51.9,48.67,43.88,53.46,3.23,8.02,-1.56
"AUT","2010-2011",561,506,457,555,55,104,6,1079341,52,46.85,42.09,51.62,5.15,9.91,0.38
"AUT","2011-2012",485,490,441,539,-5,44,-54,1084676,44.7,45.04,40.28,49.8,-0.34,4.42,-5.1
"AUT","2012-2013",472,474,425,522,-2,47,-50,1094444,43.1,43.23,38.46,47.99,-0.13,4.64,-4.89
"AUT","2013-2014",441,457,408,507,-16,33,-66,1107820,39.8,41.41,36.62,46.2,-1.61,3.18,-6.4
"AUT","2014-2015",432,441,392,491,-9,40,-59,1125562,38.4,39.6,34.77,44.42,-1.2,3.63,-6.02
"AUT","2015-2016",404,425,375,475,-21,29,-71,1145590,35.3,37.78,32.9,42.66,-2.48,2.4,-7.36
"AUT","2016-2017",390,409,358,460,-19,32,-70,1150088,33.9,35.97,31.02,40.92,-2.07,2.88,-7.02
"AUT","2017-2018",397,393,341,445,4,56,-48,1143851,34.7,34.15,29.12,39.19,0.55,5.58,-4.49
"AUT","2018-2019",394,377,324,430,17,70,-36,1130735,34.8,32.34,27.21,37.47,2.46,7.59,-2.67
"AUT","2019-2020",354,361,307,415,-7,47,-61,1115057,31.8,30.53,25.29,35.77,1.27,6.51,-3.97
"AUT","2020-2021",410,345,290,400,65,120,10,1099217,37.3,28.71,23.35,34.07,8.59,13.95,3.23
"BEL","2000-2001",1024,,,,,,,1311946,78.1,,,,,,
"BEL","2001-2002",986,,,,,,,1304427,75.6,,,,,,
"BEL","2002-2003",925,,,,,,,1299778,71.2,,,,,,
"BEL","2003-2004",885,,,,,,,1297297,68.2,,,,,,
"BEL","2004-2005",809,,,,,,,1299530,62.2,,,,,,
"BEL","2005-2006",770,,,,,,,1307558,58.9,,,,,,
"BEL","2006-2007",773,809,743,875,-36,30,-102,1318190,58.6,60.34,55.28,65.41,-1.74,3.32,-6.81
"BEL","2007-2008",793,786,722,851,7,71,-58,1330427,59.6,58.43,53.48,63.37,1.17,6.12,-3.77
"BEL","2008-2009",757,764,701,827,-7,56,-70,1344130,56.3,56.51,51.67,61.35,-0.21,4.63,-5.05
"BEL","2009-2010",813,742,680,804,71,133,9,1360795,59.8,54.59,49.83,59.35,5.21,9.97,0.45
"BEL","2010-2011",740,720,659,781,20,81,-41,1386620,53.3,52.67,47.97,57.38,0.63,5.33,-4.08
"BEL","2011-2012",675,698,637,759,-23,38,-84,1398993,48.3,50.76,46.09,55.42,-2.46,2.21,-7.12
"BEL","2012-2013",666,676,615,736,-10,51,-70,1407885,47.3,48.84,44.18,53.49,-1.54,3.12,-6.19
"BEL","2013-2014",632,653,593,714,-21,39,-82,1410727,44.8,46.92,42.25,51.59,-2.12,2.55,-6.79
"BEL","2014-2015",606,631,570,692,-25,36,-86,1414673,42.8,45,40.3,49.71,-2.2,2.5,-6.91
"BEL","2015-2016",633,609,547,671,24,86,-38,1421609,44.5,43.09,38.33,47.85,1.41,6.17,-3.35
"BEL","2016-2017",569,587,524,650,-18,45,-81,1419406,40.1,41.17,36.33,46.01,-1.07,3.77,-5.91
"BEL","2017-2018",584,565,500,629,19,84,-45,1418025,41.2,39.25,34.31,44.19,1.95,6.89,-2.99
"BEL","2018-2019",542,543,477,609,-1,65,-67,1416888,38.3,37.33,32.27,42.4,0.97,6.03,-4.1
"BEL","2019-2020",507,520,453,588,-13,54,-81,1415023,35.8,35.42,30.21,40.62,0.38,5.59,-4.82
"BEL","2020-2021",543,498,429,568,45,114,-25,1409947,38.5,33.5,28.14,38.86,5,10.36,-0.36
"BGR","2000-2001",1039,,,,,,,1199608,86.7,,,,,,
"BGR","2001-2002",918,,,,,,,1137984,80.7,,,,,,
"BGR","2002-2003",964,,,,,,,1123304,85.8,,,,,,
"BGR","2003-2004",944,,,,,,,1102899,85.6,,,,,,
"BGR","2004-2005",949,960,893,1026,-11,56,-77,1078852,88,88.58,79.82,97.33,-0.58,8.18,-9.33
"BGR","2005-2006",894,923,858,988,-29,36,-94,1056523,84.7,86.54,77.95,95.13,-1.84,6.75,-10.43
"BGR","2006-2007",928,886,822,950,42,106,-22,1036302,89.5,84.51,76.06,92.95,4.99,13.44,-3.45
"BGR","2007-2008",885,849,786,912,36,99,-27,1018344,86.9,82.47,74.14,90.8,4.43,12.76,-3.9
"BGR","2008-2009",831,812,750,874,19,81,-43,1004323,82.8,80.43,72.2,88.67,2.37,10.6,-5.87
"BGR","2009-2010",809,775,714,837,34,95,-28,990459,81.7,78.4,70.23,86.57,3.3,11.47,-4.87
"BGR","2010-2011",699,738,677,800,-39,22,-101,977606,71.5,76.36,68.23,84.49,-4.86,3.27,-12.99
"BGR","2011-2012",662,701,640,763,-39,22,-101,961393,68.9,74.33,66.21,82.44,-5.43,2.69,-13.54
"BGR","2012-2013",623,665,603,726,-42,20,-103,940269,66.3,72.29,64.16,80.42,-5.99,2.14,-14.12
"BGR","2013-2014",616,628,566,689,-12,50,-73,914618,67.4,70.26,62.08,78.43,-2.86,5.32,-11.03
"BGR","2014-2015",599,591,529,653,8,70,-54,883022,67.9,68.22,59.98,76.46,-0.32,7.92,-8.56
"BGR","2015-2016",554,554,491,617,0,63,-63,846402,65.5,66.18,57.85,74.52,-0.68,7.65,-9.02
"BGR","2016-2017",513,517,453,581,-4,60,-68,804631,63.8,64.15,55.7,72.6,-0.35,8.1,-8.8
"BGR","2017-2018",480,480,415,545,0,65,-65,760240,63.2,62.11,53.52,70.7,1.09,9.68,-7.5
"BGR","2018-2019",480,443,377,509,37,103,-29,719269,66.8,60.08,51.32,68.83,6.72,15.48,-2.03
"BGR","2019-2020",407,406,339,474,1,68,-67,687592,59.2,58.04,49.1,66.99,1.16,10.1,-7.79
"BGR","2020-2021",558,370,301,439,188,257,119,664996,84,56.01,46.85,65.16,27.99,37.15,18.84
"CHE","2000-2001",520,,,,,,,889265,58.5,,,,,,
"CHE","2001-2002",558,,,,,,,894802,62.4,,,,,,
"CHE","2002-2003",472,,,,,,,897572,52.6,,,,,,
"CHE","2003-2004",469,,,,,,,901175,52.1,,,,,,
"CHE","2004-2005",462,440,380,501,22,82,-39,906263,51,47.9,40.22,55.58,3.1,10.78,-4.58
"CHE","2005-2006",427,430,370,489,-3,57,-62,912093,46.8,46.34,38.8,53.87,0.46,8,-7.07
"CHE","2006-2007",454,419,361,478,35,93,-24,922248,49.2,44.77,37.36,52.18,4.43,11.84,-2.98
"CHE","2007-2008",433,408,351,466,25,82,-33,942418,46,43.21,35.9,50.51,2.79,10.1,-4.51
"CHE","2008-2009",397,398,341,455,-1,56,-58,965515,41.2,41.64,34.42,48.87,-0.44,6.78,-7.67
"CHE","2009-2010",355,387,331,444,-32,24,-89,985212,36.1,40.08,32.91,47.24,-3.98,3.19,-11.14
"CHE","2010-2011",348,377,320,433,-29,28,-85,1008928,34.4,38.51,31.38,45.64,-4.11,3.02,-11.24
"CHE","2011-2012",361,366,310,422,-5,51,-61,1021947,35.3,36.95,29.83,44.07,-1.65,5.47,-8.77
"CHE","2012-2013",309,355,299,411,-46,10,-102,1033195,29.9,35.38,28.25,42.51,-5.48,1.65,-12.61
"CHE","2013-2014",305,345,288,401,-40,17,-96,1043832,29.3,33.82,26.65,40.98,-4.52,2.65,-11.68
"CHE","2014-2015",338,334,277,391,4,61,-53,1051372,32.1,32.25,25.03,39.48,-0.15,7.07,-7.38
"CHE","2015-2016",340,323,266,381,17,74,-41,1058443,32.1,30.69,23.38,37.99,1.41,8.72,-5.89
"CHE","2016-2017",307,313,254,371,-6,53,-64,1063155,28.9,29.12,21.71,36.53,-0.22,7.19,-7.63
"CHE","2017-2018",330,302,243,362,28,87,-32,1059218,31.2,27.56,20.02,35.09,3.64,11.18,-3.89
"CHE","2018-2019",323,291,231,352,32,92,-29,1051021,30.7,25.99,18.31,33.67,4.71,12.39,-2.97
"CHE","2019-2020",329,281,219,343,48,110,-14,1043631,31.5,24.43,16.58,32.27,7.07,14.92,-0.77
"CHE","2020-2021",326,270,207,333,56,119,-7,1035545,31.4,22.86,14.83,30.89,8.54,16.57,0.51
"CYP","2015-2016",45,,,,,,,137036,33,,,,,,
"CYP","2016-2017",46,,,,,,,138193,33,,,,,,
"CYP","2017-2018",35,,,,,,,138657,25.6,,,,,,
"CYP","2018-2019",35,,,,,,,138170,25.4,,,,,,
"CYP","2019-2020",51,,,,,,,138350,36.7,,,,,,
"CYP","2020-2021",55,,,,,,,136804,40.3,,,,,,
"CZE","2005-2006",908,,,,,,,1536805,59.1,,,,,,
"CZE","2006-2007",946,,,,,,,1500547,63.1,,,,,,
"CZE","2007-2008",857,839,796,881,18,61,-24,1478965,58,56.44,52.48,60.41,1.56,5.52,-2.41
"CZE","2008-2009",811,813,772,854,-2,39,-43,1454491,55.7,55.66,51.8,59.52,0.04,3.9,-3.82
"CZE","2009-2010",804,788,747,828,16,57,-24,1422794,56.5,54.88,51.11,58.64,1.62,5.39,-2.14
"CZE","2010-2011",762,762,723,802,0,39,-40,1402373,54.4,54.09,50.39,57.79,0.31,4.01,-3.39
"CZE","2011-2012",714,737,698,776,-23,16,-62,1387324,51.4,53.31,49.66,56.96,-1.91,1.74,-5.56
"CZE","2012-2013",714,711,672,750,3,42,-36,1366354,52.3,52.53,48.9,56.16,-0.23,3.4,-3.86
"CZE","2013-2014",664,686,647,724,-22,17,-60,1342656,49.5,51.74,48.11,55.37,-2.24,1.39,-5.87
"CZE","2014-2015",657,660,621,699,-3,36,-42,1310929,50.1,50.96,47.3,54.61,-0.86,2.8,-4.51
"CZE","2015-2016",626,635,595,674,-9,31,-48,1270714,49.3,50.17,46.47,53.87,-0.87,2.83,-4.57
"CZE","2016-2017",591,609,569,649,-18,22,-58,1230747,48,49.39,45.62,53.16,-1.39,2.38,-5.16
"CZE","2017-2018",583,584,543,625,-1,40,-42,1194263,48.8,48.61,44.75,52.46,0.19,4.05,-3.66
"CZE","2018-2019",598,558,516,600,40,82,-2,1159476,51.6,47.82,43.86,51.79,3.78,7.74,-0.19
"CZE","2019-2020",506,533,489,576,-27,17,-70,1124350,45,47.04,42.95,51.13,-2.04,2.05,-6.13
"CZE","2020-2021",510,507,462,552,3,48,-42,1082048,47.1,46.25,42.02,50.49,0.85,5.08,-3.39
"DEU","2000-2001",5316,,,,,,,9562616,55.6,,,,,,
"DEU","2001-2002",5085,,,,,,,9509443,53.5,,,,,,
"DEU","2002-2003",4980,,,,,,,9536958,52.2,,,,,,
"DEU","2003-2004",4722,,,,,,,9595475,49.2,,,,,,
"DEU","2004-2005",4415,,,,,,,9652883,45.7,45.08,43,47.15,0.62,2.7,-1.45
"DEU","2005-2006",4146,,,,,,,9720241,42.7,44.12,42.08,46.16,-1.42,0.62,-3.46
"DEU","2006-2007",4266,,,,,,,9782963,43.6,43.16,41.16,45.16,0.44,2.44,-1.56
"DEU","2007-2008",4150,,,,,,,9844167,42.2,42.2,40.23,44.18,0,1.97,-1.98
"DEU","2008-2009",4035,,,,,,,9890125,40.8,41.25,39.3,43.2,-0.45,1.5,-2.4
"DEU","2009-2010",4090,,,,,,,9879801,41.4,40.29,38.35,42.22,1.11,3.05,-0.82
"DEU","2010-2011",3960,,,,,,,9767128,40.5,39.33,37.4,41.26,1.17,3.1,-0.76
"DEU","2011-2012",3776,3665,3434,3896,111,342,-120,9681797,39,38.37,36.45,40.3,0.63,2.55,-1.3
"DEU","2012-2013",3477,3594,3375,3813,-117,102,-336,9686673,35.9,37.42,35.49,39.34,-1.52,0.41,-3.44
"DEU","2013-2014",3394,3522,3311,3732,-128,83,-338,9719618,34.9,36.46,34.52,38.39,-1.56,0.38,-3.49
"DEU","2014-2015",3560,3450,3244,3656,110,316,-96,9812256,36.3,35.5,33.55,37.45,0.8,2.75,-1.15
"DEU","2015-2016",3404,3379,3172,3585,25,232,-181,9958459,34.2,34.54,32.57,36.52,-0.34,1.63,-2.32
"DEU","2016-2017",3311,3307,3096,3517,4,215,-206,9931018,33.3,33.58,31.58,35.59,-0.28,1.72,-2.29
"DEU","2017-2018",3276,3235,3016,3454,41,260,-178,9874718,33.2,32.63,30.59,34.66,0.57,2.61,-1.46
"DEU","2018-2019",3117,3163,2933,3394,-46,184,-277,9771943,31.9,31.67,29.59,33.74,0.23,2.31,-1.84
"DEU","2019-2020",3043,3092,2846,3338,-49,197,-295,9632436,31.6,30.71,28.59,32.83,0.89,3.01,-1.23
"DEU","2020-2021",2992,3020,2757,3283,-28,235,-291,9471662,31.6,29.75,27.58,31.92,1.85,4.02,-0.32
"DNK","2007-2008",308,,,,,,,625396,49.3,,,,,,
"DNK","2008-2009",296,,,,,,,632392,46.8,,,,,,
