"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"ALB","2015-2016",9025,,,,,,,44689,20221,,,,,,
"ALB","2016-2017",10255,,,,,,,47489,21635.5,,,,,,
"ALB","2017-2018",9808,,,,,,,50102,19601.6,,,,,,
"ALB","2018-2019",10018,,,,,,,53073,18907.7,,,,,,
"ALB","2019-2020",10930,,,,,,,56245,19428.2,,,,,,
"AND","2010-2011",124,,,,,,,3066,4047.6,,,,,,
"AND","2011-2012",129,,,,,,,3041,4244.9,,,,,,
"AND","2012-2013",143,,,,,,,2978,4795,,,,,,
"AND","2013-2014",124,132,102,163,-8,22,-39,2903,4286,4552.4,3499.05,5605.75,-266.4,786.95,-1319.75
"AND","2014-2015",153,143,115,170,10,38,-17,2828,5420.4,5069,4119.53,6018.47,351.4,1300.87,-598.07
"AND","2015-2016",148,153,127,179,-5,21,-31,2752,5367.4,5585.6,4673.38,6497.82,-218.2,694.02,-1130.42
"AND","2016-2017",176,163,136,191,13,40,-15,2676,6550,6102.2,5152.73,7051.67,447.8,1397.27,-501.67
"AND","2017-2018",164,174,143,204,-10,21,-40,2601,6304.2,6618.8,5565.45,7672.15,-314.6,738.75,-1367.95
"ARM","2015-2016",10221,,,,,,,49316,20751.4,,,,,,
"ARM","2016-2017",11314,,,,,,,52218,21696,,,,,,
"ARM","2017-2018",10338,,,,,,,54746,18909.3,,,,,,
"ARM","2018-2019",10595,,,,,,,58177,18231.8,,,,,,
"ARM","2019-2020",11676,,,,,,,61260,19055,,,,,,
"AUT","2000-2001",34352,,,,,,,285035,12068.8,,,,,,
"AUT","2001-2002",36206,,,,,,,306673,11815.6,,,,,,
"AUT","2002-2003",38124,,,,,,,320486,11905.2,,,,,,
"AUT","2003-2004",36582,,,,,,,333921,10965,,,,,,
"AUT","2004-2005",37834,,,,,,,347858,10885.3,,,,,,
"AUT","2005-2006",38196,,,,,,,360918,10586.7,,,,,,
"AUT","2006-2007",38566,,,,,,,372402,10359.4,,,,,,
"AUT","2007-2008",39712,,,,,,,382197,10394.3,,,,,,
"AUT","2008-2009",41174,,,,,,,391596,10520.1,,,,,,
"AUT","2009-2010",41220,,,,,,,400544,10293.4,,,,,,
"AUT","2010-2011",41562,,,,,,,409676,10148.3,,,,,,
"AUT","2011-2012",43861,,,,,,,416966,10520.8,10481.14,9655.58,11306.7,39.66,865.22,-785.9
"AUT","2012-2013",44641,43952,40178,47725,689,4463,-3084,421909,10581.8,10474.87,9692.04,11257.69,106.93,889.76,-675.89
"AUT","2013-2014",42821,44347,40811,47883,-1526,2010,-5062,425657,10061,10468.59,9715.59,11221.58,-407.59,345.41,-1160.58
"AUT","2014-2015",46458,44742,41357,48128,1716,5101,-1670,428400,10844.6,10462.31,9724.69,11199.94,382.29,1119.91,-355.34
"AUT","2015-2016",42996,45138,41804,48471,-2142,1192,-5475,429774,10005.6,10456.04,9718.41,11193.66,-450.44,287.19,-1188.06
"AUT","2016-2017",47024,45533,42148,48918,1491,4876,-1894,432775,10867.1,10449.76,9696.77,11202.76,417.34,1170.33,-335.66
"AUT","2017-2018",46006,45929,42393,49464,77,3613,-3458,436231,10549.7,10443.48,9660.66,11226.31,106.22,889.04,-676.61
"AUT","2018-2019",46019,46324,42551,50097,-305,3468,-4078,449810,10242.8,10437.21,9611.65,11262.77,-194.41,631.15,-1019.97
"AUT","2019-2020",47450,46719,42637,50802,731,4813,-3352,479385,9907.5,10430.93,9551.62,11310.24,-523.43,355.88,-1402.74
"AUT","2020-2021",53758,47115,42666,51564,6643,11092,2194,505691,10650.8,10424.66,9482.46,11366.85,226.14,1168.34,-716.05
"BEL","2000-2001",46734,,,,,,,379135,12336.5,,,,,,
"BEL","2001-2002",48157,,,,,,,398083,12104.9,,,,,,
"BEL","2002-2003",50054,,,,,,,414877,12070.7,,,,,,
"BEL","2003-2004",49749,,,,,,,432080,11528.8,,,,,,
"BEL","2004-2005",50411,,,,,,,450706,11195.8,,,,,,
"BEL","2005-2006",50895,,,,,,,468770,10863.1,,,,,,
"BEL","2006-2007",49399,,,,,,,486472,10160,,,,,,
"BEL","2007-2008",53463,,,,,,,503440,10626.7,,,,,,
"BEL","2008-2009",54247,,,,,,,519164,10457.5,,,,,,
"BEL","2009-2010",54858,,,,,,,536425,10232.5,10252.63,9584.87,10920.39,-20.13,647.63,-687.89
"BEL","2010-2011",55299,57593,52924,62262,-2294,2375,-6963,555978,9952.1,10218.57,9575.32,10861.82,-266.47,376.78,-909.72
"BEL","2011-2012",59948,58480,54013,62946,1468,5935,-2998,574031,10449,10184.5,9560.27,10808.73,264.5,888.73,-359.73
"BEL","2012-2013",61282,59367,55050,63683,1915,6232,-2401,587682,10431.3,10150.44,9539.21,10761.66,280.86,892.09,-330.36
"BEL","2013-2014",58050,60254,56030,64478,-2204,2020,-6428,599281,9689.8,10116.37,9511.76,10720.99,-426.57,178.04,-1031.19
