"iso3c","jurisdiction","type","source","min_date","max_date","age_groups"
"ABW","Aruba",2,"world_mortality",2015-01-01,2021-12-01,"all"
"ALB","Albania",3,"eurostat",2014-12-29,2021-09-13,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"ALB","Albania",2,"world_mortality",2015-01-01,2023-03-01,"all"
"AND","Andorra",3,"eurostat",2010-01-04,2018-12-31,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"AND","Andorra",2,"world_mortality",2015-01-01,2021-12-01,"all"
"ARE","United Arab Emirates",2,"world_mortality",2018-01-01,2021-12-01,"all"
"ARG","Argentina",2,"world_mortality",2015-01-01,2021-12-01,"all"
"ARM","Armenia",3,"eurostat",2014-12-29,2020-12-28,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"ARM","Armenia",2,"world_mortality",2015-01-01,2023-05-01,"all"
"ATG","Antigua And Barbuda",2,"world_mortality",2015-01-01,2021-12-01,"all"
"AUS","Australia",3,"mortality_org",2014-12-29,2023-05-22,"0-14, 15-64, 65-74, 75-84, 85+, all"
"AUS","Australia",3,"world_mortality",2014-12-29,2023-06-19,"all"
"AUT","Austria",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"AUT","Austria",3,"mortality_org",2000-01-03,2023-08-07,"0-14, 15-64, 65-74, 75-84, 85+, all"
"AUT","Austria",3,"world_mortality",2014-12-29,2023-08-07,"all"
"AZE","Azerbaijan",2,"world_mortality",2015-01-01,2023-07-01,"all"
"BEL","Belgium",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"BEL","Belgium",3,"mortality_org",2000-01-03,2023-08-14,"0-14, 15-64, 65-74, 75-84, 85+, all"
"BEL","Belgium",3,"world_mortality",2014-12-29,2023-08-14,"all"
"BGR","Bulgaria",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"BGR","Bulgaria",3,"mortality_org",2000-01-03,2023-07-31,"0-14, 15-64, 65-74, 75-84, 85+, all"
"BGR","Bulgaria",3,"world_mortality",2014-12-29,2023-07-31,"all"
"BHS","The Bahamas",2,"world_mortality",2015-01-01,2021-12-01,"all"
"BIH","Bosnia and Herzegovina",2,"world_mortality",2015-01-01,2023-06-01,"all"
"BLR","Belarus",2,"world_mortality",2015-01-01,2021-03-01,"all"
"BLZ","Belize",2,"world_mortality",2015-01-01,2021-12-01,"all"
"BMU","Bermuda",2,"world_mortality",2015-01-01,2021-12-01,"all"
"BOL","Bolivia",2,"world_mortality",2015-01-01,2022-01-01,"all"
"BRA","Brazil",2,"world_mortality",2015-01-01,2023-07-01,"all"
"BRB","Barbados",2,"world_mortality",2015-01-01,2023-03-01,"all"
"BRN","Brunei",2,"world_mortality",2015-01-01,2021-12-01,"all"
"BTN","Bhutan",2,"world_mortality",2019-01-01,2021-12-01,"all"
"CAN","Canada",3,"mortality_org",2010-01-04,2023-03-13,"0-14, 15-64, 65-74, 75-84, 85+, all"
