"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"AUS","2015-2016",24376,,,,,,,2080642,1171.9,,,,,,
"AUS","2016-2017",25380,,,,,,,2153190,1179,,,,,,
"AUS","2017-2018",26142,,,,,,,2225145,1175.4,,,,,,
"AUS","2018-2019",26072,,,,,,,2296196,1135.6,,,,,,
"AUS","2019-2020",26536,,,,,,,2363904,1122.8,,,,,,
"AUS","2020-2021",26744,,,,,,,2418483,1105.8,,,,,,
"AUS","2021-2022",28555,,,,,,,2458343,1161.5,,,,,,
"AUT","2000-2001",13299,,,,,,,659417,2017,,,,,,
"AUT","2001-2002",13155,,,,,,,652192,2017.2,,,,,,
"AUT","2002-2003",12996,,,,,,,650227,1998.8,,,,,,
"AUT","2003-2004",12233,,,,,,,667028,1834.6,,,,,,
"AUT","2004-2005",12334,,,,,,,701549,1757.5,,,,,,
"AUT","2005-2006",12002,,,,,,,732460,1638.2,,,,,,
"AUT","2006-2007",12005,,,,,,,757097,1585.7,,,,,,
"AUT","2007-2008",12296,,,,,,,774877,1586.8,,,,,,
"AUT","2008-2009",12377,,,,,,,793581,1559.2,,,,,,
"AUT","2009-2010",12671,,,,,,,805282,1573.4,,,,,,
"AUT","2010-2011",12818,,,,,,,810310,1582,,,,,,
"AUT","2011-2012",13313,,,,,,,832025,1599.5,1639.13,1549.89,1728.38,-39.63,49.61,-128.88
"AUT","2012-2013",13798,14003,13244,14761,-205,554,-963,853170,1617,1620.91,1536.29,1705.54,-3.91,80.71,-88.54
"AUT","2013-2014",13790,13741,13030,14452,49,760,-662,857340,1608.6,1602.69,1521.29,1684.09,5.91,87.31,-75.49
"AUT","2014-2015",14024,13479,12799,14160,545,1225,-136,843372,1663,1584.47,1504.73,1664.21,78.53,158.27,-1.21
"AUT","2015-2016",13007,13217,12547,13887,-210,460,-880,831685,1564,1566.25,1486.51,1645.99,-2.25,77.49,-81.99
"AUT","2016-2017",12785,12956,12275,13636,-171,510,-851,827306,1545.5,1548.03,1466.63,1629.43,-2.53,78.87,-83.93
"AUT","2017-2018",12470,12694,11983,13405,-224,487,-935,831914,1498.9,1529.81,1445.18,1614.44,-30.91,53.72,-115.54
"AUT","2018-2019",12648,12432,11674,13191,216,974,-543,839569,1506.4,1511.59,1422.35,1600.84,-5.19,84.05,-94.44
"AUT","2019-2020",12337,12170,11350,12991,167,987,-654,858324,1437.1,1493.37,1398.31,1588.43,-56.27,38.79,-151.33
"AUT","2020-2021",13954,11909,11014,12803,2045,2940,1151,884404,1577.3,1475.15,1373.3,1577.01,102.15,204,0.29
"AUT","2021-2022",14340,11647,10670,12624,2693,3670,1716,904786,1584.7,1456.93,1347.47,1566.39,127.77,237.23,18.31
"AUT","2022-2023",13846,11385,10319,12451,2461,3527,1395,921654,1502.4,1438.71,1321,1556.42,63.69,181.4,-54.02
"BEL","2000-2001",20687,,,,,,,970649,2131.3,,,,,,
"BEL","2001-2002",19958,,,,,,,967319,2063.3,,,,,,
"BEL","2002-2003",19625,,,,,,,966509,2030.5,,,,,,
"BEL","2003-2004",18896,,,,,,,966211,1955.6,,,,,,
"BEL","2004-2005",18731,,,,,,,958030,1955.4,,,,,,
"BEL","2005-2006",17251,,,,,,,938282,1838.8,,,,,,
"BEL","2006-2007",16736,,,,,,,919670,1819.9,,,,,,
"BEL","2007-2008",16300,,,,,,,912534,1786.3,,,,,,
"BEL","2008-2009",16003,,,,,,,916104,1746.8,,,,,,
"BEL","2009-2010",15771,,,,,,,924222,1706.4,,,,,,
"BEL","2010-2011",15804,,,,,,,942862,1676.2,1675.39,1600.12,1750.66,0.81,76.08,-74.46
"BEL","2011-2012",16119,15906,14965,16848,213,1154,-729,967845,1665.1,1653.11,1581.1,1725.13,11.99,84,-60.03
"BEL","2012-2013",16623,16122,15229,17015,501,1394,-392,990166,1678.3,1630.84,1561.25,1700.43,47.46,117.05,-22.13
"BEL","2013-2014",15942,16338,15479,17197,-396,463,-1255,1011835,1575.4,1608.56,1540.47,1676.66,-33.16,34.93,-101.26
"BEL","2014-2015",16285,16553,15712,17395,-268,573,-1110,1037209,1569.9,1586.29,1518.7,1653.88,-16.39,51.2,-83.98
"BEL","2015-2016",16314,16769,15928,17610,-455,386,-1296,1070534,1523.6,1564.01,1495.92,1632.11,-40.41,27.68,-108.51
"BEL","2016-2017",16767,16985,16126,17843,-218,641,-1076,1105038,1517,1541.74,1472.15,1611.33,-24.74,44.85,-94.33
"BEL","2017-2018",17559,17200,16307,18093,359,1252,-534,1135309,1546.4,1519.46,1447.45,1591.48,26.94,98.95,-45.08
"BEL","2018-2019",17680,17416,16474,18357,264,1206,-677,1159433,1524.7,1497.19,1421.92,1572.46,27.51,102.78,-47.76
"BEL","2019-2020",18638,17631,16628,18634,1007,2010,4,1182374,1575.8,1474.91,1395.65,1554.17,100.89,180.15,21.63
"BEL","2020-2021",19757,17847,16772,18922,1910,2985,835,1199029,1647.7,1452.64,1368.76,1536.52,195.06,278.94,111.18
"BEL","2021-2022",19457,18063,16908,19217,1394,2549,240,1212314,1604.9,1430.36,1341.33,1519.4,174.54,263.57,85.5
"BEL","2022-2023",18672,18278,17036,19520,394,1636,-848,1228381,1520.1,1408.09,1313.46,1502.72,112.01,206.64,17.38
"BGR","2000-2001",30361,,,,,,,841312,3609.3,,,,,,
"BGR","2001-2002",29267,,,,,,,829737,3527.6,,,,,,
"BGR","2002-2003",29542,,,,,,,817691,3613.5,,,,,,
"BGR","2003-2004",27647,,,,,,,805514,3432.9,,,,,,
"BGR","2004-2005",27221,,,,,,,793457,3431.6,,,,,,
"BGR","2005-2006",27185,,,,,,,783396,3470.7,,,,,,
"BGR","2006-2007",26103,,,,,,,771926,3382.1,,,,,,
"BGR","2007-2008",25062,,,,,,,762349,3287.7,,,,,,
"BGR","2008-2009",23269,,,,,,,754880,3082.8,,,,,,
"BGR","2009-2010",22840,,,,,,,753328,3032,,,,,,
"BGR","2010-2011",22404,,,,,,,766509,2922.6,,,,,,
"BGR","2011-2012",22844,,,,,,,782239,2919.7,,,,,,
"BGR","2012-2013",21652,,,,,,,800004,2706.2,,,,,,
"BGR","2013-2014",22578,,,,,,,820882,2749.9,,,,,,
"BGR","2014-2015",23847,23574,22398,24749,273,1449,-902,841620,2832.7,2791.14,2642.1,2940.18,41.56,190.6,-107.48
"BGR","2015-2016",23445,23923,22863,24983,-478,582,-1538,856345,2737.5,2801.46,2667.12,2935.8,-63.96,70.38,-198.3
"BGR","2016-2017",24649,24272,23254,25290,377,1395,-641,864995,2849.3,2811.78,2682.71,2940.85,37.52,166.59,-91.55
"BGR","2017-2018",24207,24621,23561,25681,-414,646,-1474,872997,2772.7,2822.1,2687.76,2956.44,-49.4,84.94,-183.74
"BGR","2018-2019",25211,24970,23794,26145,241,1417,-934,879381,2866.7,2832.42,2683.38,2981.46,34.28,183.32,-114.76
"BGR","2019-2020",24309,25319,23972,26666,-1010,337,-2357,881257,2758.5,2842.74,2672,3013.48,-84.24,86.5,-254.98
"BGR","2020-2021",35417,25668,24113,27223,9749,11304,8194,870676,4069.3,2853.06,2655.9,3050.22,1216.24,1413.4,1019.08
"BGR","2021-2022",35113,26017,24229,27805,9096,10884,7308,855244,4104,2863.38,2636.74,3090.02,1240.62,1467.26,1013.98
"BGR","2022-2023",24551,26366,24330,28402,-1815,221,-3851,840705,2920.1,2873.7,2615.56,3131.84,46.4,304.54,-211.74
"CAN","2010-2011",40092,,,,,,,2694803,1487.5,,,,,,
"CAN","2011-2012",40214,,,,,,,2841237,1415.1,,,,,,
"CAN","2012-2013",42591,,,,,,,2986545,1425.7,1420.51,1381.13,1459.89,5.19,44.57,-34.19
"CAN","2013-2014",43546,,,,,,,3125535,1392.8,1409.32,1372.42,1446.22,-16.52,20.38,-53.42
"CAN","2014-2015",46164,45860,44350,47371,304,1814,-1207,3259878,1415.7,1398.13,1362.8,1433.46,17.57,52.9,-17.76
"CAN","2015-2016",46476,47233,45871,48595,-757,605,-2119,3393136,1369.3,1386.94,1352.15,1421.73,-17.64,17.15,-52.43
"CAN","2016-2017",48876,48605,47297,49914,271,1579,-1038,3526253,1385.8,1375.75,1340.43,1411.08,10.05,45.37,-25.28
"CAN","2017-2018",50493,49978,48616,51340,515,1877,-847,3661991,1378.6,1364.56,1327.66,1401.46,14.04,50.94,-22.86
"CAN","2018-2019",51018,51350,49840,52861,-332,1178,-1843,3804554,1340.7,1353.38,1314,1392.75,-12.67,26.7,-52.05
"CAN","2019-2020",53839,52723,50992,54454,1116,2847,-615,3945143,1364.2,1342.19,1299.58,1384.79,22.01,64.62,-20.59
"CAN","2020-2021",55791,54095,52097,56094,1696,3694,-303,4066634,1371.7,1331,1284.57,1377.43,40.7,87.13,-5.73
"CAN","2021-2022",58980,55468,53170,57765,3512,5810,1215,4167563,1415.1,1319.81,1269.09,1370.52,95.29,146.01,44.58
"CHE","2000-2001",9359,,,,,,,591394,1582.5,,,,,,
"CHE","2001-2002",9504,,,,,,,595413,1596.3,,,,,,
"CHE","2002-2003",9241,,,,,,,600469,1538.9,,,,,,
"CHE","2003-2004",9165,,,,,,,606394,1511.5,,,,,,
"CHE","2004-2005",8748,,,,,,,613039,1427.1,,,,,,
"CHE","2005-2006",8458,,,,,,,621572,1360.8,,,,,,
"CHE","2006-2007",8713,,,,,,,635897,1370.3,,,,,,
"CHE","2007-2008",8730,,,,,,,654168,1334.6,1306.51,1263.26,1349.76,28.09,71.34,-15.16
"CHE","2008-2009",8718,,,,,,,673745,1293.9,1291.02,1248.96,1333.08,2.88,44.94,-39.18
"CHE","2009-2010",8800,,,,,,,692167,1271.5,1275.53,1234.44,1316.62,-4.03,37.06,-45.12
"CHE","2010-2011",8938,9045,8573,9518,-107,365,-580,712849,1253.8,1260.04,1219.69,1300.38,-6.24,34.11,-46.58
"CHE","2011-2012",9028,9126,8673,9578,-98,355,-550,735856,1226.7,1244.55,1204.7,1284.39,-17.85,22,-57.69
"CHE","2012-2013",9166,9206,8769,9643,-40,397,-477,757982,1209.1,1229.05,1189.47,1268.64,-19.95,19.63,-59.54
"CHE","2013-2014",9213,9287,8859,9714,-74,354,-501,778304,1183.8,1213.56,1173.97,1253.15,-29.76,9.83,-69.35
"CHE","2014-2015",9792,9367,8943,9792,425,849,0,795949,1230.1,1198.07,1158.23,1237.91,32.03,71.87,-7.81
"CHE","2015-2016",9631,9448,9020,9875,183,611,-244,810227,1188.7,1182.58,1142.23,1222.93,6.12,46.47,-34.23
"CHE","2016-2017",9561,9528,9091,9965,33,470,-404,818644,1167.9,1167.09,1126,1208.18,0.81,41.9,-40.28
"CHE","2017-2018",9442,9609,9156,10061,-167,286,-619,824408,1145.3,1151.6,1109.54,1193.66,-6.3,35.76,-48.36
"CHE","2018-2019",9533,9689,9217,10162,-156,316,-629,828752,1150.3,1136.11,1092.86,1179.35,14.19,57.44,-29.05
