"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"ALB","2015-2016",9171,44032,20819.9,,,,,,,,,,,,
"ALB","2016-2017",10044,46836,21428.8,,,,,,,,,,,,
"ALB","2017-2018",9834,49445,19880.9,,,,,,,,,,,,
"ALB","2018-2019",9996,52290,19106.5,,,,,,,,,,,,
"ALB","2019-2020",10229,55551,18394.9,,,,,,,,,,,,
"ALB","2020-2021",14112,61379,23242.3,,,,,,,,,,,,
"AND","2010-2011",127,3090,4113.2,,,,,,,,,,,,
"AND","2011-2012",123,3050,4027.1,,,,,,,,,,,,
"AND","2012-2013",154,2995,5153.8,,,,,,,,,,,,
"AND","2013-2014",114,2922,3906.1,124,73,176,-10,41,-62,4250.6,2404.38,6096.82,-344.5,1501.72,-2190.72
"AND","2014-2015",146,2846,5148.5,137,91,183,9,55,-37,4844.77,3180.61,6508.93,303.73,1967.89,-1360.43
"AND","2015-2016",144,2770,5189.2,150,105,194,-6,39,-50,5438.94,3840.06,7037.82,-249.74,1349.14,-1848.62
"AND","2016-2017",189,2695,6999.4,162,116,209,26,73,-20,6033.11,4368.95,7697.27,966.29,2630.45,-697.87
"AND","2017-2018",156,2619,5951.5,175,124,227,-19,32,-71,6627.28,4781.06,8473.5,-675.78,1170.44,-2522
"ARM","2015-2016",10215,48714,20960.4,,,,,,,,,,,,
"ARM","2016-2017",11242,51579,21772.9,,,,,,,,,,,,
"ARM","2017-2018",10292,54059,19038.7,,,,,,,,,,,,
"ARM","2018-2019",10619,57245,18536.2,,,,,,,,,,,,
"ARM","2019-2020",11201,60840,18390.9,,,,,,,,,,,,
"AUT","2000-2001",34022,279995,12150.6,,,,,,,,,,,,
"AUT","2001-2002",36186,302280,11963.3,,,,,,,,,,,,
"AUT","2002-2003",37647,317250,11861.5,,,,,,,,,,,,
"AUT","2003-2004",36929,330565,11171.6,,,,,,,,,,,,
"AUT","2004-2005",37690,344521,10936.1,37760,35766,39754,-70,1924,-2064,10530.95,10024.74,11037.15,405.15,911.36,-101.05
"AUT","2005-2006",37693,357849,10528.5,38420,36463,40376,-727,1230,-2683,10521.34,10024.69,11018,7.16,503.81,-489.5
"AUT","2006-2007",38427,369811,10389.2,39079,37155,41003,-652,1272,-2576,10511.74,10023.31,11000.16,-122.54,365.89,-610.96
"AUT","2007-2008",39602,379837,10424.7,39739,37842,41636,-137,1760,-2034,10502.13,10020.55,10983.72,-77.43,404.15,-559.02
"AUT","2008-2009",41249,389392,10591.7,40399,38523,42275,850,2726,-1026,10492.53,10016.33,10968.73,99.17,575.37,-377.03
"AUT","2009-2010",40515,398290,10170,41058,39198,42919,-543,1317,-2404,10482.92,10010.61,10955.24,-312.92,159.39,-785.24
"AUT","2010-2011",41666,407580,10222.4,41718,39867,43570,-52,1799,-1904,10473.32,10003.35,10943.28,-250.92,219.05,-720.88
"AUT","2011-2012",43618,415431,10497.1,42378,40530,44226,1240,3088,-608,10463.71,9994.53,10932.9,33.39,502.57,-435.8
"AUT","2012-2013",44233,420856,10508.8,43038,41186,44889,1195,3047,-656,10454.11,9984.14,10924.08,54.69,524.66,-415.28
"AUT","2013-2014",43246,424766,10180.8,43697,41837,45558,-451,1409,-2312,10444.5,9972.19,10916.82,-263.7,208.61,-736.02
"AUT","2014-2015",45509,428000,10631.6,44357,42481,46233,1152,3028,-724,10434.9,9958.7,10911.1,196.7,672.9,-279.5
"AUT","2015-2016",43916,429206,10232.3,45017,43120,46914,-1101,796,-2998,10425.29,9943.71,10906.88,-192.99,288.59,-674.58
"AUT","2016-2017",46793,432147,10827.1,45676,43752,47601,1117,3041,-808,10415.69,9927.27,10904.11,411.41,899.83,-77.01
"AUT","2017-2018",45762,434968,10521,46336,44380,48293,-574,1382,-2531,10406.09,9909.43,10902.74,114.91,611.57,-381.74
"AUT","2018-2019",45749,444428,10294.4,46996,45002,48990,-1247,747,-3241,10396.48,9890.27,10902.69,-102.08,404.13,-608.29
"AUT","2019-2020",47044,472283,9958.7,47656,45619,49692,-612,1425,-2648,10386.88,9869.86,10903.89,-428.18,88.84,-945.19
"AUT","2020-2021",53286,499810,10661.2,48315,46231,50399,4971,7055,2887,10377.27,9848.28,10906.26,283.93,812.92,-245.06
"BEL","2000-2001",46433,374403,12395.6,,,,,,,,,,,,
"BEL","2001-2002",47801,393711,12135,,,,,,,,,,,,
"BEL","2002-2003",49294,410826,11994.1,,,,,,,,,,,,
"BEL","2003-2004",50669,427696,11849.1,,,,,,,,,,,,
"BEL","2004-2005",50714,446212,11358.4,,,,,,,,,,,,
"BEL","2005-2006",49477,464405,10647.8,,,,,,,,,,,,
"BEL","2006-2007",50140,482177,10397.8,51649,47644,55655,-1509,2496,-5515,10475.35,9887.88,11062.81,-77.55,509.92,-665.01
"BEL","2007-2008",53094,499492,10624.2,52785,48876,56694,309,4218,-3600,10428.86,9855.49,11002.23,195.34,768.71,-378.03
"BEL","2008-2009",54030,515269,10483,53921,50092,57750,109,3938,-3720,10382.38,9820.8,10943.95,100.62,662.2,-460.95
"BEL","2009-2010",54035,531919,10155,55056,51291,58821,-1021,2744,-4786,10335.89,9783.67,10888.12,-180.89,371.33,-733.12
"BEL","2010-2011",55178,551220,10008.5,56192,52473,59911,-1014,2705,-4733,10289.41,9743.96,10834.85,-280.91,264.54,-826.35
"BEL","2011-2012",59882,570047,10499.2,57327,53636,61018,2555,6246,-1136,10242.92,9701.58,10784.26,256.28,797.62,-285.06
"BEL","2012-2013",60855,584710,10403.1,58463,54781,62145,2392,6074,-1290,10196.44,9656.47,10736.4,206.66,746.63,-333.3
