"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"AUS","2015-2016",63532,,,,,,,471943,13468.9,,,,,,
"AUS","2016-2017",65308,,,,,,,483029,13524.6,,,,,,
"AUS","2017-2018",66287,,,,,,,493841,13430.4,,,,,,
"AUS","2018-2019",65813,,,,,,,505635,13018.1,,,,,,
"AUS","2019-2020",66270,,,,,,,519215,12769.4,,,,,,
"AUS","2020-2021",66761,,,,,,,535440,12468,,,,,,
"AUS","2021-2022",75213,,,,,,,554194,13569.1,,,,,,
"AUT","2000-2001",23862,,,,,,,139323,17134.5,,,,,,
"AUT","2001-2002",24446,,,,,,,132755,18426,,,,,,
"AUT","2002-2003",24004,,,,,,,126239,19029.6,,,,,,
"AUT","2003-2004",22270,,,,,,,125220,17795.2,,,,,,
"AUT","2004-2005",22356,22524,20801,24248,-168,1555,-1892,133069,16794.3,15479.74,14141.06,16818.43,1314.56,2653.24,-24.13
"AUT","2005-2006",22790,23455,21764,25146,-665,1026,-2356,144347,15772.1,15423,14109.58,16736.42,349.1,1662.52,-964.32
"AUT","2006-2007",24005,24385,22722,26048,-380,1283,-2043,156488,15334.2,15366.26,14074.61,16657.91,-32.06,1259.59,-1323.71
"AUT","2007-2008",25168,25316,23676,26956,-148,1492,-1788,167932,14982.3,15309.52,14035.95,16583.09,-327.22,946.35,-1600.79
"AUT","2008-2009",26973,26247,24625,27868,726,2348,-895,177944,15154.3,15252.78,13993.45,16512.1,-98.48,1160.85,-1357.8
"AUT","2009-2010",26715,27177,25569,28786,-462,1146,-2071,187210,14262.4,15196.04,13946.99,16445.08,-933.64,315.41,-2182.68
"AUT","2010-2011",28138,28108,26508,29708,30,1630,-1570,195517,14390.4,15139.29,13896.45,16382.14,-748.89,493.95,-1991.74
"AUT","2011-2012",30032,29039,27441,30636,993,2591,-604,201904,14867.8,15082.55,13841.79,16323.32,-214.75,1026.01,-1455.52
"AUT","2012-2013",30805,29969,28369,31570,836,2436,-765,206958,14880.4,15025.81,13782.97,16268.66,-145.41,1097.43,-1388.26
"AUT","2013-2014",30505,30900,29292,32508,-395,1213,-2003,212257,14370.3,14969.07,13720.02,16218.12,-598.77,650.28,-1847.82
"AUT","2014-2015",32889,31831,30210,33452,1058,2679,-563,216828,15164.7,14912.33,13653.01,16171.65,252.37,1511.69,-1006.95
"AUT","2015-2016",32050,32762,31122,34401,-712,928,-2351,221191,14490.4,14855.59,13582.02,16129.16,-365.19,908.38,-1638.76
"AUT","2016-2017",34752,33692,32029,35355,1060,2723,-603,223945,15516,14798.85,13507.19,16090.5,717.15,2008.81,-574.5
"AUT","2017-2018",34264,34623,32932,36314,-359,1332,-2050,225638,15184.1,14742.11,13428.69,16055.53,441.99,1755.41,-871.43
"AUT","2018-2019",34140,35554,33830,37277,-1414,310,-3137,226467,15074.6,14685.37,13346.68,16024.05,389.23,1727.92,-949.45
"AUT","2019-2020",34593,36484,34724,38244,-1891,-131,-3651,226681,15260.6,14628.62,13261.37,15995.88,631.98,1999.23,-735.28
"AUT","2020-2021",37648,37415,35614,39216,233,2034,-1568,227610,16541.6,14571.88,13172.95,15970.82,1969.72,3368.65,570.78
"AUT","2021-2022",36715,38346,36500,40191,-1631,215,-3476,229600,15990.6,14515.14,13081.63,15948.66,1475.46,2908.97,41.94
"AUT","2022-2023",36497,39276,37383,41170,-2779,-886,-4673,233213,15650,14458.4,12987.62,15929.19,1191.6,2662.38,-279.19
"BEL","2000-2001",31851,,,,,,,180644,17643.1,,,,,,
"BEL","2001-2002",31504,,,,,,,173080,18213.4,,,,,,
"BEL","2002-2003",30770,,,,,,,165436,18609.9,,,,,,
"BEL","2003-2004",30298,,,,,,,162707,18640,,,,,,
"BEL","2004-2005",29672,,,,,,,173056,17126.1,,,,,,
"BEL","2005-2006",29474,,,,,,,187125,15735.1,,,,,,
"BEL","2006-2007",30368,31323,28310,34335,-955,2058,-3967,202242,15014.4,15007.48,13975.81,16039.15,6.92,1038.59,-1024.75
"BEL","2007-2008",33034,32678,29738,35618,356,3296,-2584,216071,15276,14928.7,13921.78,15935.61,347.3,1354.22,-659.61
"BEL","2008-2009",34247,34033,31153,36912,214,3094,-2665,228953,14951,14849.92,13863.71,15836.12,101.08,1087.29,-885.12
"BEL","2009-2010",34696,35387,32556,38219,-691,2140,-3523,242049,14323.8,14771.13,13801.35,15740.92,-447.33,522.45,-1417.12
"BEL","2010-2011",35850,36742,33946,39539,-892,1904,-3689,254171,14101,14692.35,13734.47,15650.24,-591.35,366.53,-1549.24
"BEL","2011-2012",39849,38097,35321,40873,1752,4528,-1024,264419,15061.2,14613.57,13662.9,15564.24,447.63,1398.3,-503.04
"BEL","2012-2013",41033,39452,36683,42221,1581,4350,-1188,273673,14983.8,14534.79,13586.54,15483.05,449.01,1397.26,-499.25
"BEL","2013-2014",39243,40807,38031,43583,-1564,1212,-4340,283878,13820.6,14456.01,13505.34,15406.68,-635.41,315.26,-1586.08
"BEL","2014-2015",43949,42162,39365,44959,1787,4584,-1010,294438,14918,14377.23,13419.35,15335.11,540.77,1498.65,-417.11
"BEL","2015-2016",41778,43517,40685,46349,-1739,1093,-4571,305772,13658.8,14298.45,13328.67,15268.23,-639.65,330.13,-1609.43
"BEL","2016-2017",46339,44872,41992,47751,1467,4347,-1412,316161,14652.2,14219.67,13233.47,15205.87,432.53,1418.73,-553.67
"BEL","2017-2018",46192,46227,43287,49167,-35,2905,-2975,324624,14223.9,14140.89,13133.97,15147.81,83.01,1089.93,-923.91
"BEL","2018-2019",46301,47582,44569,50594,-1281,1732,-4293,331420,13967.6,14062.11,13030.44,15093.78,-94.51,937.16,-1126.18
"BEL","2019-2020",50897,48937,45841,52032,1960,5056,-1135,334521,15211.5,13983.33,12923.14,15043.51,1228.17,2288.36,167.99
"BEL","2020-2021",50495,50292,47103,53480,203,3392,-2985,336552,15007.1,13904.55,12812.39,14996.7,1102.55,2194.71,10.4
"BEL","2021-2022",49047,51646,48355,54938,-2599,692,-5891,341002,14379.5,13825.77,12698.47,14953.06,553.73,1681.03,-573.56
"BEL","2022-2023",50009,53001,49599,56404,-2992,410,-6395,345808,14461.1,13746.98,12581.67,14912.3,714.12,1879.43,-451.2
"BGR","2000-2001",16977,,,,,,,73790,23033.5,,,,,,
"BGR","2001-2002",17093,,,,,,,67610,25325.3,,,,,,
"BGR","2002-2003",16204,,,,,,,62968,25774.1,,,,,,
"BGR","2003-2004",14015,,,,,,,64166,21846.1,,,,,,
"BGR","2004-2005",14752,15600,13813,17386,-848,939,-2634,70592,20857.9,20438.87,19145,21732.74,419.03,1712.9,-874.84
"BGR","2005-2006",16206,16521,14768,18274,-315,1438,-2068,77409,20903.5,20359.33,19089.88,21628.78,544.17,1813.62,-725.28
"BGR","2006-2007",17287,17442,15718,19166,-155,1569,-1879,84632,20389.3,20279.79,19031.37,21528.2,109.51,1357.93,-1138.9
"BGR","2007-2008",18220,18363,16664,20063,-143,1556,-1843,91271,19940.4,20200.24,18969.31,21431.18,-259.84,971.09,-1490.78
"BGR","2008-2009",19047,19284,17604,20965,-237,1443,-1918,98070,19409.2,20120.7,18903.54,21337.86,-711.5,505.66,-1928.66
"BGR","2009-2010",20473,20206,18539,21873,267,1934,-1400,105103,19454,20041.16,18833.93,21248.39,-587.16,620.07,-1794.39
"BGR","2010-2011",22178,21127,19468,22786,1051,2710,-608,110499,20071.1,19961.62,18760.38,21162.85,109.48,1310.72,-1091.75
"BGR","2011-2012",23680,22048,20392,23704,1632,3288,-24,115229,20538.1,19882.07,18682.84,21081.3,656.03,1855.26,-543.2
"BGR","2012-2013",22536,22969,21311,24628,-433,1225,-2092,119537,18849,19802.53,18601.3,21003.77,-953.53,247.7,-2154.77
"BGR","2013-2014",23641,23891,22224,25558,-250,1417,-1917,123575,19123.1,19722.99,18515.76,20930.22,-599.89,607.34,-1807.12
"BGR","2014-2015",25914,24812,23131,26493,1102,2783,-579,127056,20389.4,19643.45,18426.28,20860.61,745.95,1963.12,-471.21
"BGR","2015-2016",25581,25733,24033,27433,-152,1548,-1852,130069,19665.9,19563.9,18332.97,20794.84,102,1332.93,-1128.94
"BGR","2016-2017",27075,26654,24930,28378,421,2145,-1303,133772,20231.9,19484.36,18235.95,20732.77,747.54,1995.95,-500.87
"BGR","2017-2018",26161,27575,25823,29328,-1414,338,-3167,138560,18875.4,19404.82,18135.37,20674.27,-529.42,740.03,-1798.87
"BGR","2018-2019",27971,28497,26710,30283,-526,1261,-2312,143146,19532.9,19325.28,18031.41,20619.15,207.62,1501.49,-1086.25
"BGR","2019-2020",27721,29418,27593,31243,-1697,128,-3522,146122,18964,19245.73,17924.25,20567.22,-281.73,1039.75,-1603.22
"BGR","2020-2021",34114,30339,28472,32206,3775,5642,1908,143044,23862.7,19166.19,17814.09,20518.29,4696.51,6048.61,3344.41
"BGR","2021-2022",34724,31260,29347,33174,3464,5377,1550,137486,25248.8,19086.65,17701.13,20472.17,6162.15,7547.67,4776.63
"BGR","2022-2023",26475,32182,30219,34144,-5707,-3744,-7669,131641,20107.1,19007.11,17585.56,20428.65,1099.99,2521.54,-321.55
"CAN","2010-2011",84229,,,,,,,636452,13230.8,,,,,,
"CAN","2011-2012",83696,,,,,,,662956,12621.1,,,,,,
"CAN","2012-2013",89079,,,,,,,689341,12919.1,,,,,,
"CAN","2013-2014",89918,,,,,,,715197,12568,,,,,,
"CAN","2014-2015",97126,95090,87286,102894,2036,9840,-5768,741238,13099.8,12781.22,11754.82,13807.62,318.58,1344.98,-707.82
"CAN","2015-2016",93752,97896,90862,104931,-4144,2890,-11179,769328,12182.5,12746.89,11821.71,13672.07,-564.39,360.79,-1489.57
"CAN","2016-2017",101624,100702,93944,107461,922,7680,-5837,794823,12781.8,12712.56,11823.67,13601.45,69.24,958.13,-819.65
"CAN","2017-2018",105953,103509,96474,110543,2444,9479,-4590,817368,12958.6,12678.23,11753.05,13603.41,280.37,1205.55,-644.81
"CAN","2018-2019",105057,106315,98511,114119,-1258,6546,-9062,837580,12540.1,12643.9,11617.5,13670.3,-103.8,922.6,-1130.2
"CAN","2019-2020",111536,109121,100181,118062,2415,11355,-6526,855686,13030,12609.57,11433.68,13785.46,420.43,1596.32,-755.46
"CAN","2020-2021",110716,111928,101604,122251,-1212,9112,-11535,871070,12710.1,12575.24,11217.44,13933.04,134.86,1492.66,-1222.94
"CAN","2021-2022",117559,114734,102866,126601,2825,14693,-9042,887168,13249.1,12540.91,10980.08,14101.74,708.19,2269.02,-852.64
"CHE","2000-2001",23152,,,,,,,140280,16503.2,,,,,,
"CHE","2001-2002",23962,,,,,,,140718,17027.5,,,,,,
"CHE","2002-2003",24307,,,,,,,140655,17281.6,,,,,,
"CHE","2003-2004",24115,,,,,,,141550,17040.8,,,,,,
"CHE","2004-2005",24209,23644,22099,25188,565,2110,-979,145977,16574.2,,,,,,
"CHE","2005-2006",23710,24241,22726,25756,-531,984,-2046,152051,15582.3,,,,,,
"CHE","2006-2007",24440,24839,23349,26329,-399,1091,-1889,158454,15418.8,,,,,,
"CHE","2007-2008",25580,25437,23968,26906,143,1612,-1326,164076,15583.5,,,,,,
"CHE","2008-2009",26110,26034,24582,27487,76,1528,-1377,169618,15389.4,,,,,,
"CHE","2009-2010",26339,26632,25191,28073,-293,1148,-1734,175392,15011.2,,,,,,
"CHE","2010-2011",26637,27230,25796,28663,-593,841,-2026,181449,14677.6,,,,,,
"CHE","2011-2012",28310,27828,26396,29259,482,1914,-949,187006,15133.7,,,,,,
"CHE","2012-2013",29300,28425,26992,29859,875,2308,-559,191832,15268.6,,,,,,
"CHE","2013-2014",28333,29023,27582,30464,-690,751,-2131,197347,14353.7,14746.09,13518.19,15973.99,-392.39,835.51,-1620.29
"CHE","2014-2015",31087,29621,28168,31073,1466,2919,14,202637,15335.7,14614.31,13482.24,15746.38,721.39,1853.46,-410.68
"CHE","2015-2016",29166,30218,28749,31687,-1052,417,-2521,208590,13980.8,14482.52,13401.55,15563.5,-501.72,579.25,-1582.7
"CHE","2016-2017",31387,30816,29326,32306,571,2061,-919,214141,14654.9,14350.74,13269.77,15431.71,304.16,1385.13,-776.81
"CHE","2017-2018",31212,31414,29899,32929,-202,1313,-1717,219872,14192.2,14218.96,13086.89,15351.03,-26.76,1105.31,-1158.83
"CHE","2018-2019",31593,32012,30467,33556,-419,1126,-1963,225881,13982.5,14087.18,12859.28,15315.08,-104.68,1123.22,-1332.58
"CHE","2019-2020",32565,32609,31032,34186,-44,1533,-1621,231024,14092.4,13955.39,12596.36,15314.43,137.01,1496.04,-1222.03
"CHE","2020-2021",36632,33207,31593,34821,3425,5039,1811,234751,15608.9,13823.61,12307.26,15339.96,1785.29,3301.64,268.94
"CHE","2021-2022",34776,33805,32151,35458,971,2625,-682,238996,14547.6,13691.83,11999.28,15384.37,855.77,2548.32,-836.77
"CHE","2022-2023",35314,34402,32706,36099,912,2608,-785,242636,14556,13560.04,11677.71,15442.38,995.96,2878.29,-886.38
"CHL","2016-2017",29423,,,,,,,187467,15699.8,,,,,,
"CHL","2017-2018",29805,,,,,,,196311,15195.4,,,,,,
"CHL","2018-2019",30911,,,,,,,204752,15107.2,,,,,,
"CHL","2019-2020",33207,,,,,,,212541,15618.2,,,,,,
"CHL","2020-2021",36197,,,,,,,220627,16401.8,,,,,,
"CHL","2021-2022",40147,,,,,,,229296,17504.6,,,,,,
"CHL","2022-2023",37987,,,,,,,237247,16027.1,,,,,,
"CZE","2005-2006",19588,,,,,,,106900,18318.1,,,,,,
"CZE","2006-2007",21102,,,,,,,118698,17786.5,,,,,,
"CZE","2007-2008",22601,23327,21301,25354,-726,1300,-2753,130024,17373.8,17190.42,16223.13,18157.71,183.38,1150.67,-783.91
"CZE","2008-2009",24232,24388,22418,26359,-156,1814,-2127,140276,17260.5,17137.09,16196.28,18077.9,123.41,1064.22,-817.4
"CZE","2009-2010",25273,25450,23524,27375,-177,1749,-2102,149225,16932.1,17083.76,16164.68,18002.83,-151.66,767.42,-1070.73
"CZE","2010-2011",26656,26511,24620,28401,145,2036,-1745,157664,16906.5,17030.43,16127.99,17932.86,-123.93,778.51,-1026.36
"CZE","2011-2012",28175,27572,25705,29439,603,2470,-1264,165327,17032.8,16977.1,16085.93,17868.26,55.7,946.87,-835.46
"CZE","2012-2013",29490,28633,26778,30488,857,2712,-998,171961,17140.7,16923.77,16038.29,17809.24,216.93,1102.41,-668.54
"CZE","2013-2014",28611,29694,27839,31549,-1083,772,-2938,178994,15982.1,16870.43,15984.96,17755.91,-888.33,-2.86,-1773.81
