"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"ALB",2015 Jan,241,267964,90,289,246,331,-48,-5,-90,105.25,91.1,119.39,-15.25,-1.1,-29.39
"ALB",2015 Feb,230,268966,85.5,236,194,279,-6,36,-49,87.13,72.98,101.27,-1.63,12.52,-15.77
"ALB",2015 Mar,242,269969,89.5,248,205,290,-6,37,-48,90.85,76.7,104.99,-1.35,12.8,-15.49
"ALB",2015 Apr,240,271005,88.5,229,187,272,11,53,-32,84.65,70.5,98.79,3.85,18,-10.29
"ALB",2015 May,221,272042,81.4,217,174,259,4,47,-38,80.01,65.86,94.15,1.39,15.54,-12.75
"ALB",2015 Jun,206,273078,75.6,209,166,251,-3,40,-45,76.87,62.72,91.01,-1.27,12.88,-15.41
"ALB",2015 Jul,278,274115,101.5,247,204,289,31,74,-11,89.73,75.58,103.87,11.77,25.92,-2.37
"ALB",2015 Aug,260,275168,94.5,232,190,275,28,70,-15,84.59,70.44,98.73,9.91,24.06,-4.23
"ALB",2015 Sep,210,276205,76.1,222,180,265,-12,30,-55,80.61,66.46,94.75,-4.51,9.64,-18.65
"ALB",2015 Oct,199,277241,71.9,224,182,267,-25,17,-68,81.05,66.9,95.19,-9.15,5,-23.29
"ALB",2015 Nov,266,278278,95.5,245,202,287,21,64,-21,87.95,73.8,102.09,7.55,21.7,-6.59
"ALB",2015 Dec,273,279314,97.6,258,216,301,15,57,-28,91.99,77.84,106.13,5.61,19.76,-8.53
"ALB",2016 Jan,279,280362,99.7,293,251,335,-14,28,-56,103.46,89.46,117.46,-3.76,10.24,-17.76
"ALB",2016 Feb,229,281371,81.2,241,199,283,-12,30,-54,85.34,71.34,99.34,-4.14,9.86,-18.14
"ALB",2016 Mar,244,282379,86.5,252,210,294,-8,34,-50,89.06,75.06,103.06,-2.56,11.44,-16.56
"ALB",2016 Apr,232,283404,82,234,192,276,-2,40,-44,82.86,68.86,96.86,-0.86,13.14,-14.86
"ALB",2016 May,228,284429,80.3,221,179,263,7,49,-35,78.22,64.22,92.22,2.08,16.08,-11.92
"ALB",2016 Jun,218,285454,76.2,213,171,255,5,47,-37,75.08,61.08,89.08,1.12,15.12,-12.88
"ALB",2016 Jul,231,286480,80.6,251,209,293,-20,22,-62,87.94,73.94,101.94,-7.34,6.66,-21.34
"ALB",2016 Aug,234,287522,81.2,237,195,279,-3,39,-45,82.8,68.8,96.8,-1.6,12.4,-15.6
"ALB",2016 Sep,213,288547,73.8,227,185,269,-14,28,-56,78.82,64.82,92.82,-5.02,8.98,-19.02
"ALB",2016 Oct,245,289572,84.6,229,187,271,16,58,-26,79.26,65.26,93.26,5.34,19.34,-8.66
"ALB",2016 Nov,249,290597,85.6,249,207,291,0,42,-42,86.16,72.16,100.16,-0.56,13.44,-14.56
"ALB",2016 Dec,273,291622,93.6,263,221,305,10,52,-32,90.2,76.2,104.2,3.4,17.4,-10.6
"ALB",2017 Jan,331,292655,113.2,298,256,340,33,75,-9,101.68,87.73,115.63,11.52,25.47,-2.43
"ALB",2017 Feb,239,293628,81.4,245,204,287,-6,35,-48,83.56,69.61,97.51,-2.16,11.79,-16.11
"ALB",2017 Mar,234,294601,79.4,257,215,299,-23,19,-65,87.28,73.33,101.23,-7.88,6.07,-21.83
"ALB",2017 Apr,244,295607,82.7,238,197,280,6,47,-36,81.08,67.13,95.03,1.62,15.57,-12.33
"ALB",2017 May,209,296614,70.4,226,184,268,-17,25,-59,76.44,62.49,90.39,-6.04,7.91,-19.99
"ALB",2017 Jun,212,297620,71.1,218,176,260,-6,36,-48,73.3,59.35,87.25,-2.2,11.75,-16.15
"ALB",2017 Jul,267,298626,89.5,256,214,298,11,53,-31,86.16,72.21,100.11,3.34,17.29,-10.61
"ALB",2017 Aug,252,299649,84.1,241,200,283,11,52,-31,81.02,67.07,94.97,3.08,17.03,-10.87
"ALB",2017 Sep,239,300655,79.4,231,190,273,8,49,-34,77.04,63.09,90.99,2.36,16.31,-11.59
"ALB",2017 Oct,244,301661,80.7,234,192,275,10,52,-31,77.48,63.53,91.43,3.22,17.17,-10.73
"ALB",2017 Nov,259,302667,85.6,254,212,296,5,47,-37,84.38,70.43,98.33,1.22,15.17,-12.73
"ALB",2017 Dec,244,303673,80.3,268,226,309,-24,18,-65,88.42,74.47,102.37,-8.12,5.83,-22.07
"ALB",2018 Jan,304,304666,99.9,302,260,344,2,44,-40,99.9,85.9,113.9,0,14,-14
"ALB",2018 Feb,252,305580,82.4,250,208,292,2,44,-40,81.78,67.78,95.78,0.62,14.62,-13.38
"ALB",2018 Mar,310,306494,101.2,261,219,303,49,91,7,85.5,71.5,99.5,15.7,29.7,1.7
"ALB",2018 Apr,252,307439,82,243,201,285,9,51,-33,79.3,65.3,93.3,2.7,16.7,-11.3
"ALB",2018 May,251,308384,81.3,230,188,272,21,63,-21,74.66,60.66,88.66,6.64,20.64,-7.36
