"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"AUS",2015 Jan,4842,459247,1054.3,4814,4343,5284,28,499,-442,1049.1,951.32,1146.88,5.2,102.98,-92.58
"AUS",2015 Feb,4307,460363,935.5,4353,3883,4824,-46,424,-517,951.56,853.78,1049.34,-16.06,81.72,-113.84
"AUS",2015 Mar,4789,461479,1037.8,4830,4359,5300,-41,430,-511,1048.14,950.36,1145.92,-10.34,87.44,-108.12
"AUS",2015 Apr,5005,462633,1081.8,4882,4411,5352,123,594,-347,1057.46,959.68,1155.24,24.34,122.12,-73.44
"AUS",2015 May,5491,463787,1184,5501,5030,5971,-10,461,-480,1181.62,1083.84,1279.4,2.38,100.16,-95.4
"AUS",2015 Jun,5450,464942,1172.2,5632,5162,6102,-182,288,-652,1205.9,1108.12,1303.68,-33.7,64.08,-131.48
"AUS",2015 Jul,6263,466096,1343.6,6212,5741,6682,51,522,-419,1322.92,1225.14,1420.7,20.68,118.46,-77.1
"AUS",2015 Aug,6428,467269,1375.7,6431,5961,6901,-3,467,-473,1365.78,1268,1463.56,9.92,107.7,-87.86
"AUS",2015 Sep,5970,468423,1274.5,5882,5412,6353,88,558,-383,1251.22,1153.44,1349,23.28,121.06,-74.5
"AUS",2015 Oct,5315,469577,1132,5463,4993,5933,-148,322,-618,1162.7,1064.92,1260.48,-30.7,67.08,-128.48
"AUS",2015 Nov,4809,470731,1021.7,4918,4448,5388,-109,361,-579,1049.54,951.76,1147.32,-27.84,69.94,-125.62
"AUS",2015 Dec,4801,471885,1017.4,4894,4424,5364,-93,377,-563,1042.3,944.52,1140.08,-24.9,72.88,-122.68
"AUS",2016 Jan,4849,472928,1025.4,4867,4402,5333,-18,447,-484,1033.98,937.2,1130.76,-8.58,88.2,-105.36
"AUS",2016 Feb,4359,473804,919.9,4407,3942,4873,-48,417,-514,936.44,839.66,1033.22,-16.54,80.24,-113.32
"AUS",2016 Mar,4816,474679,1014.7,4883,4418,5349,-67,398,-533,1033.02,936.24,1129.8,-18.32,78.46,-115.1
"AUS",2016 Apr,4911,475569,1032.7,4935,4470,5401,-24,441,-490,1042.34,945.56,1139.12,-9.64,87.14,-106.42
"AUS",2016 May,5425,476459,1138.6,5554,5089,6020,-129,336,-595,1166.5,1069.72,1263.28,-27.9,68.88,-124.68
