"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper","asmr_who","asmr_who_baseline","asmr_who_baseline_lower","asmr_who_baseline_upper","asmr_who_excess","asmr_who_excess_lower","asmr_who_excess_upper","asmr_esp","asmr_esp_baseline","asmr_esp_baseline_lower","asmr_esp_baseline_upper","asmr_esp_excess","asmr_esp_excess_lower","asmr_esp_excess_upper","asmr_usa","asmr_usa_baseline","asmr_usa_baseline_lower","asmr_usa_baseline_upper","asmr_usa_excess","asmr_usa_excess_lower","asmr_usa_excess_upper","asmr_country","asmr_country_baseline","asmr_country_baseline_lower","asmr_country_baseline_upper","asmr_country_excess","asmr_country_excess_lower","asmr_country_excess_upper"
"ALB",2015 Q1,6539,6389,5892,6887,150,647,-348,2884635,226.7,221.53,204.4,238.67,5.17,22.3,-11.97,198.5,191.32,176.95,205.69,7.18,21.55,-7.19,519.6,495.57,453.34,537.8,24.03,66.26,-18.2,354,338.16,309.93,366.39,15.84,44.07,-12.39,281.8,271.75,251.14,292.36,10.05,30.66,-10.56
"ALB",2015 Q2,5183,5088,4591,5585,95,592,-402,2882106,179.8,176.37,159.24,193.51,3.43,20.56,-13.71,155.4,153.4,139.03,167.77,2,16.37,-12.37,394.9,388.95,346.72,431.18,5.95,48.18,-36.28,270.4,266.56,238.33,294.79,3.84,32.07,-24.39,220.3,217.15,196.54,237.76,3.15,23.76,-17.46
"ALB",2015 Q3,5251,5021,4524,5519,230,727,-268,2879547,182.3,174.14,157,191.27,8.17,25.3,-8.97,154,149.32,134.95,163.69,4.68,19.05,-9.69,383.5,372.85,330.62,415.08,10.65,52.88,-31.58,263.4,256.1,227.87,284.33,7.3,35.53,-20.93,219.9,212.17,191.56,232.78,7.73,28.34,-12.88
"ALB",2015 Q4,5264,5482,4985,5979,-218,279,-715,2876976,183,190.38,173.24,207.51,-7.38,9.76,-24.51,154.7,161.18,146.81,175.55,-6.48,7.89,-20.85,386,408.03,365.8,450.26,-22.03,20.2,-64.26,265.4,279.74,251.51,307.97,-14.34,13.89,-42.57,219.1,228.55,207.94,249.16,-9.45,11.16,-30.06
"ALB",2016 Q1,5915,6383,5900,6865,-468,15,-950,2875711,205.7,221.72,205.08,238.36,-16.02,0.62,-32.66,172.9,185.64,171.69,199.59,-12.74,1.21,-26.69,441.6,480,439.01,521,-38.4,2.59,-79.4,302.1,327.64,300.23,355.05,-25.54,1.87,-52.95,245.4,263.62,243.61,283.62,-18.22,1.79,-38.22
"ALB",2016 Q2,5024,5081,4599,5564,-57,425,-540,2875955,174.7,176.56,159.92,193.2,-1.86,14.78,-18.5,146.2,147.72,133.77,161.67,-1.52,12.43,-15.47,369.3,373.38,332.39,414.38,-4.08,36.91,-45.08,253.3,256.04,228.63,283.45,-2.74,24.67,-30.15,206.2,209.02,189.01,229.02,-2.82,17.19,-22.82
"ALB",2016 Q3,4723,5015,4532,5497,-292,191,-774,2876205,164.2,174.32,157.68,190.96,-10.12,6.52,-26.76,135.4,143.64,129.69,157.59,-8.24,5.71,-22.19,334,357.28,316.29,398.28,-23.28,17.71,-64.28,230.2,245.58,218.17,272.99,-15.38,12.03,-42.79,191.1,204.04,184.03,224.04,-12.94,7.07,-32.94
"ALB",2016 Q4,5796,5475,4993,5958,321,803,-162,2876456,201.5,190.56,173.92,207.2,10.94,27.58,-5.7,164.1,155.5,141.55,169.45,8.6,22.55,-5.35,417.9,392.47,351.47,433.46,25.43,66.43,-15.56,286.1,269.22,241.81,296.63,16.88,44.29,-10.53,233.2,220.42,200.41,240.42,12.78,32.79,-7.22
"ALB",2017 Q1,6766,6376,5898,6853,390,868,-87,2875877,235.3,221.9,205.43,238.37,13.4,29.87,-3.07,191.6,179.96,166.15,193.77,11.64,25.45,-2.17,496.8,464.44,423.87,505.01,32.36,72.93,-8.21,339.3,317.12,289.99,344.25,22.18,49.31,-4.95,270.9,255.48,235.68,275.28,15.42,35.22,-4.38
"ALB",2017 Q2,4932,5074,4597,5552,-142,335,-620,2874325,171.6,176.74,160.27,193.21,-5.14,11.33,-21.61,137.8,142.04,128.23,155.85,-4.24,9.57,-18.05,349,357.82,317.25,398.39,-8.82,31.75,-49.39,239.2,245.52,218.39,272.65,-6.32,20.81,-33.45,195.1,200.88,181.08,220.68,-5.78,14.02,-25.58
"ALB",2017 Q3,5098,5008,4530,5485,90,568,-387,2872754,177.4,174.5,158.03,190.97,2.9,19.37,-13.57,140.2,137.96,124.15,151.77,2.24,16.05,-11.57,348.5,341.72,301.15,382.29,6.78,47.35,-33.79,239.6,235.06,207.93,262.19,4.54,31.67,-22.59,199.3,195.9,176.1,215.7,3.4,23.2,-16.4
"ALB",2017 Q4,5405,5468,4991,5946,-63,414,-541,2871174,188.3,190.74,174.27,207.21,-2.44,14.03,-18.91,147.6,149.82,136.01,163.63,-2.22,11.59,-16.03,372.4,376.9,336.33,417.47,-4.5,36.07,-45.07,255.3,258.7,231.57,285.83,-3.4,23.73,-30.53,209.7,212.28,192.48,232.08,-2.58,17.22,-22.38
"ALB",2018 Q1,6302,6369,5886,6851,-67,416,-549,2869425,219.6,222.08,205.44,238.72,-2.48,14.16,-19.12,171.2,174.28,160.33,188.23,-3.08,10.87,-17.03,440.6,448.88,407.88,489.87,-8.27,32.72,-49.27,300.8,306.6,279.19,334.01,-5.8,21.61,-33.21,243.2,247.35,227.34,267.35,-4.15,15.86,-24.15
"ALB",2018 Q2,5083,5067,4585,5550,16,498,-467,2867468,177.3,176.92,160.28,193.56,0.38,17.02,-16.26,137,136.36,122.41,150.31,0.64,14.59,-13.31,341.3,342.26,301.26,383.25,-0.96,40.04,-41.95,234.6,235,207.59,262.41,-0.4,27.01,-27.81,193.7,192.74,172.74,212.75,0.95,20.96,-19.05
"ALB",2018 Q3,4961,5001,4518,5483,-40,443,-522,2865489,173.1,174.68,158.04,191.32,-1.58,15.06,-18.22,132.1,132.28,118.33,146.23,-0.18,13.77,-14.13,326.8,326.16,285.16,367.15,0.64,41.64,-40.35,224.8,224.54,197.13,251.95,0.26,27.67,-27.15,187.2,187.77,167.76,207.77,-0.57,19.44,-20.57
"ALB",2018 Q4,5463,5461,4979,5944,2,484,-481,2863497,190.8,190.92,174.28,207.56,-0.12,16.52,-16.76,144.1,144.14,130.19,158.09,-0.04,13.91,-13.99,364.9,361.34,320.34,402.33,3.56,44.56,-37.43,249.9,248.18,220.77,275.59,1.72,29.13,-25.69,204.6,204.15,184.14,224.15,0.45,20.46,-19.55
"ALB",2019 Q1,6356,6362,5865,6859,-6,491,-503,2860554,222.2,222.26,205.13,239.4,-0.06,17.07,-17.2,165.6,168.6,154.23,182.97,-3,11.37,-17.37,423.6,433.31,391.08,475.54,-9.71,32.52,-51.94,289.4,296.08,267.85,324.31,-6.68,21.55,-34.91,236.1,239.21,218.6,259.82,-3.11,17.5,-23.72
"ALB",2019 Q2,5149,5060,4563,5557,89,586,-408,2856470,180.3,177.1,159.97,194.24,3.2,20.33,-13.94,133.8,130.68,116.31,145.05,3.12,17.49,-11.25,334.6,326.69,284.46,368.92,7.91,50.14,-34.32,230.1,224.48,196.25,252.71,5.62,33.85,-22.61,189.1,184.61,164,205.22,4.49,25.1,-16.12
"ALB",2019 Q3,5005,4994,4497,5491,11,508,-486,2852339,175.5,174.86,157.73,192,0.64,17.77,-16.5,128.1,126.6,112.23,140.97,1.5,15.87,-12.87,315.8,310.59,268.36,352.82,5.21,47.44,-37.02,217.3,214.02,185.79,242.25,3.28,31.51,-24.95,182,179.63,159.02,200.24,2.37,22.98,-18.24
"ALB",2019 Q4,5413,5454,4957,5951,-41,456,-538,2848188,190.1,191.1,173.97,208.24,-1,16.13,-18.14,138.6,138.46,124.09,152.83,0.14,14.51,-14.23,343.3,345.77,303.54,388,-2.47,39.76,-44.7,236.8,237.66,209.43,265.89,-0.86,27.37,-29.09,194.8,196.01,175.4,216.62,-1.21,19.4,-21.82
"ALB",2020 Q1,6197,6355,5834,6875,-158,363,-678,2844094,217.9,222.45,204.5,240.39,-4.55,13.4,-22.49,156.1,162.92,147.87,177.97,-6.82,8.23,-21.87,399.6,417.74,373.53,461.96,-18.14,26.07,-62.36,273.2,285.56,256,315.12,-12.36,17.2,-41.92,221.3,231.08,209.5,252.65,-9.78,11.8,-31.35
"ALB",2020 Q2,5403,5053,4533,5574,350,870,-171,2840063,190.2,177.29,159.34,195.23,12.91,30.86,-5.03,136.5,125,109.95,140.05,11.5,26.55,-3.55,339,311.13,266.91,355.34,27.87,72.09,-16.34,233.5,213.96,184.4,243.52,19.54,49.1,-10.02,191.7,176.48,154.9,198.05,15.22,36.8,-6.35
"ALB",2020 Q3,6622,4987,4466,5507,1635,2156,1115,2836009,233.5,175.05,157.1,192.99,58.45,76.4,40.51,163,120.92,105.87,135.97,42.08,57.13,27.03,402.3,295.03,250.81,339.24,107.27,151.49,63.06,276.5,203.5,173.94,233.06,73,102.56,43.44,233.6,171.5,149.92,193.07,62.1,83.68,40.53
"ALB",2020 Q4,9504,5447,4927,5968,4057,4577,3536,2831934,335.6,191.29,173.34,209.23,144.31,162.26,126.37,227,132.78,117.73,147.83,94.22,109.27,79.17,577.6,330.21,285.99,374.42,247.39,291.61,203.18,392.3,227.14,197.58,256.7,165.16,194.72,135.6,332.8,187.88,166.3,209.45,144.92,166.5,123.35
"ALB",2021 Q1,9758,6348,5796,6899,3410,3962,2859,2825624,345.4,222.63,203.62,241.64,122.77,141.78,103.76,223.9,157.24,141.3,173.18,66.66,82.6,50.72,567.6,402.18,355.33,449.03,165.42,212.27,118.57,385.6,275.04,243.72,306.36,110.56,141.88,79.24,331,222.94,200.08,245.8,108.06,130.92,85.2
"ALB",2021 Q2,6089,5046,4495,5598,1043,1594,491,2816668,216.1,177.47,158.46,196.48,38.63,57.64,19.62,136.9,119.32,103.38,135.26,17.58,33.52,1.64,336.1,295.56,248.71,342.41,40.54,87.39,-6.31,230.7,203.44,172.12,234.76,27.26,58.58,-4.06,198.4,168.34,145.48,191.2,30.06,52.92,7.2
"ALB",2021 Q3,6307,4980,4428,5531,1327,1879,776,2814098,224,175.23,156.22,194.24,48.77,67.78,29.76,,115.24,99.3,131.18,,,,,279.46,232.61,326.31,,,,,192.98,161.66,224.3,,,,,163.36,140.5,186.22,,,
"ALB",2021 Q4,7837,5440,4889,5992,2397,2948,1845,2857048,274.3,191.47,172.46,210.48,82.83,101.84,63.82,,127.1,111.16,143.04,,,,,314.64,267.79,361.49,,,,,216.62,185.3,247.94,,,,,179.74,156.88,202.6,,,
"ALB",2022 Q1,7938,6341,5752,6930,1597,2186,1008,2855860,277.9,222.81,202.5,243.12,55.09,75.4,34.78,,151.56,134.53,168.59,,,,,386.62,336.58,436.65,,,,,264.52,231.07,297.97,,,,,214.81,190.39,239.22,,,
"ALB",2022 Q2,4916,5040,4451,5629,-124,465,-713,2854684,172.2,177.65,157.34,197.96,-5.45,14.86,-25.76,,113.64,96.61,130.67,,,,,280,229.96,330.03,,,,,192.92,159.47,226.37,,,,,160.21,135.79,184.62,,,
"ALB",2022 Q3,5130,4973,4384,5562,157,746,-432,2853495,179.8,175.41,155.1,195.72,4.39,24.7,-15.92,,109.56,92.53,126.59,,,,,263.9,213.86,313.93,,,,,182.46,149.01,215.91,,,,,155.23,130.81,179.64,,,
"ALB",2022 Q4,4916,5434,4845,6023,-518,71,-1107,2852298,172.4,191.65,171.34,211.96,-19.25,1.06,-39.56,,121.42,104.39,138.45,,,,,299.08,249.04,349.11,,,,,206.1,172.65,239.55,,,,,171.61,147.19,196.02,,,
"ALB",2023 Q1,5557,6334,5702,6966,-777,-145,-1409,2851110,194.9,222.99,201.21,244.78,-28.09,-6.31,-49.88,,145.88,127.62,164.14,,,,,371.05,317.38,424.72,,,,,254,218.11,289.89,,,,,206.67,180.48,232.86,,,
"ABW",2015 Q1,163,185,149,220,-22,14,-57,103082,158.1,178.27,144.64,211.89,-20.17,13.46,-53.79
"ABW",2015 Q2,172,185,149,220,-13,23,-48,103330,166.5,178.31,144.68,211.93,-11.81,21.82,-45.43
"ABW",2015 Q3,150,173,137,208,-23,13,-58,103580,144.8,166.3,132.68,199.93,-21.5,12.12,-55.13
"ABW",2015 Q4,194,186,151,222,8,43,-28,103832,186.8,179.09,145.46,212.71,7.71,41.34,-25.91
"ABW",2016 Q1,198,182,148,217,16,50,-19,104083,190.2,175.13,142.49,207.78,15.07,47.71,-17.58
"ABW",2016 Q2,213,182,148,217,31,65,-4,104332,204.2,175.17,142.53,207.82,29.03,61.67,-3.62
"ABW",2016 Q3,175,170,136,205,5,39,-30,104581,167.3,163.17,130.53,195.82,4.13,36.77,-28.52
"ABW",2016 Q4,195,184,149,218,11,46,-23,104832,186,175.95,143.31,208.6,10.05,42.69,-22.6
"ABW",2017 Q1,178,180,146,214,-2,32,-36,105000,169.5,172,139.69,204.31,-2.5,29.81,-34.81
"ABW",2017 Q2,182,180,146,214,2,36,-32,105000,173.3,172.04,139.73,204.35,1.26,33.57,-31.05
"ABW",2017 Q3,184,168,134,202,16,50,-18,105000,175.2,160.04,127.73,192.35,15.16,47.47,-17.15
"ABW",2017 Q4,163,182,148,216,-19,15,-53,105000,155.2,172.82,140.51,205.13,-17.62,14.69,-49.93
"ABW",2018 Q1,193,178,143,212,15,50,-19,105082,183.7,168.87,136.22,201.51,14.83,47.48,-17.81
"ABW",2018 Q2,177,178,143,212,-1,34,-35,105330,168.1,168.91,136.26,201.55,-0.81,31.84,-33.45
"ABW",2018 Q3,166,166,131,200,0,35,-34,105580,157.2,156.91,124.26,189.55,0.29,32.94,-32.35
"ABW",2018 Q4,181,179,145,214,2,36,-33,105832,171,169.69,137.04,202.33,1.31,33.96,-31.33
"ABW",2019 Q1,168,175,140,211,-7,28,-43,106000,158.5,165.74,132.11,199.36,-7.24,26.39,-40.86
"ABW",2019 Q2,157,176,140,211,-19,17,-54,106000,148.1,165.78,132.15,199.4,-17.68,15.95,-51.3
"ABW",2019 Q3,165,163,128,199,2,37,-34,106000,155.7,153.78,120.15,187.4,1.92,35.55,-31.7
"ABW",2019 Q4,175,177,142,212,-2,33,-37,106000,165.1,166.56,132.93,200.18,-1.46,32.17,-35.08
"ABW",2020 Q1,199,173,136,210,26,63,-11,106000,187.7,162.6,127.39,197.81,25.1,60.31,-10.11
"ABW",2020 Q2,167,173,136,210,-6,31,-43,106000,157.5,162.64,127.43,197.85,-5.14,30.07,-40.35
"ABW",2020 Q3,192,161,124,198,31,68,-6,106000,181.1,150.64,115.43,185.85,30.46,65.67,-4.75
"ABW",2020 Q4,185,175,138,212,10,47,-27,106000,174.5,163.42,128.21,198.63,11.08,46.29,-24.13
"ABW",2021 Q1,235,171,131,210,64,104,25,106021,221.7,159.47,122.16,196.78,62.23,99.54,24.92
"ABW",2021 Q2,209,171,132,210,38,77,-1,106082,197,159.51,122.2,196.82,37.49,74.8,0.18
"ABW",2021 Q3,282,159,119,198,123,163,84,106145,265.7,147.51,110.2,184.82,118.19,155.5,80.88
"ABW",2021 Q4,238,172,133,212,66,105,26,106208,224.1,160.29,122.98,197.6,63.81,101.12,26.5
"AND",2010 Q2,51,,,,,,,81924,62.1,,,,,,,39.3,,,,,,,81.7,,,,,,,58,,,,,,,62.9,,,,,,
"AND",2010 Q3,61,,,,,,,80428,75.9,,,,,,,47.9,,,,,,,98.8,,,,,,,70.1,,,,,,,78.3,,,,,,
"AND",2010 Q4,61,,,,,,,78924,77.2,,,,,,,44.9,,,,,,,97.3,,,,,,,68.5,,,,,,,78.1,,,,,,
"AND",2011 Q1,57,,,,,,,78117,73.2,,,,,,,44.9,,,,,,,95.3,,,,,,,65.7,,,,,,,75.8,,,,,,
"AND",2011 Q2,88,,,,,,,78115,113.2,,,,,,,66.1,,,,,,,144.1,,,,,,,102.3,,,,,,,114.4,,,,,,
"AND",2011 Q3,54,,,,,,,78115,69.3,,,,,,,44.5,,,,,,,92.7,,,,,,,65.7,,,,,,,70.4,,,,,,
"AND",2011 Q4,75,,,,,,,78115,95.6,,,,,,,55.7,,,,,,,124.7,,,,,,,86,,,,,,,96,,,,,,
"AND",2012 Q1,89,,,,,,,77900,114.6,,,,,,,71.8,,,,,,,150.4,,,,,,,106.3,,,,,,,118.3,,,,,,
"AND",2012 Q2,61,,,,,,,77436,78.4,,,,,,,49.8,,,,,,,111.6,,,,,,,75.8,,,,,,,83.8,,,,,,
"AND",2012 Q3,68,,,,,,,76969,88,,,,,,,58.8,,,,,,,117.4,,,,,,,85.1,,,,,,,87.7,,,,,,
"AND",2012 Q4,85,,,,,,,76499,110.7,,,,,,,61.8,,,,,,,149.7,,,,,,,101.7,,,,,,,110,,,,,,
"AND",2013 Q1,84,,,,,,,76245,110.5,,,,,,,61.7,,,,,,,144.3,,,,,,,100.4,,,,,,,109.2,,,,,,
"AND",2013 Q2,56,,,,,,,76242,73.5,,,,,,,44.4,,,,,,,91.3,,,,,,,65.9,,,,,,,73.9,,,,,,
"AND",2013 Q3,51,,,,,,,76239,67.1,,,,,,,43.6,,,,,,,89.3,,,,,,,63,,,,,,,68.8,,,,,,
"AND",2013 Q4,49,,,,,,,76236,64.3,,,,,,,36.1,,,,,,,85.6,,,,,,,58.5,,,,,,,63.9,,,,,,
"AND",2014 Q1,81,,,,,,,76233,106.6,,,,,,,64.5,,,,,,,143.6,,,,,,,99.7,,,,,,,108,,,,,,
"AND",2014 Q2,68,,,,,,,76230,89,,,,,,,52.9,,,,,,,118.8,,,,,,,81.6,,,,,,,91.4,,,,,,
"AND",2014 Q3,59,,,,,,,76227,78,,,,,,,43.5,,,,,,,100.5,,,,,,,68.8,,,,,,,78.7,,,,,,
"AND",2014 Q4,67,,,,,,,76225,87.3,,,,,,,50.7,,,,,,,120.1,,,,,,,81.8,,,,,,,88.3,,,,,,
"AND",2015 Q1,76,86,61,111,-10,15,-35,76222,99.1,112.99,80.57,145.42,-13.89,18.53,-46.32,52.9,62.51,43.44,81.58,-9.61,9.46,-28.68,131.9,149.29,103.18,195.4,-17.39,28.72,-63.5,89.1,102.02,70.45,133.58,-12.92,18.65,-44.48,97.6,112,79.39,144.62,-14.4,18.21,-47.02
"AND",2015 Q2,68,65,40,90,3,28,-22,76219,89.8,85.45,53.03,117.88,4.35,36.77,-28.08,52.2,45.81,26.74,64.88,6.39,25.46,-12.68,121.3,108.94,62.83,155.05,12.36,58.47,-33.75,83.9,75.07,43.5,106.63,8.83,40.4,-22.73,89.2,80.25,47.64,112.87,8.95,41.56,-23.67
"AND",2015 Q3,71,70,45,95,1,26,-24,76216,93.5,92.09,59.67,124.52,1.41,33.83,-31.02,51.9,50.68,31.61,69.75,1.22,20.29,-17.85,122.3,116.61,70.5,162.73,5.69,51.8,-40.43,84.4,80.27,48.7,111.83,4.13,35.7,-27.43,93.2,87.95,55.34,120.57,5.25,37.86,-27.37
"AND",2015 Q4,66,76,51,101,-10,15,-35,76213,87,99.89,67.47,132.32,-12.89,19.53,-45.32,50.8,53.23,34.16,72.3,-2.43,16.64,-21.5,115.2,124.56,78.45,170.68,-9.36,36.75,-55.48,79.5,85.59,54.03,117.16,-6.09,25.47,-37.66,87.3,94.05,61.44,126.67,-6.75,25.86,-39.37
"AND",2016 Q1,78,88,63,112,-10,15,-34,76210,102.2,115.05,83.57,146.52,-12.85,18.63,-44.32,59,65.9,47.55,84.26,-6.9,11.45,-25.26,133.5,156.83,112.44,201.22,-23.33,21.06,-67.72,92.5,107.56,77.17,137.94,-15.06,15.33,-45.44,103,117.83,86.44,149.23,-14.83,16.56,-46.23
"AND",2016 Q2,69,66,42,91,3,27,-22,76207,90.7,87.51,56.03,118.98,3.19,34.67,-28.28,53.6,49.2,30.85,67.56,4.4,22.75,-13.96,120.6,116.48,72.09,160.87,4.12,48.51,-40.27,85.1,80.61,50.22,110.99,4.49,34.88,-25.89,89.6,86.09,54.69,117.48,3.51,34.91,-27.88
"AND",2016 Q3,82,72,47,96,10,35,-14,76204,107.2,94.15,62.67,125.62,13.05,44.53,-18.42,61.5,54.08,35.72,72.43,7.42,25.78,-10.93,145.4,124.15,79.76,168.55,21.25,65.64,-23.15,99.7,85.81,55.42,116.19,13.89,44.28,-16.49,107.5,93.78,62.39,125.18,13.72,45.11,-17.68
"AND",2016 Q4,82,78,54,102,4,28,-20,76202,107.6,101.95,70.47,133.42,5.65,37.13,-25.82,59.4,56.63,38.27,74.98,2.77,21.13,-15.58,141.2,132.11,87.71,176.5,9.09,53.49,-35.3,95.9,91.13,60.75,121.51,4.77,35.15,-25.61,107.7,99.88,68.49,131.28,7.82,39.21,-23.58
"AND",2017 Q1,115,89,65,113,26,50,2,76199,150.7,117.1,85.95,148.25,33.6,64.75,2.45,81.8,69.3,50.94,87.65,12.5,30.86,-5.85,203.1,164.37,119.98,208.76,38.73,83.12,-5.66,138.9,113.09,82.71,143.48,25.81,56.19,-4.58,149.2,123.66,92.27,155.06,25.53,56.93,-5.86
"AND",2017 Q2,67,68,44,92,-1,23,-25,76196,88.5,89.56,58.41,120.71,-1.06,30.09,-32.21,49.6,52.6,34.24,70.95,-3,15.36,-21.35,117.9,124.02,79.63,168.41,-6.12,38.27,-50.51,81.3,86.14,55.76,116.53,-4.84,25.54,-35.23,88.3,91.91,60.52,123.31,-3.61,27.78,-35.01
"AND",2017 Q3,57,73,49,97,-16,8,-40,76193,75.4,96.2,65.05,127.35,-20.8,10.35,-51.95,43.2,57.47,39.12,75.83,-14.27,4.08,-32.63,98.8,131.7,87.3,176.09,-32.89,11.5,-77.29,68.5,91.34,60.96,121.73,-22.84,7.54,-53.23,75.4,99.61,68.22,131.01,-24.21,7.18,-55.61
