"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"USA",2017 Q2,34936,85701556,40.8,34698,33343,36053,238,1593,-1117,40.51,38.94,42.07,0.29,1.86,-1.27
"USA",2017 Q3,35906,85909455,41.8,35788,34432,37143,118,1474,-1237,41.64,40.07,43.2,0.16,1.73,-1.4
"USA",2017 Q4,35307,86118490,41,35178,33823,36533,129,1484,-1226,40.87,39.31,42.44,0.13,1.69,-1.44
"USA",2018 Q1,34718,86317652,40.2,34320,32942,35699,398,1776,-981,39.77,38.18,41.36,0.43,2.02,-1.16
"USA",2018 Q2,34833,86507820,40.3,35059,33776,36343,-226,1057,-1510,40.57,39.09,42.05,-0.27,1.21,-1.75
"USA",2018 Q3,35905,86700090,41.4,36149,34866,37432,-244,1039,-1527,41.7,40.22,43.18,-0.3,1.18,-1.78
"USA",2018 Q4,34641,86893410,39.9,35539,34256,36823,-898,385,-2182,40.93,39.45,42.41,-1.03,0.45,-2.51
"USA",2019 Q1,34284,87071326,39.4,34682,33303,36060,-398,981,-1776,39.83,38.24,41.42,-0.43,1.16,-2.02
"USA",2019 Q2,35409,87234441,40.6,35421,34065,36776,-12,1344,-1367,40.63,39.06,42.19,-0.03,1.54,-1.59
"USA",2019 Q3,36636,87399357,41.9,36510,35155,37866,126,1481,-1230,41.76,40.2,43.33,0.14,1.7,-1.43
"USA",2019 Q4,36670,87565175,41.9,35901,34545,37256,769,2125,-586,40.99,39.43,42.56,0.91,2.47,-0.66
"USA",2020 Q1,38288,87694395,43.7,35043,33533,36553,3245,4755,1735,39.89,38.15,41.63,3.81,5.55,2.07
"USA",2020 Q2,46219,87786225,52.6,35782,34231,37334,10437,11988,8885,40.69,38.9,42.48,11.91,13.7,10.12
"USA",2020 Q3,47753,87878559,54.3,36872,35320,38423,10881,12433,9330,41.82,40.03,43.61,12.48,14.27,10.69
"USA",2020 Q4,46555,87971398,52.9,36262,34711,37814,10293,11844,8741,41.06,39.27,42.85,11.84,13.63,10.05
"USA",2021 Q1,47698,88098285,54.1,35404,33661,37148,12294,14037,10550,39.95,37.94,41.97,14.15,16.16,12.13
