"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"ALB",2015 Q1,3023,2908,2599,3218,115,424,-195,41913,7215.1,6792.31,6108.33,7476.29,422.79,1106.77,-261.19
"ALB",2015 Q2,2240,2192,1883,2502,48,357,-262,42488,5275.1,5194.59,4510.61,5878.57,80.51,764.49,-603.47
"ALB",2015 Q3,2116,2055,1746,2364,61,370,-248,43068,4915.3,4839.83,4155.85,5523.81,75.47,759.45,-608.51
"ALB",2015 Q4,2200,2379,2070,2689,-179,130,-489,43652,5037,5430.57,4746.59,6114.55,-393.57,290.41,-1077.55
"ALB",2016 Q1,2628,2941,2640,3241,-313,-12,-613,44303,5932.8,6566.92,5902.96,7230.87,-634.12,29.84,-1298.07
"ALB",2016 Q2,2227,2225,1924,2525,2,303,-298,45033,4945,4969.2,4305.24,5633.15,-24.2,639.76,-688.15
"ALB",2016 Q3,1970,2087,1787,2388,-117,183,-418,45766,4306.2,4614.44,3950.48,5278.39,-308.24,355.72,-972.19
"ALB",2016 Q4,2601,2412,2111,2712,189,490,-111,46504,5588.5,5205.18,4541.22,5869.13,383.32,1047.28,-280.63
"ALB",2017 Q1,3247,2973,2676,3270,274,571,-23,47188,6887.3,6341.52,5684.37,6998.67,545.78,1202.93,-111.37
"ALB",2017 Q2,2227,2257,1960,2554,-30,267,-327,47814,4657,4743.8,4086.65,5400.95,-86.8,570.35,-743.95
"ALB",2017 Q3,2181,2120,1823,2417,61,358,-236,48446,4502.7,4389.04,3731.89,5046.19,113.66,770.81,-543.49
"ALB",2017 Q4,2418,2444,2147,2741,-26,271,-323,49082,4923.7,4979.78,4322.63,5636.93,-56.08,601.07,-713.23
"ALB",2018 Q1,2989,3006,2705,3306,-17,284,-317,49743,6008.5,6116.13,5452.17,6780.08,-107.63,556.33,-771.58
"ALB",2018 Q2,2246,2290,1989,2590,-44,257,-344,50437,4454.8,4518.41,3854.45,5182.36,-63.61,600.35,-727.56
"ALB",2018 Q3,2155,2152,1852,2453,3,303,-298,51139,4214.6,4163.65,3499.69,4827.6,50.95,714.91,-613
"ALB",2018 Q4,2516,2477,2176,2777,39,340,-261,51845,4850.4,4754.38,4090.43,5418.34,96.01,759.97,-567.94
"ALB",2019 Q1,2979,3038,2729,3347,-59,250,-368,52618,5663.9,5890.73,5206.75,6574.71,-226.83,457.15,-910.81
"ALB",2019 Q2,2346,2322,2013,2631,24,333,-285,53477,4387.1,4293.01,3609.03,4976.99,94.09,778.07,-589.89
"ALB",2019 Q3,2177,2185,1875,2494,-8,302,-317,54346,4006.4,3938.25,3254.27,4622.23,68.15,752.13,-615.83
"ALB",2019 Q4,2486,2509,2200,2818,-23,286,-332,55219,4499.3,4528.99,3845.01,5212.97,-29.69,654.29,-713.67
"ALB",2020 Q1,3039,3071,2747,3394,-32,292,-355,55972,5429.7,5665.34,4949.22,6381.45,-235.64,480.48,-951.75
"ALB",2020 Q2,2528,2355,2031,2678,173,497,-150,56586,4467.4,4067.62,3351.5,4783.73,399.78,1115.9,-316.33
"ALB",2020 Q3,2878,2217,1893,2541,661,985,337,57204,5031.7,3712.86,2996.74,4428.97,1318.84,2034.96,602.73
"ALB",2020 Q4,4189,2542,2218,2865,1647,1971,1324,57824,7242.1,4303.6,3587.48,5019.71,2938.5,3654.62,2222.39
"ALB",2021 Q1,4268,3103,2760,3446,1165,1508,822,61455,6949,5439.94,4681.13,6198.75,1509.06,2267.87,750.25
"ALB",2021 Q2,2777,2387,2044,2730,390,733,47,68614,4064.1,3842.22,3083.41,4601.03,221.88,980.69,-536.93
"AND",2010 Q2,25,,,,,,,3220,768.7,,,,,,
"AND",2010 Q3,28,,,,,,,3156,886.8,,,,,,
"AND",2010 Q4,31,,,,,,,3092,991.4,,,,,,
"AND",2011 Q1,25,,,,,,,3057,808.4,,,,,,
"AND",2011 Q2,44,,,,,,,3057,1425.3,,,,,,
"AND",2011 Q3,25,,,,,,,3057,822.5,,,,,,
"AND",2011 Q4,39,,,,,,,3057,1261.7,,,,,,
"AND",2012 Q1,36,,,,,,,3050,1194.2,,,,,,
"AND",2012 Q2,23,,,,,,,3035,748.4,,,,,,
"AND",2012 Q3,31,,,,,,,3020,1040.6,,,,,,
"AND",2012 Q4,49,,,,,,,3005,1644.9,,,,,,
