"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"DEU",2001 W52,2534.894,,,,,,,21402581,11.883,,,,,,
"DEU",2002 W01,2532.865,,,,,,,21403885,11.872,,,,,,
"DEU",2002 W02,2531.01,,,,,,,21404445,11.863,,,,,,
"DEU",2002 W03,2529,,,,,,,21404881,11.852,,,,,,
"DEU",2002 W04,2525.202,,,,,,,21405317,11.834,,,,,,
"DEU",2002 W05,2520.356,,,,,,,21405753,11.81,,,,,,
"DEU",2002 W06,2516.808,,,,,,,21406189,11.792,,,,,,
"DEU",2002 W07,2513.673,,,,,,,21406625,11.777,,,,,,
"DEU",2002 W08,2512.846,,,,,,,21407061,11.772,,,,,,
"DEU",2002 W09,2511.087,,,,,,,21407497,11.762,,,,,,
"DEU",2002 W10,2509.202,,,,,,,21407933,11.753,,,,,,
"DEU",2002 W11,2509.798,,,,,,,21408369,11.755,,,,,,
"DEU",2002 W12,2509.952,,,,,,,21408805,11.755,,,,,,
"DEU",2002 W13,2507.837,,,,,,,21409241,11.744,,,,,,
"DEU",2002 W14,2509.01,,,,,,,21409677,11.749,,,,,,
"DEU",2002 W15,2508.74,,,,,,,21410113,11.747,,,,,,
"DEU",2002 W16,2507.125,,,,,,,21410549,11.739,,,,,,
"DEU",2002 W17,2506.673,,,,,,,21410985,11.737,,,,,,
"DEU",2002 W18,2506.067,,,,,,,21411421,11.734,,,,,,
"DEU",2002 W19,2506.606,,,,,,,21411857,11.736,,,,,,
"DEU",2002 W20,2505.288,,,,,,,21412293,11.729,,,,,,
"DEU",2002 W21,2505.221,,,,,,,21412729,11.728,,,,,,
"DEU",2002 W22,2504.019,,,,,,,21413165,11.722,,,,,,
"DEU",2002 W23,2503.481,,,,,,,21413601,11.719,,,,,,
"DEU",2002 W24,2504,,,,,,,21414037,11.721,,,,,,
"DEU",2002 W25,2502.798,,,,,,,21414473,11.714,,,,,,
"DEU",2002 W26,2502.288,,,,,,,21414909,11.712,,,,,,
"DEU",2002 W27,2501.798,,,,,,,21415345,11.709,,,,,,
"DEU",2002 W28,2501.192,,,,,,,21415781,11.706,,,,,,
"DEU",2002 W29,2498.885,,,,,,,21416217,11.695,,,,,,
"DEU",2002 W30,2498.442,,,,,,,21416653,11.692,,,,,,
"DEU",2002 W31,2498.865,,,,,,,21417089,11.694,,,,,,
"DEU",2002 W32,2498.904,,,,,,,21417525,11.694,,,,,,
"DEU",2002 W33,2498.538,,,,,,,21417961,11.691,,,,,,
"DEU",2002 W34,2499.048,,,,,,,21418397,11.693,,,,,,
"DEU",2002 W35,2498.567,,,,,,,21418833,11.69,,,,,,
"DEU",2002 W36,2496.356,,,,,,,21419269,11.679,,,,,,
"DEU",2002 W37,2494.942,,,,,,,21419705,11.671,,,,,,
"DEU",2002 W38,2494.394,,,,,,,21420141,11.667,,,,,,
"DEU",2002 W39,2494.923,,,,,,,21420577,11.669,,,,,,
"DEU",2002 W40,2494.385,,,,,,,21421013,11.666,,,,,,
"DEU",2002 W41,2494.423,,,,,,,21421448,11.666,,,,,,
"DEU",2002 W42,2494.154,,,,,,,21421884,11.664,,,,,,
"DEU",2002 W43,2493.683,,,,,,,21422320,11.662,,,,,,
"DEU",2002 W44,2492.856,,,,,,,21422756,11.658,,,,,,
"DEU",2002 W45,2492.404,,,,,,,21423192,11.655,,,,,,
"DEU",2002 W46,2492.837,,,,,,,21423628,11.656,,,,,,
"DEU",2002 W47,2493.192,,,,,,,21424064,11.657,,,,,,
"DEU",2002 W48,2492.173,,,,,,,21424500,11.651,,,,,,
"DEU",2002 W49,2490.865,,,,,,,21424936,11.644,,,,,,
"DEU",2002 W50,2491.769,,,,,,,21425372,11.648,,,,,,
"DEU",2002 W51,2491.952,,,,,,,21425808,11.649,,,,,,
"DEU",2002 W52,2491.029,,,,,,,21426244,11.644,,,,,,
