"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"USA",2000 W26,2376,43119796,5.542,,,,,,,,,,,,
"USA",2000 W27,2368.269,43134663,5.523,,,,,,,,,,,,
"USA",2000 W28,2360.538,43149529,5.504,,,,,,,,,,,,
"USA",2000 W29,2352.808,43164395,5.485,,,,,,,,,,,,
"USA",2000 W30,2345.077,43179262,5.465,,,,,,,,,,,,
"USA",2000 W31,2341.538,43194128,5.458,,,,,,,,,,,,
"USA",2000 W32,2338.692,43208994,5.45,,,,,,,,,,,,
"USA",2000 W33,2335.846,43223861,5.442,,,,,,,,,,,,
"USA",2000 W34,2333,43238727,5.435,,,,,,,,,,,,
"USA",2000 W35,2333.577,43253594,5.435,,,,,,,,,,,,
"USA",2000 W36,2336.038,43268460,5.438,,,,,,,,,,,,
"USA",2000 W37,2338.5,43283326,5.442,,,,,,,,,,,,
"USA",2000 W38,2340.962,43298193,5.446,,,,,,,,,,,,
"USA",2000 W39,2342.885,43313059,5.446,,,,,,,,,,,,
"USA",2000 W40,2343.654,43327925,5.446,,,,,,,,,,,,
"USA",2000 W41,2344.423,43342792,5.446,,,,,,,,,,,,
"USA",2000 W42,2345.192,43357658,5.446,,,,,,,,,,,,
"USA",2000 W43,2345.962,43372525,5.446,,,,,,,,,,,,
"USA",2000 W44,2348.885,43387391,5.45,,,,,,,,,,,,
"USA",2000 W45,2352.385,43402257,5.458,,,,,,,,,,,,
"USA",2000 W46,2355.885,43417124,5.465,,,,,,,,,,,,
"USA",2000 W47,2359.385,43431990,5.473,,,,,,,,,,,,
"USA",2000 W48,2363.423,43446856,5.481,,,,,,,,,,,,
"USA",2000 W49,2368.538,43461723,5.488,,,,,,,,,,,,
"USA",2000 W50,2373.654,43476589,5.496,,,,,,,,,,,,
"USA",2000 W51,2378.769,43491456,5.504,,,,,,,,,,,,
"USA",2000 W52,2383.923,43506322,5.512,,,,,,,,,,,,
