"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"USA",2000 W26,19921.731,9347186,214.323,,,,,,,,,,,,
"USA",2000 W27,19617.846,9351082,210.958,,,,,,,,,,,,
"USA",2000 W28,19313.962,9354977,207.596,,,,,,,,,,,,
"USA",2000 W29,19010.077,9358873,204.235,,,,,,,,,,,,
"USA",2000 W30,18706.192,9362769,200.877,,,,,,,,,,,,
"USA",2000 W31,18534.808,9366664,198.95,,,,,,,,,,,,
"USA",2000 W32,18385.462,9370560,197.262,,,,,,,,,,,,
"USA",2000 W33,18236.115,9374456,195.573,,,,,,,,,,,,
"USA",2000 W34,18086.769,9378351,193.888,,,,,,,,,,,,
"USA",2000 W35,18006.615,9382247,192.946,,,,,,,,,,,,
"USA",2000 W36,17965.346,9386142,192.419,,,,,,,,,,,,
"USA",2000 W37,17924.077,9390038,191.896,,,,,,,,,,,,
"USA",2000 W38,17882.808,9393934,191.369,,,,,,,,,,,,
"USA",2000 W39,17855.115,9397829,190.988,,,,,,,,,,,,
"USA",2000 W40,17879.269,9401725,191.162,,,,,,,,,,,,
"USA",2000 W41,17903.423,9405621,191.335,,,,,,,,,,,,
"USA",2000 W42,17927.577,9409516,191.508,,,,,,,,,,,,
"USA",2000 W43,17951.731,9413412,191.681,,,,,,,,,,,,
"USA",2000 W44,18020.385,9417308,192.331,,,,,,,,,,,,
"USA",2000 W45,18097.808,9421203,193.073,,,,,,,,,,,,
"USA",2000 W46,18175.231,9425099,193.815,,,,,,,,,,,,
"USA",2000 W47,18252.654,9428995,194.554,,,,,,,,,,,,
"USA",2000 W48,18374.231,9432890,195.765,,,,,,,,,,,,
"USA",2000 W49,18547.192,9436786,197.523,,,,,,,,,,,,
"USA",2000 W50,18720.154,9440682,199.277,,,,,,,,,,,,
"USA",2000 W51,18893.115,9444577,201.031,,,,,,,,,,,,
"USA",2000 W52,19066.077,9448473,202.785,,,,,,,,,,,,
"USA",2001 W01,19267.346,9452446,204.838,,,,,,,,,,,,
"USA",2001 W02,19468.615,9456521,206.888,,,,,,,,,,,,
"USA",2001 W03,19669.885,9460597,208.938,,,,,,,,,,,,
"USA",2001 W04,19871.154,9464672,210.988,,,,,,,,,,,,
"USA",2001 W05,20046.692,9468748,212.762,,,,,,,,,,,,
"USA",2001 W06,20205.769,9472824,214.362,,,,,,,,,,,,
"USA",2001 W07,20364.846,9476899,215.962,,,,,,,,,,,,
"USA",2001 W08,20523.923,9480975,217.558,,,,,,,,,,,,
"USA",2001 W09,20661.154,9485050,218.923,,,,,,,,,,,,
"USA",2001 W10,20775,9489126,220.042,,,,,,,,,,,,
"USA",2001 W11,20888.846,9493201,221.158,,,,,,,,,,,,
"USA",2001 W12,21002.692,9497277,222.273,,,,,,,,,,,,
"USA",2001 W13,21106.654,9501353,223.285,,,,,,,,,,,,
"USA",2001 W14,21151.154,9505428,223.665,,,,,,,,,,,,
"USA",2001 W15,21195.654,9509504,224.046,,,,,,,,,,,,
"USA",2001 W16,21240.154,9513579,224.427,,,,,,,,,,,,
"USA",2001 W17,21284.654,9517655,224.812,,,,,,,,,,,,
"USA",2001 W18,21272.115,9521730,224.592,,,,,,,,,,,,
"USA",2001 W19,21244.923,9525806,224.219,,,,,,,,,,,,
"USA",2001 W20,21217.731,9529882,223.846,,,,,,,,,,,,
"USA",2001 W21,21190.538,9533957,223.473,,,,,,,,,,,,
"USA",2001 W22,21124.769,9538033,222.688,,,,,,,,,,,,
"USA",2001 W23,21007.577,9542108,221.362,,,,,,,,,,,,
"USA",2001 W24,20890.385,9546184,220.035,,,,,,,,,,,,
"USA",2001 W25,20773.192,9550259,218.708,,,,,,,,,,,,
"USA",2001 W26,20651.308,9554335,217.335,,,,,,,,,,,,
"USA",2001 W27,20473.038,9558411,215.369,,,,,,,,,,,,
"USA",2001 W28,20294.769,9562486,213.404,,,,,,,,,,,,
"USA",2001 W29,20116.5,9566562,211.438,,,,,,,,,,,,
"USA",2001 W30,19938.231,9570637,209.473,,,,,,,,,,,,
"USA",2001 W31,19777.5,9574713,207.696,,,,,,,,,,,,
"USA",2001 W32,19631.077,9578788,206.073,,,,,,,,,,,,
"USA",2001 W33,19484.654,9582864,204.45,,,,,,,,,,,,
"USA",2001 W34,19338.231,9586940,202.827,,,,,,,,,,,,
"USA",2001 W35,19206.346,9591015,201.358,,,,,,,,,,,,
