"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"DEU",2000 W01,517,,,,,,,20321620,2.5,,,,,,
"DEU",2000 W02,511,,,,,,,20320767,2.5,,,,,,
"DEU",2000 W03,501,,,,,,,20319914,2.5,,,,,,
"DEU",2000 W04,531,,,,,,,20319061,2.6,,,,,,
"DEU",2000 W05,544,,,,,,,20318208,2.7,,,,,,
"DEU",2000 W06,478,,,,,,,20317355,2.4,,,,,,
"DEU",2000 W07,476,,,,,,,20316502,2.3,,,,,,
"DEU",2000 W08,457,,,,,,,20315650,2.2,,,,,,
"DEU",2000 W09,461,,,,,,,20314797,2.3,,,,,,
"DEU",2000 W10,462,,,,,,,20313944,2.3,,,,,,
"DEU",2000 W11,414,,,,,,,20313091,2,,,,,,
"DEU",2000 W12,479,,,,,,,20312238,2.4,,,,,,
"DEU",2000 W13,480,,,,,,,20311385,2.4,,,,,,
"DEU",2000 W14,465,,,,,,,20310532,2.3,,,,,,
"DEU",2000 W15,445,,,,,,,20309679,2.2,,,,,,
"DEU",2000 W16,468,,,,,,,20308826,2.3,,,,,,
"DEU",2000 W17,427,,,,,,,20307973,2.1,,,,,,
"DEU",2000 W18,485,,,,,,,20307120,2.4,,,,,,
"DEU",2000 W19,508,,,,,,,20306267,2.5,,,,,,
"DEU",2000 W20,499,,,,,,,20305414,2.5,,,,,,
"DEU",2000 W21,437,,,,,,,20304561,2.2,,,,,,
"DEU",2000 W22,527,,,,,,,20303708,2.6,,,,,,
"DEU",2000 W23,483,,,,,,,20302855,2.4,,,,,,
"DEU",2000 W24,476,,,,,,,20302002,2.3,,,,,,
"DEU",2000 W25,501,,,,,,,20301149,2.5,,,,,,
"DEU",2000 W26,415,,,,,,,20300296,2,,,,,,
"DEU",2000 W27,436,,,,,,,20299443,2.1,,,,,,
"DEU",2000 W28,424,,,,,,,20298590,2.1,,,,,,
"DEU",2000 W29,453,,,,,,,20297737,2.2,,,,,,
"DEU",2000 W30,502,,,,,,,20296884,2.5,,,,,,
"DEU",2000 W31,464,,,,,,,20296031,2.3,,,,,,
"DEU",2000 W32,500,,,,,,,20295178,2.5,,,,,,
"DEU",2000 W33,472,,,,,,,20294325,2.3,,,,,,
"DEU",2000 W34,461,,,,,,,20293472,2.3,,,,,,
"DEU",2000 W35,453,,,,,,,20292619,2.2,,,,,,
"DEU",2000 W36,472,,,,,,,20291766,2.3,,,,,,
"DEU",2000 W37,414,,,,,,,20290913,2,,,,,,
"DEU",2000 W38,450,,,,,,,20290061,2.2,,,,,,
"DEU",2000 W39,453,,,,,,,20289208,2.2,,,,,,
"DEU",2000 W40,480,,,,,,,20288355,2.4,,,,,,
"DEU",2000 W41,468,,,,,,,20287502,2.3,,,,,,
"DEU",2000 W42,448,,,,,,,20286649,2.2,,,,,,
"DEU",2000 W43,459,,,,,,,20285796,2.3,,,,,,
"DEU",2000 W44,475,,,,,,,20284943,2.3,,,,,,
"DEU",2000 W45,441,,,,,,,20284090,2.2,,,,,,
"DEU",2000 W46,434,,,,,,,20283237,2.1,,,,,,
"DEU",2000 W47,440,,,,,,,20282384,2.2,,,,,,
"DEU",2000 W48,488,,,,,,,20281531,2.4,,,,,,
"DEU",2000 W49,420,,,,,,,20280678,2.1,,,,,,
"DEU",2000 W50,476,,,,,,,20279825,2.3,,,,,,
"DEU",2000 W51,437,,,,,,,20278972,2.2,,,,,,
"DEU",2000 W52,466,,,,,,,20278119,2.3,,,,,,
"DEU",2001 W01,497,,,,,,,20277266,2.5,,,,,,
"DEU",2001 W02,454,,,,,,,20273566,2.2,,,,,,
"DEU",2001 W03,427,,,,,,,20269866,2.1,,,,,,
"DEU",2001 W04,490,,,,,,,20266166,2.4,,,,,,
"DEU",2001 W05,435,,,,,,,20262467,2.1,,,,,,
"DEU",2001 W06,449,,,,,,,20258767,2.2,,,,,,
"DEU",2001 W07,472,,,,,,,20255067,2.3,,,,,,
"DEU",2001 W08,465,,,,,,,20251367,2.3,,,,,,
"DEU",2001 W09,465,,,,,,,20247667,2.3,,,,,,
"DEU",2001 W10,436,,,,,,,20243967,2.2,,,,,,
"DEU",2001 W11,439,,,,,,,20240268,2.2,,,,,,
"DEU",2001 W12,454,,,,,,,20236568,2.2,,,,,,
"DEU",2001 W13,473,,,,,,,20232868,2.3,,,,,,
"DEU",2001 W14,505,,,,,,,20229168,2.5,,,,,,
"DEU",2001 W15,416,,,,,,,20225468,2.1,,,,,,
"DEU",2001 W16,465,,,,,,,20221768,2.3,,,,,,
"DEU",2001 W17,442,,,,,,,20218069,2.2,,,,,,
"DEU",2001 W18,460,,,,,,,20214369,2.3,,,,,,
"DEU",2001 W19,467,,,,,,,20210669,2.3,,,,,,
"DEU",2001 W20,432,,,,,,,20206969,2.1,,,,,,
"DEU",2001 W21,442,,,,,,,20203269,2.2,,,,,,
"DEU",2001 W22,439,,,,,,,20199569,2.2,,,,,,
"DEU",2001 W23,426,,,,,,,20195870,2.1,,,,,,
"DEU",2001 W24,418,,,,,,,20192170,2.1,,,,,,
"DEU",2001 W25,420,,,,,,,20188470,2.1,,,,,,
"DEU",2001 W26,467,,,,,,,20184770,2.3,,,,,,
"DEU",2001 W27,519,,,,,,,20181070,2.6,,,,,,
"DEU",2001 W28,452,,,,,,,20177370,2.2,,,,,,
"DEU",2001 W29,436,,,,,,,20173671,2.2,,,,,,
"DEU",2001 W30,484,,,,,,,20169971,2.4,,,,,,
"DEU",2001 W31,454,,,,,,,20166271,2.3,,,,,,
"DEU",2001 W32,399,,,,,,,20162571,2,,,,,,
"DEU",2001 W33,496,,,,,,,20158871,2.5,,,,,,
"DEU",2001 W34,470,,,,,,,20155171,2.3,,,,,,
"DEU",2001 W35,406,,,,,,,20151472,2,,,,,,
"DEU",2001 W36,422,,,,,,,20147772,2.1,,,,,,
"DEU",2001 W37,473,,,,,,,20144072,2.3,,,,,,
"DEU",2001 W38,482,,,,,,,20140372,2.4,,,,,,
"DEU",2001 W39,410,,,,,,,20136672,2,,,,,,
"DEU",2001 W40,446,,,,,,,20132972,2.2,,,,,,
"DEU",2001 W41,437,,,,,,,20129273,2.2,,,,,,
