"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"USA",2000 W01,25298,9249795,273.5,,,,,,,,,,,,
"USA",2000 W02,25298,9253690,273.4,,,,,,,,,,,,
"USA",2000 W03,25298,9257586,273.3,,,,,,,,,,,,
"USA",2000 W04,25298,9261482,273.1,,,,,,,,,,,,
"USA",2000 W05,21978,9265377,237.2,,,,,,,,,,,,
"USA",2000 W06,21425,9269273,231.1,,,,,,,,,,,,
"USA",2000 W07,21425,9273169,231,,,,,,,,,,,,
"USA",2000 W08,21425,9277064,230.9,,,,,,,,,,,,
"USA",2000 W09,19938,9280960,214.8,,,,,,,,,,,,
"USA",2000 W10,19343,9284855,208.3,,,,,,,,,,,,
"USA",2000 W11,19343,9288751,208.2,,,,,,,,,,,,
"USA",2000 W12,19343,9292647,208.2,,,,,,,,,,,,
"USA",2000 W13,19122,9296542,205.7,,,,,,,,,,,,
"USA",2000 W14,18569,9300438,199.7,,,,,,,,,,,,
"USA",2000 W15,18569,9304334,199.6,,,,,,,,,,,,
"USA",2000 W16,18569,9308229,199.5,,,,,,,,,,,,
"USA",2000 W17,18569,9312125,199.4,,,,,,,,,,,,
"USA",2000 W18,17981,9316021,193,,,,,,,,,,,,
"USA",2000 W19,17981,9319916,192.9,,,,,,,,,,,,
"USA",2000 W20,17981,9323812,192.8,,,,,,,,,,,,
"USA",2000 W21,17981,9327708,192.8,,,,,,,,,,,,
"USA",2000 W22,17647,9331603,189.1,,,,,,,,,,,,
"USA",2000 W23,17396,9335499,186.3,,,,,,,,,,,,
"USA",2000 W24,17396,9339395,186.3,,,,,,,,,,,,
"USA",2000 W25,17396,9343290,186.2,,,,,,,,,,,,
"USA",2000 W26,17396,9347186,186.1,,,,,,,,,,,,
"USA",2000 W27,17397,9351082,186,,,,,,,,,,,,
"USA",2000 W28,17397,9354977,186,,,,,,,,,,,,
"USA",2000 W29,17397,9358873,185.9,,,,,,,,,,,,
"USA",2000 W30,17397,9362769,185.8,,,,,,,,,,,,
"USA",2000 W31,17522,9366664,187.1,,,,,,,,,,,,
"USA",2000 W32,17542,9370560,187.2,,,,,,,,,,,,
"USA",2000 W33,17542,9374456,187.1,,,,,,,,,,,,
"USA",2000 W34,17542,9378351,187.1,,,,,,,,,,,,
"USA",2000 W35,17854,9382247,190.3,,,,,,,,,,,,
"USA",2000 W36,18270,9386142,194.6,,,,,,,,,,,,
"USA",2000 W37,18270,9390038,194.6,,,,,,,,,,,,
"USA",2000 W38,18270,9393934,194.5,,,,,,,,,,,,
"USA",2000 W39,18402,9397829,195.8,,,,,,,,,,,,
"USA",2000 W40,19197,9401725,204.2,,,,,,,,,,,,
"USA",2000 W41,19197,9405621,204.1,,,,,,,,,,,,
"USA",2000 W42,19197,9409516,204,,,,,,,,,,,,
"USA",2000 W43,19197,9413412,203.9,,,,,,,,,,,,
"USA",2000 W44,19766,9417308,209.9,,,,,,,,,,,,
"USA",2000 W45,19994,9421203,212.2,,,,,,,,,,,,
"USA",2000 W46,19994,9425099,212.1,,,,,,,,,,,,
"USA",2000 W47,19994,9428995,212,,,,,,,,,,,,
"USA",2000 W48,20808,9432890,220.6,,,,,,,,,,,,
"USA",2000 W49,21893,9436786,232,,,,,,,,,,,,
"USA",2000 W50,21893,9440682,231.9,,,,,,,,,,,,
"USA",2000 W51,21893,9444577,231.8,,,,,,,,,,,,
"USA",2000 W52,21893,9448473,231.7,,,,,,,,,,,,
"USA",2001 W01,22630,9452446,239.4,,,,,,,,,,,,
"USA",2001 W02,22630,9456521,239.3,,,,,,,,,,,,
"USA",2001 W03,22630,9460597,239.2,,,,,,,,,,,,
"USA",2001 W04,22630,9464672,239.1,,,,,,,,,,,,
"USA",2001 W05,22086,9468748,233.2,,,,,,,,,,,,
"USA",2001 W06,21678,9472824,228.8,,,,,,,,,,,,
"USA",2001 W07,21678,9476899,228.7,,,,,,,,,,,,
"USA",2001 W08,21678,9480975,228.6,,,,,,,,,,,,
"USA",2001 W09,21422,9485050,225.8,,,,,,,,,,,,
"USA",2001 W10,21230,9489126,223.7,,,,,,,,,,,,
"USA",2001 W11,21230,9493201,223.6,,,,,,,,,,,,
"USA",2001 W12,21230,9497277,223.5,,,,,,,,,,,,
"USA",2001 W13,21105,9501353,222.1,,,,,,,,,,,,
"USA",2001 W14,20354,9505428,214.1,,,,,,,,,,,,
"USA",2001 W15,20354,9509504,214,,,,,,,,,,,,
"USA",2001 W16,20354,9513579,213.9,,,,,,,,,,,,
"USA",2001 W17,20354,9517655,213.9,,,,,,,,,,,,
"USA",2001 W18,19440,9521730,204.2,,,,,,,,,,,,
"USA",2001 W19,19287,9525806,202.5,,,,,,,,,,,,
"USA",2001 W20,19287,9529882,202.4,,,,,,,,,,,,
"USA",2001 W21,19287,9533957,202.3,,,,,,,,,,,,
"USA",2001 W22,19098,9538033,200.2,,,,,,,,,,,,
"USA",2001 W23,18846,9542108,197.5,,,,,,,,,,,,
"USA",2001 W24,18846,9546184,197.4,,,,,,,,,,,,
"USA",2001 W25,18846,9550259,197.3,,,,,,,,,,,,
"USA",2001 W26,18724,9554335,196,,,,,,,,,,,,
"USA",2001 W27,17995,9558411,188.3,,,,,,,,,,,,
"USA",2001 W28,17995,9562486,188.2,,,,,,,,,,,,
"USA",2001 W29,17995,9566562,188.1,,,,,,,,,,,,
"USA",2001 W30,17995,9570637,188,,,,,,,,,,,,
"USA",2001 W31,17907,9574713,187,,,,,,,,,,,,
"USA",2001 W32,17871,9578788,186.6,,,,,,,,,,,,
"USA",2001 W33,17871,9582864,186.5,,,,,,,,,,,,
"USA",2001 W34,17871,9586940,186.4,,,,,,,,,,,,
"USA",2001 W35,17993,9591015,187.6,,,,,,,,,,,,
"USA",2001 W36,18298,9595091,190.7,,,,,,,,,,,,
"USA",2001 W37,18298,9599166,190.6,,,,,,,,,,,,
"USA",2001 W38,18298,9603242,190.5,,,,,,,,,,,,
"USA",2001 W39,18298,9607317,190.5,,,,,,,,,,,,
"USA",2001 W40,19652,9611393,204.5,,,,,,,,,,,,
"USA",2001 W41,19652,9615469,204.4,,,,,,,,,,,,
"USA",2001 W42,19652,9619544,204.3,,,,,,,,,,,,
"USA",2001 W43,19652,9623620,204.2,,,,,,,,,,,,
"USA",2001 W44,19637,9627695,204,,,,,,,,,,,,
"USA",2001 W45,19626,9631771,203.8,,,,,,,,,,,,
"USA",2001 W46,19626,9635846,203.7,,,,,,,,,,,,
"USA",2001 W47,19626,9639922,203.6,,,,,,,,,,,,
"USA",2001 W48,19891,9643998,206.3,,,,,,,,,,,,
"USA",2001 W49,20554,9648073,213,,,,,,,,,,,,
"USA",2001 W50,20554,9652149,212.9,,,,,,,,,,,,
"USA",2001 W51,20554,9656224,212.9,,,,,,,,,,,,
"USA",2001 W52,20554,9660300,212.8,,,,,,,,,,,,
"USA",2002 W01,22463,9664311,232.4,,,,,,,,,,,,
"USA",2002 W02,22781,9668181,235.6,,,,,,,,,,,,
"USA",2002 W03,22781,9672047,235.5,,,,,,,,,,,,
"USA",2002 W04,22781,9675912,235.4,,,,,,,,,,,,
"USA",2002 W05,23171,9679778,239.4,,,,,,,,,,,,
"USA",2002 W06,23691,9683643,244.6,,,,,,,,,,,,
"USA",2002 W07,23691,9687509,244.5,,,,,,,,,,,,
"USA",2002 W08,23691,9691374,244.5,,,,,,,,,,,,
