"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"ALB",2015,330,304635,108.3,336,293,378,-6,37,-48,109.96,94.86,125.06,-1.66,13.44,-16.76
"ALB",2016,355,300718,118.2,334,295,372,21,60,-17,110.95,97.34,124.56,7.25,20.86,-6.36
"ALB",2017,314,297308,105.5,332,295,368,-18,19,-54,111.94,98.87,125.01,-6.44,6.63,-19.51
"ALB",2018,324,292789,110.7,330,291,368,-6,33,-44,112.93,99.32,126.54,-2.23,11.38,-15.84
"ALB",2019,335,286845,117,327,285,370,8,50,-35,113.92,98.82,129.02,3.08,18.18,-12.02
"ALB",2020,326,280366,116.1,325,277,374,1,49,-48,114.91,97.61,132.21,1.19,18.49,-16.11
"AND",2011,1,7205,13.9,,,,,,,,,,,,
"AND",2012,5,7142,70,,,,,,,,,,,,
"AND",2013,1,7008,18.5,,,,,,,,,,,,
"AND",2014,2,6867,24.7,2,-1,5,0,3,-3,26.7,-18.77,72.17,-2,43.47,-47.47
"AND",2015,1,6727,14.9,2,-1,4,-1,2,-3,23.45,-17.54,64.44,-8.55,32.44,-49.54
"AND",2016,3,6586,45.5,1,-1,4,2,4,-1,20.2,-19.18,59.58,25.3,64.68,-14.08
"AND",2017,0,6445,0,1,-2,4,-1,2,-4,16.95,-24.04,57.94,-16.95,24.04,-57.94
"AND",2018,1,6304,15.9,1,-2,4,0,3,-3,13.7,-31.77,59.17,2.2,47.67,-43.27
"ARM",2015,490,369141,132.8,497,476,519,-7,14,-29,133.76,128.34,139.18,-0.96,4.46,-6.38
"ARM",2016,462,373584,123.7,450,430,469,12,32,-7,120.93,116.04,125.82,2.77,7.66,-2.12
"ARM",2017,400,375548,106.6,402,384,421,-2,16,-21,108.1,103.4,112.8,-1.5,3.2,-6.2
"ARM",2018,351,374266,93.8,355,335,374,-4,16,-23,95.27,90.38,100.16,-1.47,3.42,-6.36
"ARM",2019,308,368806,83.6,307,286,329,1,22,-21,82.44,77.02,87.86,1.16,6.58,-4.26
"ARM",2020,338,361471,93.5,260,235,284,78,103,54,69.61,63.4,75.82,23.89,30.1,17.68
"AUT",2001,487,800618,60.8,,,,,,,,,,,,
"AUT",2002,425,785108,54.1,,,,,,,,,,,,
"AUT",2003,474,771353,61.5,,,,,,,,,,,,
"AUT",2004,459,760618,60.3,,,,,,,,,,,,
"AUT",2005,451,752649,59.9,411,362,460,40,89,-9,56.33,50.22,62.44,3.57,9.68,-2.54
"AUT",2006,393,744295,52.8,403,355,452,-10,38,-59,55.24,49.25,61.24,-2.44,3.55,-8.44
"AUT",2007,369,735656,50.1,396,349,444,-27,20,-75,54.16,48.26,60.05,-4.06,1.84,-9.95
"AUT",2008,380,729344,52.1,389,342,436,-9,38,-56,53.07,47.26,58.88,-0.97,4.84,-6.78
"AUT",2009,393,725282,54.2,382,335,428,11,58,-35,51.98,46.24,57.73,2.22,7.96,-3.53
"AUT",2010,397,722108,55,374,329,420,23,68,-23,50.9,45.2,56.6,4.1,9.8,-1.6
"AUT",2011,377,721195,52.3,367,322,413,10,55,-36,49.81,44.14,55.48,2.49,8.16,-3.18
