"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"ALB",2015,1665,1656,1556,1756,9,109,-91,397735,418.7,415.34,391.55,439.13,3.36,27.15,-20.43
"ALB",2016,1584,1628,1538,1719,-44,46,-135,398409,397.7,408.78,387.34,430.22,-11.08,10.36,-32.52
"ALB",2017,1653,1601,1514,1688,52,139,-35,399644,413.7,402.22,381.62,422.82,11.48,32.08,-9.12
"ALB",2018,1567,1573,1483,1664,-6,84,-97,399088,392.5,395.66,374.22,417.1,-3.16,18.28,-24.6
"ALB",2019,1536,1546,1446,1646,-10,90,-110,395334,388.5,389.1,365.31,412.89,-0.6,23.19,-24.39
"ALB",2020,1899,1518,1404,1633,381,495,266,389231,488.1,382.54,355.29,409.79,105.56,132.81,78.31
"AND",2011,25,,,,,,,10473,241.4,,,,,,
"AND",2012,21,,,,,,,10529,200.9,,,,,,
"AND",2013,29,,,,,,,10761,269,,,,,,
"AND",2014,27,28,19,37,-1,8,-10,11116,242.9,251.96,174.9,329.02,-9.06,68,-86.12
"AND",2015,29,29,21,37,0,8,-8,11471,248.7,248.82,179.36,318.28,-0.12,69.34,-69.58
"AND",2016,33,29,21,37,4,12,-4,11827,282.5,245.68,178.95,312.41,36.82,103.55,-29.91
"AND",2017,25,29,21,37,-4,4,-12,12182,205.5,242.54,173.08,312,-37.04,32.42,-106.5
"AND",2018,31,30,21,39,1,10,-8,12537,248.8,239.4,162.34,316.46,9.4,86.46,-67.66
"ARM",2015,3218,3272,3144,3400,-54,74,-182,425632,756,764.5,741.92,787.08,-8.5,14.08,-31.08
"ARM",2016,3171,3106,2990,3221,65,181,-50,418148,758.1,745.56,725.21,765.91,12.54,32.89,-7.81
"ARM",2017,2957,2939,2828,3050,18,129,-93,406494,727,726.62,707.07,746.17,0.38,19.93,-19.17
