"Notes","State","State Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","Jan., 1999","1999/01",150,Not Applicable,Not Applicable
,"Alabama","01","Feb., 1999","1999/02",99,Not Applicable,Not Applicable
,"Alabama","01","Mar., 1999","1999/03",146,Not Applicable,Not Applicable
,"Alabama","01","Apr., 1999","1999/04",122,Not Applicable,Not Applicable
,"Alabama","01","May, 1999","1999/05",137,Not Applicable,Not Applicable
,"Alabama","01","Jun., 1999","1999/06",133,Not Applicable,Not Applicable
,"Alabama","01","Jul., 1999","1999/07",162,Not Applicable,Not Applicable
,"Alabama","01","Aug., 1999","1999/08",177,Not Applicable,Not Applicable
,"Alabama","01","Sep., 1999","1999/09",109,Not Applicable,Not Applicable
,"Alabama","01","Oct., 1999","1999/10",133,Not Applicable,Not Applicable
,"Alabama","01","Nov., 1999","1999/11",141,Not Applicable,Not Applicable
,"Alabama","01","Dec., 1999","1999/12",154,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2000","2000/01",113,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2000","2000/02",98,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2000","2000/03",140,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2000","2000/04",97,Not Applicable,Not Applicable
,"Alabama","01","May, 2000","2000/05",135,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2000","2000/06",162,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2000","2000/07",140,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2000","2000/08",132,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2000","2000/09",122,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2000","2000/10",148,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2000","2000/11",120,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2000","2000/12",132,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2001","2001/01",133,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2001","2001/02",127,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2001","2001/03",129,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2001","2001/04",110,Not Applicable,Not Applicable
,"Alabama","01","May, 2001","2001/05",142,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2001","2001/06",130,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2001","2001/07",132,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2001","2001/08",118,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2001","2001/09",124,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2001","2001/10",132,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2001","2001/11",125,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2001","2001/12",130,Not Applicable,Not Applicable
