GENESIS-Tabelle: 12410-010Z
Fortschreibung zum 30.06. nach Geschlecht auf Gemeinden;;;;;
(Gebietsstand 01.01.2023);;;;;
Fortschreibung des Bev.standes (Basis 9.5.2011) ;;;;;
Bevölkerung am 30.06. (absolut);;;;;
;;;Insgesamt;männlich;weiblich
30.06.2011;14;Freistaat Sachsen;4054859;1976939;2077920
30.06.2011;145;  Chemnitz, NUTS 2-Region;1497834;728407;769427
30.06.2011;14511;    Chemnitz, Stadt;239977;115635;124342
30.06.2011;14511000;      Chemnitz, Stadt;239977;115635;124342
30.06.2011;14521;    Erzgebirgskreis;361451;176353;185098
30.06.2011;14521010;      Amtsberg;3917;1931;1986
30.06.2011;14521020;      Annaberg-Buchholz, Stadt;21105;10028;11077
30.06.2011;14521035;      Aue-Bad Schlema, Stadt;22060;10448;11612
30.06.2011;14521040;      Auerbach (Erzgebirgskreis);2746;1325;1421
30.06.2011;14521060;      Bärenstein;2468;1222;1246
30.06.2011;14521080;      Bockau;2431;1172;1259
30.06.2011;14521090;      Börnichen/Erzgeb.;987;494;493
30.06.2011;14521110;      Breitenbrunn/Erzgeb.;5763;2778;2985
30.06.2011;14521120;      Burkhardtsdorf;6345;3121;3224
30.06.2011;14521130;      Crottendorf;4268;2069;2199
30.06.2011;14521140;      Deutschneudorf;1086;577;509
30.06.2011;14521150;      Drebach;5655;2864;2791
30.06.2011;14521160;      Ehrenfriedersdorf, Stadt;4950;2387;2563
30.06.2011;14521170;      Eibenstock, Stadt;8013;3967;4046
30.06.2011;14521180;      Elterlein, Stadt;3091;1538;1553
30.06.2011;14521200;      Gelenau/Erzgeb.;4412;2164;2248
30.06.2011;14521210;      Geyer, Stadt;3785;1844;1941
30.06.2011;14521220;      Gornau/Erzgeb.;3823;1880;1943
30.06.2011;14521230;      Gornsdorf;2104;1061;1043
30.06.2011;14521240;      Großolbersdorf;2972;1499;1473
30.06.2011;14521250;      Großrückerswalde;3644;1823;1821
30.06.2011;14521260;      Grünhain-Beierfeld, Stadt;6152;3060;3092
30.06.2011;14521270;      Grünhainichen;3679;1832;1847
30.06.2011;14521280;      Heidersdorf;849;439;410
30.06.2011;14521290;      Hohndorf;3779;1855;1924
30.06.2011;14521310;      Jahnsdorf/Erzgeb.;5640;2785;2855
30.06.2011;14521320;      Johanngeorgenstadt, Stadt;4539;2156;2383
30.06.2011;14521330;      Jöhstadt, Stadt;2972;1501;1471
30.06.2011;14521340;      Königswalde;2303;1142;1161
30.06.2011;14521355;      Lauter-Bernsbach, Stadt;9100;4448;4652
30.06.2011;14521370;      Lößnitz, Stadt;9341;4492;4849
30.06.2011;14521380;      Lugau/Erzgeb., Stadt;8574;4180;4394
30.06.2011;14521390;      Marienberg, Stadt;18025;8971;9054
30.06.2011;14521400;      Mildenau;3514;1755;1759
30.06.2011;14521410;      Neukirchen/Erzgeb.;6846;3357;3489
30.06.2011;14521420;      Niederdorf;1264;621;643
30.06.2011;14521430;      Niederwürschnitz;2718;1358;1360
30.06.2011;14521440;      Oberwiesenthal, Kurort, Stadt;2341;1144;1197
30.06.2011;14521450;      Oelsnitz/Erzgeb., Stadt;11608;5620;5988
30.06.2011;14521460;      Olbernhau, Stadt;12318;6015;6303
30.06.2011;14521495;      Pockau-Lengefeld, Stadt;8280;4089;4191
30.06.2011;14521500;      Raschau-Markersbach;5477;2683;2794
30.06.2011;14521510;      Scheibenberg, Stadt;2223;1124;1099
30.06.2011;14521520;      Schlettau, Stadt;2527;1225;1302
30.06.2011;14521530;      Schneeberg, Stadt;14927;7252;7675
30.06.2011;14521540;      Schönheide;4933;2401;2532
30.06.2011;14521550;      Schwarzenberg/Erzgeb., Stadt;18106;8620;9486
30.06.2011;14521560;      Sehmatal;6852;3393;3459
30.06.2011;14521570;      Seiffen/Erzgeb., Kurort;2437;1240;1197
30.06.2011;14521590;      Stollberg/Erzgeb., Stadt;11599;5562;6037
30.06.2011;14521600;      Stützengrün;3559;1757;1802
30.06.2011;14521610;      Tannenberg;1160;589;571
30.06.2011;14521620;      Thalheim/Erzgeb., Stadt;6844;3339;3505
30.06.2011;14521630;      Thermalbad Wiesenbad;3532;1754;1778
30.06.2011;14521640;      Thum, Stadt;5483;2695;2788
30.06.2011;14521670;      Wolkenstein, Stadt;4045;1980;2065
30.06.2011;14521690;      Zschopau, Stadt, Motorradstadt;10045;4833;5212
30.06.2011;14521700;      Zschorlau;5575;2721;2854
30.06.2011;14521710;      Zwönitz, Stadt;12660;6173;6487
30.06.2011;14522;    Mittelsachsen, Landkreis;321736;158667;163069
30.06.2011;14522010;      Altmittweida;1988;991;997
30.06.2011;14522020;      Augustusburg, Stadt;4871;2407;2464
30.06.2011;14522035;      Bobritzsch-Hilbersdorf;5958;2969;2989
30.06.2011;14522050;      Brand-Erbisdorf, Stadt;10289;5017;5272
30.06.2011;14522060;      Burgstädt, Stadt;11199;5388;5811
30.06.2011;14522070;      Claußnitz;3287;1630;1657
30.06.2011;14522080;      Döbeln, Stadt;24462;11878;12584
30.06.2011;14522090;      Dorfchemnitz;1662;839;823
30.06.2011;14522110;      Eppendorf;4467;2168;2299
30.06.2011;14522120;      Erlau;3349;1685;1664
30.06.2011;14522140;      Flöha, Stadt;11525;5530;5995
30.06.2011;14522150;      Frankenberg/Sa., Stadt, Garnisonsstadt;15005;7436;7569
