GENESIS-Tabelle: 12411-0005
Bevölkerung: Deutschland, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.1970;31.12.1971;31.12.1972;31.12.1973;31.12.1974;31.12.1975;31.12.1976;31.12.1977;31.12.1978;31.12.1979;31.12.1980;31.12.1981;31.12.1982;31.12.1983;31.12.1984;31.12.1985;31.12.1986;31.12.1987;31.12.1988;31.12.1989;31.12.1990;31.12.1991;31.12.1992;31.12.1993;31.12.1994;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021;31.12.2022
unter 1 Jahr;784613;762827;687094;623024;614537;587834;593752;575696;571432;578555;617152;621031;616631;590215;580343;584304;625121;636933;678404;686693;911442;832749;811917;799022;769617;766004;796261;811285;784783;771223;766554;735755;719250;706449;704988;685987;673132;685495;683350;665151;678233;658332;674411;683070;716419;744721;788299;785074;783978;774870;769380;791254;737780
1-Jährige;876254;784660;760819;684359;620633;605098;580566;590028;574428;572580;580548;616956;617931;613029;587050;581592;587960;623161;644970;694686;893851;917211;843806;818846;802816;775521;770514;798068;811801;788905;772940;772147;739547;722845;710046;708013;688498;676142;688205;687796;670614;679236;665848;684337;695915;740078;762519;796149;796374;794132;783593;780795;816186
2-Jährige;943815;881562;788398;763350;687074;617752;601690;579096;590827;576997;575773;581538;614477;614810;609617;588338;585271;587003;632371;662560;917783;903725;928447;850783;822359;807881;779353;771402;797253;814425;789766;775918;773772;741235;724130;710594;708358;689181;676795;689510;690118;669579;684310;672324;694369;715608;753217;770628;802651;802415;798366;789145;800812
3-Jährige;984782;950887;887963;794162;769503;686902;617239;601949;581446;594447;580861;577653;579775;611657;611122;610727;591701;584157;597010;650751;894486;928555;915678;936040;855019;827933;811515;780340;770627;799778;814674;792198;777811;775035;741711;724512;710219;708342;689055;677640;691188;689691;674000;690111;681109;713757;727203;760868;776763;807816;806198;803334;809359
4-Jährige;1012935;991385;957213;894404;801019;770121;687338;618279;604406;585473;598444;582765;576156;577418;607949;612269;614120;590996;594222;615483;879009;905179;940829;923459;940780;860836;832079;812818;780052;773303;799910;816966;794141;778756;775447;741752;723939;709884;707767;689511;678967;689748;693673;679650;698599;699382;725208;734059;766631;782143;811601;810805;824544
5-Jährige;1015178;1019343;996344;962569;900762;801515;770055;687724;620536;607694;589297;599966;580943;573340;573354;608836;615267;611466;600759;612973;847419;889393;917460;949151;928821;946977;865055;833050;812727;782784;773740;802195;819000;794971;778818;775287;741017;723274;708961;707731;690501;677338;693323;699007;687851;716863;709649;732088;739729;771479;785754;816142;832873
6-Jährige;1035925;1020429;1022698;998550;964682;897456;797089;764676;684768;620067;608409;587621;594716;574802;566214;571742;609595;611164;618875;617776;843422;857027;900477;925204;953911;934428;950861;865009;831714;814607;782802;775663;803429;819102;794354;777473;773550;739386;721364;708024;707769;687268;679924;697337;706180;704716;725990;715528;736749;743954;774587;789397;838586
7-Jährige;1023489;1040738;1023663;1025376;999651;961095;893197;793261;763696;685259;621615;607088;582180;588066;567674;564768;572679;608981;618486;635906;851817;852551;867789;907485;930550;959721;938499;951270;863620;833793;814593;784716;777074;803783;818738;793425;776037;772569;738257;721083;708585;705953;690255;684320;704334;723366;714614;732586;720613;741969;747447;779278;814051
8-Jährige;985694;1028316;1044693;1027850;1029250;998727;960460;893567;796816;768557;690918;623877;605249;578692;583356;568339;567719;572071;617943;635581;875417;861046;863834;875736;913763;937758;964774;940107;951076;866345;834766;817082;786980;778263;804014;818432;792530;775254;771931;738558;721979;706644;708941;694557;691490;720452;733904;721168;738238;725807;745883;752469;806355
