GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.1999;unter 1 Jahr;108338;123467;29604;18122;6013;15854;59142;12564;80678;176595;38264;8805;31317;18085;27485;16890
31.12.1999;1-Jährige;112109;127326;28828;17829;6132;15799;60757;12272;83264;182953;40155;9147;30064;17412;28278;16580
31.12.1999;2-Jährige;116965;130891;28697;17592;6281;16038;62953;12142;87292;190975;42131;9879;29085;17117;29756;16631
31.12.1999;3-Jährige;115112;129813;27817;16714;6140;15477;62240;11302;85544;189334;41849;10019;27215;16169;29722;15311
31.12.1999;4-Jährige;113104;127058;26526;15287;6023;14716;60022;10243;83635;184348;40881;9736;24405;14785;28605;13929
31.12.1999;5-Jährige;114430;129444;26335;14642;5905;14986;60866;9467;85216;189171;42152;10130;23433;14621;28982;13004
31.12.1999;6-Jährige;118730;135998;26417;14591;6050;14754;62534;10002;89400;197591;44605;10816;24160;14926;30306;13727
31.12.1999;7-Jährige;119555;137377;27510;16078;6247;15349;62923;11369;90076;202198;45572;11191;25950;16641;30672;15085
31.12.1999;8-Jährige;122010;139503;28561;19785;6317;15756;64235;13776;91511;206590;46648;11491;31501;19568;31419;17674
31.12.1999;9-Jährige;125813;144397;34892;31222;6433;16211;66488;22337;94200;212077;48194;12038;48854;30683;32206;28029
31.12.1999;10-Jährige;121850;138999;35792;34058;6421;15571;65068;24486;90690;205808;46811;11632;52424;32729;31174;29673
31.12.1999;11-Jährige;124772;140665;36934;36650;6407;16009;65832;26217;92532;209277;48135;11804;55655;35174;31624;32411
31.12.1999;12-Jährige;118899;133923;36773;38032;6349;14996;63484;28067;89118;203022;46533;11626;58308;36470;30111;33699
31.12.1999;13-Jährige;118222;133291;35898;37373;6145;14655;62123;27337;87461;198144;45625;11578;57338;35821;28806;33408
31.12.1999;14-Jährige;112488;126642;35448;38622;5932;14387;59540;27793;83631;187658;43194;10924;58562;36018;27160;33859
31.12.1999;15-Jährige;112241;126924;35225;38521;5760;14111;60212;27523;82504;186214;43469;10838;58918;36367;27008;34215
31.12.1999;16-Jährige;112632;128437;35787;38687;6273;14673;60356;27911;83572;187889;43157;10900;59736;37018;27220;34707
31.12.1999;17-Jährige;115865;132155;36829;39403;6703;15510;62826;28763;85836;193575;44508;11361;61264;37072;28258;36076
31.12.1999;18-Jährige;116845;133851;37200;38296;6837;16218;63306;27724;86502;193825;44886;11527;60080;36856;28438;35056
31.12.1999;19-Jährige;119450;134313;38932;38187;7000;17027;64767;28393;87076;196126;44727;11583;61383;36937;29030;35718
31.12.1999;20-Jährige;114730;130374;38253;35589;6952;17373;63048;26555;83982;186903;42472;11086;58901;34412;27591;33565
