GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.1967;unter 1 Jahr;152272;172254;24603;-;12084;25427;83950;-;124172;278473;59727;18068;-;-;44818;-
31.12.1967;1-Jährige;155269;176137;25035;-;12605;26074;85460;-;126551;283487;62635;18852;-;-;45432;-
31.12.1967;2-Jährige;153929;175068;25016;-;12148;25000;84968;-;125897;283272;63127;19338;-;-;44680;-
31.12.1967;3-Jährige;157354;180107;25665;-;12103;25750;87156;-;127317;289658;65836;20319;-;-;45048;-
31.12.1967;4-Jährige;155480;179940;25216;-;11741;25531;86281;-;124495;287371;66181;20717;-;-;43623;-
31.12.1967;5-Jährige;151122;175435;23562;-;11409;23981;83398;-;120397;275246;64585;20510;-;-;41017;-
31.12.1967;6-Jährige;150072;174875;22354;-;11265;23127;82461;-;118477;274996;64407;20665;-;-;40230;-
31.12.1967;7-Jährige;143514;167871;20628;-;10441;21704;78453;-;113676;265558;62790;19987;-;-;37806;-
31.12.1967;8-Jährige;139459;163825;20245;-;10171;21174;77029;-;111057;264404;61350;20456;-;-;36778;-
31.12.1967;9-Jährige;132281;156794;17890;-;9702;19905;73598;-;104197;250694;58677;19605;-;-;34483;-
31.12.1967;10-Jährige;129462;152919;16965;-;9518;19365;72088;-;103340;248398;58327;19236;-;-;33790;-
31.12.1967;11-Jährige;125986;147063;16604;-;9130;18160;69374;-;100250;239593;56789;18399;-;-;32075;-
31.12.1967;12-Jährige;118613;138563;16243;-;8559;17574;66820;-;96634;232108;54875;17675;-;-;31445;-
31.12.1967;13-Jährige;116750;137210;16810;-;8434;17262;66937;-;96803;231978;55848;18348;-;-;31409;-
31.12.1967;14-Jährige;113063;133954;17161;-;8077;16652;65030;-;94671;223683;54864;17868;-;-;30962;-
31.12.1967;15-Jährige;113928;135960;17657;-;8364;17029;66238;-;96878;225040;54884;17694;-;-;30983;-
31.12.1967;16-Jährige;112804;133966;19467;-;8537;18355;66714;-;96342;219729;54639;16982;-;-;31480;-
31.12.1967;17-Jährige;115594;136877;22207;-;8940;18931;70516;-;99237;222388;55689;17499;-;-;32486;-
31.12.1967;18-Jährige;116536;136650;22537;-;9497;20395;72466;-;98278;225904;54045;17901;-;-;33431;-
31.12.1967;19-Jährige;113338;136690;22564;-;9567;22061;71145;-;93481;212775;46078;15764;-;-;34331;-
31.12.1967;20-Jährige;106859;138883;22430;-;9644;21761;68680;-;86400;196854;40866;12649;-;-;34034;-
31.12.1967;21-Jährige;97979;129030;19025;-;9852;21819;60384;-;83864;188073;37943;10472;-;-;33818;-
31.12.1967;22-Jährige;87264;104166;24901;-;8312;20271;51707;-;65752;161291;32303;9948;-;-;28404;-
31.12.1967;23-Jährige;118229;138657;35444;-;11149;27696;72757;-;88706;216554;42578;13574;-;-;37597;-
31.12.1967;24-Jährige;122903;140596;39241;-;11481;29472;74352;-;92585;221671;42702;13600;-;-;38793;-
31.12.1967;25-Jährige;122242;138947;36691;-;11554;28330;71619;-;89142;219046;40999;13393;-;-;37011;-
31.12.1967;26-Jährige;149628;171389;41289;-;13795;33675;87914;-;109208;266697;52121;17018;-;-;44560;-
31.12.1967;27-Jährige;160176;186241;38224;-;14453;34832;95430;-;115930;293523;58116;18292;-;-;45125;-
31.12.1967;28-Jährige;158009;185269;34725;-;14197;33381;92920;-;115636;291348;58304;18567;-;-;45012;-
31.12.1967;29-Jährige;149319;168422;32147;-;13167;31589;85967;-;110563;279324;54670;17590;-;-;43307;-
31.12.1967;30-Jährige;139405;155923;30394;-;12542;29458;81683;-;103507;266649;52119;17550;-;-;39682;-
31.12.1967;31-Jährige;138667;152950;30135;-;12255;29353;81382;-;102443;267918;52629;18376;-;-;38383;-
31.12.1967;32-Jährige;134829;148085;29661;-;11690;29453;79821;-;100758;266346;52189;16768;-;-;36950;-
31.12.1967;33-Jährige;125539;140271;27598;-;10831;26203;75589;-;94945;258675;49556;15199;-;-;34038;-
31.12.1967;34-Jährige;107729;121199;19877;-;8387;20290;61939;-;76750;210032;42005;13350;-;-;26465;-
31.12.1967;35-Jährige;108094;124061;19384;-;8446;20063;62868;-;79077;214024;42659;14032;-;-;26212;-
31.12.1967;36-Jährige;111295;127029;20802;-;8755;21010;65516;-;82334;225136;44752;14923;-;-;27181;-
31.12.1967;37-Jährige;118406;135362;22354;-;9467;23026;70929;-;88607;244915;48592;15603;-;-;28675;-
31.12.1967;38-Jährige;115495;132924;22436;-;9491;23204;71061;-;87183;241915;48436;15299;-;-;28802;-
31.12.1967;39-Jährige;116426;136289;22730;-;9905;23790;73144;-;90256;246550;49827;15680;-;-;29763;-
31.12.1967;40-Jährige;109493;129097;21947;-;9279;22356;68253;-;86797;232039;47298;14914;-;-;27626;-
31.12.1967;41-Jährige;109349;130630;22541;-;9184;22443;69955;-;85765;228956;47232;14654;-;-;27501;-
31.12.1967;42-Jährige;109304;131063;23132;-;9627;23699;70872;-;88281;230722;47883;14912;-;-;29170;-
31.12.1967;43-Jährige;101265;124898;20739;-;8827;22238;67439;-;82436;218082;44901;14928;-;-;27212;-
31.12.1967;44-Jährige;103611;127904;19914;-;9042;21904;67679;-;82184;213013;45444;15853;-;-;27694;-
31.12.1967;45-Jährige;107416;134513;22283;-;9901;23640;71266;-;88067;226985;47879;15330;-;-;29565;-
31.12.1967;46-Jährige;113847;141275;25933;-;10771;25982;74242;-;92272;234720;48884;15564;-;-;32021;-
31.12.1967;47-Jährige;114394;141086;29491;-;10920;27448;75598;-;91820;228836;47577;14624;-;-;32578;-
31.12.1967;48-Jährige;88496;109806;23551;-;8287;20629;56809;-;71020;177006;36960;11190;-;-;24776;-
31.12.1967;49-Jährige;57776;72324;16009;-;5501;13505;37324;-;46973;124929;24670;8591;-;-;16908;-
31.12.1967;50-Jährige;55219;71270;15332;-;5479;13001;35317;-;46015;119151;24072;8080;-;-;16433;-
31.12.1967;51-Jährige;60012;76201;17861;-;6015;14997;38845;-;52720;133025;26850;8661;-;-;18495;-
31.12.1967;52-Jährige;80535;98726;24391;-;7992;20060;51956;-;69450;171424;35077;10503;-;-;24545;-
31.12.1967;53-Jährige;104732;128779;30687;-;10094;25282;66382;-;88895;214256;44683;13717;-;-;30703;-
31.12.1967;54-Jährige;106830;131985;33279;-;10599;25662;68196;-;89787;217147;45597;13853;-;-;31662;-
31.12.1967;55-Jährige;109501;136326;35356;-;10476;26437;69698;-;93642;219439;46200;14432;-;-;32833;-
31.12.1967;56-Jährige;103851;129381;35071;-;10184;25574;66612;-;88735;209024;43977;13583;-;-;31686;-
31.12.1967;57-Jährige;106380;131287;36348;-;10214;26551;68455;-;90220;214341;46065;14320;-;-;32191;-
31.12.1967;58-Jährige;106990;132146;38833;-;10503;27700;70516;-;91978;221167;46722;14330;-;-;32647;-
31.12.1967;59-Jährige;105552;129206;38766;-;10493;27635;69273;-;89485;218820;46336;14488;-;-;31903;-
31.12.1967;60-Jährige;102700;125494;39630;-;10202;27093;67514;-;87935;212635;45599;14068;-;-;31743;-
31.12.1967;61-Jährige;99071;123415;39704;-;9818;26836;66892;-;85881;209275;44144;13617;-;-;30699;-
31.12.1967;62-Jährige;96726;120972;37901;-;9394;25843;65592;-;83307;203922;44517;13682;-;-;30100;-
31.12.1967;63-Jährige;94138;119678;37434;-;9253;25619;64269;-;83273;200060;42994;13047;-;-;30022;-
31.12.1967;64-Jährige;88386;113423;35461;-;8688;24354;60124;-;78264;187028;40797;12329;-;-;28138;-
31.12.1967;65-Jährige;87974;114088;36264;-;8809;24453;60116;-;79443;185110;40524;11956;-;-;28445;-
31.12.1967;66-Jährige;85069;109794;33752;-;8038;23096;57328;-;75849;175203;38972;11492;-;-;26648;-
31.12.1967;67-Jährige;78533;102502;32039;-;7529;22068;54592;-;71920;163752;36615;10545;-;-;26329;-
31.12.1967;68-Jährige;74321;96820;30811;-;7206;20481;50269;-;67152;149859;34177;9580;-;-;23940;-
31.12.1967;69-Jährige;68746;90345;30399;-;6767;20115;47307;-;64833;139765;31782;8917;-;-;23787;-
31.12.1967;70-Jährige;62527;83710;28473;-;6246;18662;43279;-;58687;126299;28831;8060;-;-;21551;-
31.12.1967;71-Jährige;59649;80491;27338;-;6011;18179;41107;-;55965;120538;26696;7336;-;-;21410;-
31.12.1967;72-Jährige;54274;71655;25027;-;5390;16433;37603;-;51212;107830;24520;6572;-;-;19198;-
31.12.1967;73-Jährige;49454;66205;24440;-;5003;15903;34236;-;46860;99213;22594;5931;-;-;18263;-
31.12.1967;74-Jährige;45358;60769;22912;-;4895;14674;32229;-;44553;91377;21219;5568;-;-;16952;-
31.12.1967;75-Jährige;41622;55992;21201;-;4514;13183;28617;-;39846;81924;18701;4832;-;-;15385;-
31.12.1967;76-Jährige;38699;51389;20015;-;4048;12109;27466;-;37320;77107;17788;4364;-;-;14662;-
31.12.1967;77-Jährige;33705;44237;18312;-;3658;11388;23807;-;33509;67620;15068;3861;-;-;13324;-
31.12.1967;78-Jährige;31185;41053;16513;-;3438;10408;22642;-;30935;62790;14205;3614;-;-;12235;-
31.12.1967;79-Jährige;27341;36200;14819;-;3102;9018;19265;-;27905;55135;12377;3062;-;-;11196;-
31.12.1967;80-Jährige;24782;31743;13297;-;2679;7831;17112;-;24628;48060;10935;2841;-;-;9864;-
31.12.1967;81-Jährige;21297;27331;11315;-;2271;6769;14825;-;21036;41234;9287;2331;-;-;8428;-
31.12.1967;82-Jährige;18368;23893;9808;-;1964;5939;13042;-;17917;35289;8101;1917;-;-;7516;-
31.12.1967;83-Jährige;15471;20472;8148;-;1699;4991;10990;-;14947;29188;6782;1538;-;-;6278;-
31.12.1967;84-Jährige;12835;15720;6560;-;1445;4002;8864;-;12512;23595;5567;1358;-;-;5222;-
31.12.1967;85-Jährige;10754;13617;5455;-;1122;3399;7596;-;10411;20202;4706;1074;-;-;4502;-
31.12.1967;86-Jährige;8627;10898;4329;-;867;2756;6347;-;8541;16718;3909;1009;-;-;3592;-
31.12.1967;87-Jährige;6655;8651;3469;-;722;2230;4957;-;7007;12964;3036;711;-;-;2932;-
31.12.1967;88-Jährige;5047;6593;2678;-;548;1730;3762;-;5151;9655;2244;603;-;-;2369;-
31.12.1967;89-Jährige;4013;5455;2027;-;492;1294;3139;-;4435;7564;1861;374;-;-;1935;-
31.12.1967;90 Jahre und mehr;8272;11992;4394;-;914;2828;7410;-;9622;17330;3854;819;-;-;4797;-
31.12.1967;Insgesamt;8565471;10280351;2163306;-;751785;1832560;5262729;-;6993194;16842619;3625428;1131301;-;-;2499730;-
31.12.1968;unter 1 Jahr;145630;165029;22883;-;11360;23643;80607;-;120131;263672;57269;16819;-;-;43233;-
31.12.1968;1-Jährige;151979;171633;24304;-;11826;25027;84213;-;123836;276723;59458;17893;-;-;45036;-
31.12.1968;2-Jährige;155834;176333;24840;-;12429;25835;85847;-;126476;283075;62641;18699;-;-;45678;-
31.12.1968;3-Jährige;154886;175497;24820;-;12055;24906;85430;-;126008;283257;63107;19218;-;-;44796;-
31.12.1968;4-Jährige;158245;180575;25471;-;11999;25580;87718;-;127592;289760;65835;20201;-;-;45293;-
31.12.1968;5-Jährige;156408;180333;25067;-;11652;25388;86796;-;124698;287472;66183;20602;-;-;43872;-
31.12.1968;6-Jährige;151797;175827;23429;-;11266;23780;83852;-;120616;275192;64623;20425;-;-;41215;-
31.12.1968;7-Jährige;150824;175295;22211;-;11197;22929;82892;-;118665;274981;64449;20583;-;-;40487;-
31.12.1968;8-Jährige;144270;168261;20563;-;10408;21572;78983;-;113822;265657;62892;19878;-;-;38021;-
31.12.1968;9-Jährige;140322;164305;20126;-;10096;21058;77487;-;111247;264397;61455;20383;-;-;36943;-
31.12.1968;10-Jährige;133064;157369;17804;-;9667;19747;74052;-;104410;250789;58751;19513;-;-;34644;-
31.12.1968;11-Jährige;130330;153409;16936;-;9468;19177;72527;-;103536;248470;58427;19144;-;-;33994;-
31.12.1968;12-Jährige;126881;147511;16577;-;9100;18045;69862;-;100337;239729;56837;18318;-;-;32275;-
31.12.1968;13-Jährige;119452;139140;16191;-;8523;17482;67202;-;96790;232391;54902;17602;-;-;31563;-
31.12.1968;14-Jährige;117874;137779;16792;-;8423;17204;67441;-;96962;232465;55748;18215;-;-;31555;-
31.12.1968;15-Jährige;114640;134637;17164;-;8079;16656;65658;-;94737;224684;54581;17632;-;-;31014;-
31.12.1968;16-Jährige;115906;136659;17683;-;8475;17193;67115;-;96642;225871;54844;17607;-;-;30991;-
31.12.1968;17-Jährige;115258;134690;19697;-;8650;18637;67769;-;96302;220801;54413;16943;-;-;31562;-
31.12.1968;18-Jährige;120117;139065;23383;-;9097;19432;72454;-;99505;223978;55413;17251;-;-;32935;-
31.12.1968;19-Jährige;120982;139701;24209;-;9631;20891;74667;-;98124;227533;53340;17517;-;-;34165;-
31.12.1968;20-Jährige;116233;139712;23866;-;9802;22269;72738;-;93080;213556;45844;15461;-;-;35495;-
31.12.1968;21-Jährige;110798;141463;23725;-;9782;22021;70292;-;85429;198601;40634;12410;-;-;34539;-
31.12.1968;22-Jährige;102524;131681;20167;-;10082;22413;62452;-;82582;191169;37754;10241;-;-;33586;-
31.12.1968;23-Jährige;91631;107487;25258;-;8465;20593;54008;-;65525;164470;32069;9790;-;-;28193;-
31.12.1968;24-Jährige;122179;142002;35258;-;11226;27748;74818;-;88335;219402;42331;13292;-;-;37726;-
31.12.1968;25-Jährige;126109;143763;38666;-;11603;29529;76375;-;92263;223694;42541;13345;-;-;38916;-
31.12.1968;26-Jährige;125198;141567;36221;-;11677;28258;73135;-;88764;221229;40963;13160;-;-;37197;-
31.12.1968;27-Jährige;151687;173872;40428;-;13834;33451;89508;-;108937;268437;52117;16746;-;-;44922;-
31.12.1968;28-Jährige;162737;188717;37715;-;14490;34414;96790;-;115942;295078;58039;17959;-;-;45419;-
31.12.1968;29-Jährige;159986;187355;34454;-;14130;32963;94199;-;115589;292678;58378;18282;-;-;45271;-
31.12.1968;30-Jährige;151317;170182;31888;-;13155;31302;87293;-;110657;280193;54622;17392;-;-;43598;-
31.12.1968;31-Jährige;141120;157623;30325;-;12461;29159;82712;-;103607;267454;52139;17316;-;-;39924;-
31.12.1968;32-Jährige;140346;154464;30071;-;12154;29001;82207;-;102674;268634;52732;18186;-;-;38648;-
31.12.1968;33-Jährige;136353;149586;29569;-;11613;29081;80723;-;100923;267077;52262;16581;-;-;37198;-
31.12.1968;34-Jährige;127295;141610;27588;-;10801;26007;76476;-;95281;259399;49686;15046;-;-;34333;-
31.12.1968;35-Jährige;109508;122475;20056;-;8363;20084;62626;-;77019;211189;42060;13213;-;-;26709;-
31.12.1968;36-Jährige;109576;125229;19377;-;8378;19838;63576;-;79315;214373;42659;13878;-;-;26402;-
31.12.1968;37-Jährige;112654;128056;20785;-;8751;20775;66020;-;82551;225434;44715;14811;-;-;27416;-
31.12.1968;38-Jährige;119710;136247;22330;-;9428;22738;71555;-;88702;245039;48589;15485;-;-;28964;-
31.12.1968;39-Jährige;116485;133807;22346;-;9430;22930;71557;-;87283;241836;48426;15221;-;-;29012;-
31.12.1968;40-Jährige;117413;136932;22579;-;9836;23540;73477;-;90327;246620;49769;15566;-;-;29938;-
