GENESIS-Tabelle: 12613-0003
Gestorbene: Deutschland, Jahre, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der Sterbef‰lle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
m‰nnlich;unter 1 Jahr;26423;25998;25623;25399;25331;24274;22639;21722;20274;18329;17846;16615;15706;15144;13694;12961;11289;10202;9400;8557;7697;6917;6733;6360;6208;5918;5485;5001;4528;4256;4279;4238;4038;3862;3720;3279;2851;2687;2454;2324;2272;2260;2088;1979;1917;1815;1670;1700;1629;1541;1429;1518;1381;1339;1294;1347;1207;1268;1266;1297;1494;1418;1399;1387;1283;1313
m‰nnlich;1-J‰hrige;1854;1768;1733;1817;1592;1620;1445;1595;1334;1290;1283;1174;1125;1182;1004;848;707;644;523;513;470;464;417;461;414;418;452;425;371;367;325;340;334;294;311;313;254;222;223;223;191;202;193;173;183;175;156;157;144;130;122;134;105;136;102;105;99;106;80;108;114;109;107;110;78;89
m‰nnlich;2-J‰hrige;897;884;857;865;849;885;863;845;806;808;791;706;653;684;586;610;507;455;424;369;316;309;299;275;285;267;234;220;219;201;224;186;222;202;213;210;198;187;164;165;110;119;130;126;101;113;83;83;68;77;70;52;87;65;68;66;52;58;37;65;68;58;57;65;41;45
m‰nnlich;3-J‰hrige;668;660;603;614;596;641;590;618;589;620;610;625;592;562;551;520;493;427;367;351;265;251;245;217;237;207;236;195;194;157;176;147;134;150;192;173;144;149;125;108;104;102;71;90;91;106;74;78;65;69;60;59;51;52;47;48;39;47;58;44;37;37;51;53;40;46
m‰nnlich;4-J‰hrige;532;515;508;491;518;501;467;472;473;547;489;537;489;530;512;505;444;405;324;321;274;225;216;208;196;168;181;143;152;180;147;140;151;109;132;136;129;117;117;104;69;87;70;79;62;61;48;63;52;62;50;56;41;60;44;37;51;34;39;42;44;31;45;45;46;43
m‰nnlich;5-J‰hrige;477;472;407;388;452;418;433;392;414;437;434;497;485;473;493;442;427;370;394;306;293;245;221;192;184;166;178;139;141;115;143;119;134;116;127;116;103;108;98;97;90;63;62;52;47;53;63;55;51;50;49;54;37;37;41;38;43;42;26;30;46;33;33;43;30;44
m‰nnlich;6-J‰hrige;432;425;366;375;366;388;386;367;369;399;362;431;467;446;411;451;443;379;328;305;305;242;235;182;180;136;145;128;109;112;122;104;135;101;93;93;93;94;96;74;87;82;57;70;66;48;46;58;40;48;41;42;38;39;42;34;31;27;37;35;41;28;32;40;31;28
m‰nnlich;7-J‰hrige;317;425;325;381;326;333;293;336;333;351;369;363;402;379;401;387;402;397;305;316;269;255;248;203;167;150;155;128;108;117;120;96;133;105;117;90;88;78;90;87;60;61;65;66;44;45;47;58;46;42;42;43;34;35;29;27;31;34;32;27;33;25;38;33;39;28
m‰nnlich;8-J‰hrige;259;319;338;311;319;314;291;323;304;311;343;358;340;344;346;368;374;309;282;287;262;229;228;212;175;155;139;106;112;115;105;87;99;121;114;106;83;82;62;71;58;87;59;76;58;45;47;57;41;48;41;49;36;29;31;34;33;29;23;28;38;28;30;25;31;21
m‰nnlich;9-J‰hrige;250;277;274;333;247;285;291;265;282;270;282;298;268;314;322;299;332;304;271;249;227;232;218;190;179;152;108;141;87;83;82;100;99;90;81;77;76;83;80;59;70;71;58;56;64;61;31;47;38;46;44;32;41;31;30;30;29;45;36;24;28;24;38;29;24;29
