GENESIS-Tabelle: 12613-020Z
Gestorbene (je 1000 EW);;;
auf Gemeinden (Gebietsstand 01.01.23);;;
Sterbefälle;;;
;;;Gestorbene je 1000 Einwohner
;;;je 1000 Ew
1983;14;Freistaat Sachsen;14,6
1983;145;  Chemnitz, NUTS 2-Region;15,4
1983;14511;    Chemnitz, Stadt;14,0
1983;14511000;      Chemnitz, Stadt;14,0
1983;14521;    Erzgebirgskreis;14,8
1983;14521010;      Amtsberg;18,3
1983;14521020;      Annaberg-Buchholz, Stadt;17,9
1983;14521035;      Aue-Bad Schlema, Stadt;15,4
1983;14521040;      Auerbach (Erzgebirgskreis);14,1
1983;14521060;      Bärenstein;14,5
1983;14521080;      Bockau;12,0
1983;14521090;      Börnichen/Erzgeb.;12,2
1983;14521110;      Breitenbrunn/Erzgeb.;17,3
1983;14521120;      Burkhardtsdorf;20,2
1983;14521130;      Crottendorf;14,0
1983;14521140;      Deutschneudorf;13,5
1983;14521150;      Drebach;11,6
1983;14521160;      Ehrenfriedersdorf, Stadt;16,1
1983;14521170;      Eibenstock, Stadt;16,3
1983;14521180;      Elterlein, Stadt;15,2
1983;14521200;      Gelenau/Erzgeb.;13,6
1983;14521210;      Geyer, Stadt;14,9
1983;14521220;      Gornau/Erzgeb.;17,4
1983;14521230;      Gornsdorf;16,7
1983;14521240;      Großolbersdorf;14,3
1983;14521250;      Großrückerswalde;15,0
1983;14521260;      Grünhain-Beierfeld, Stadt;13,6
1983;14521270;      Grünhainichen;14,7
1983;14521280;      Heidersdorf;8,4
1983;14521290;      Hohndorf;16,2
1983;14521310;      Jahnsdorf/Erzgeb.;25,7
1983;14521320;      Johanngeorgenstadt, Stadt;15,4
1983;14521330;      Jöhstadt, Stadt;14,6
1983;14521340;      Königswalde;10,0
1983;14521355;      Lauter-Bernsbach, Stadt;17,2
1983;14521370;      Lößnitz, Stadt;14,7
1983;14521380;      Lugau/Erzgeb., Stadt;13,2
1983;14521390;      Marienberg, Stadt;11,5
1983;14521400;      Mildenau;12,2
1983;14521410;      Neukirchen/Erzgeb.;14,1
1983;14521420;      Niederdorf;10,9
1983;14521430;      Niederwürschnitz;14,7
1983;14521440;      Oberwiesenthal, Kurort, Stadt;10,1
1983;14521450;      Oelsnitz/Erzgeb., Stadt;16,3
1983;14521460;      Olbernhau, Stadt;20,0
1983;14521495;      Pockau-Lengefeld, Stadt;13,4
1983;14521500;      Raschau-Markersbach;12,7
1983;14521510;      Scheibenberg, Stadt;13,4
1983;14521520;      Schlettau, Stadt;14,1
1983;14521530;      Schneeberg, Stadt;12,4
1983;14521540;      Schönheide;17,1
1983;14521550;      Schwarzenberg/Erzgeb., Stadt;12,0
1983;14521560;      Sehmatal;14,0
1983;14521570;      Seiffen/Erzgeb., Kurort;16,4
1983;14521590;      Stollberg/Erzgeb., Stadt;14,9
1983;14521600;      Stützengrün;13,1
1983;14521610;      Tannenberg;14,8
1983;14521620;      Thalheim/Erzgeb., Stadt;11,9
1983;14521630;      Thermalbad Wiesenbad;18,0
1983;14521640;      Thum, Stadt;10,5
1983;14521670;      Wolkenstein, Stadt;11,3
1983;14521690;      Zschopau, Stadt, Motorradstadt;17,9
1983;14521700;      Zschorlau;16,1
1983;14521710;      Zwönitz, Stadt;11,9
1983;14522;    Mittelsachsen, Landkreis;14,9
1983;14522010;      Altmittweida;14,8
1983;14522020;      Augustusburg, Stadt;23,9
1983;14522035;      Bobritzsch-Hilbersdorf;29,7
1983;14522050;      Brand-Erbisdorf, Stadt;9,4
1983;14522060;      Burgstädt, Stadt;17,8
1983;14522070;      Claußnitz;16,2
1983;14522080;      Döbeln, Stadt;15,2
1983;14522090;      Dorfchemnitz;12,3
1983;14522110;      Eppendorf;15,5
1983;14522120;      Erlau;26,4
1983;14522140;      Flöha, Stadt;13,9
1983;14522150;      Frankenberg/Sa., Stadt, Garnisonsstadt;14,7
1983;14522170;      Frauenstein, Stadt;11,5
1983;14522180;      Freiberg, Stadt, Universitätsstadt;11,5
1983;14522190;      Geringswalde, Stadt;16,8
1983;14522200;      Großhartmannsdorf;10,3
1983;14522210;      Großschirma, Stadt;13,8
1983;14522220;      Großweitzschen;17,0
1983;14522230;      Hainichen, Stadt;18,4
1983;14522240;      Halsbrücke;14,3
1983;14522250;      Hartha, Stadt;11,9
1983;14522260;      Hartmannsdorf (Landkreis Mittelsachsen);15,5
1983;14522275;      Jahnatal;11,4
1983;14522280;      Königsfeld;10,2
1983;14522290;      Königshain-Wiederau;11,1
1983;14522300;      Kriebstein;22,1
1983;14522310;      Leisnig, Stadt;15,6
1983;14522320;      Leubsdorf;19,9
1983;14522330;      Lichtenau;17,0
1983;14522340;      Lichtenberg/Erzgeb.;23,5
1983;14522350;      Lunzenau, Stadt;16,6
1983;14522360;      Mittweida, Stadt, Hochschulstadt;15,2
1983;14522380;      Mühlau;16,9
1983;14522390;      Mulda/Sa.;17,1
1983;14522400;      Neuhausen/Erzgeb.;13,2
1983;14522420;      Niederwiesa;18,3
1983;14522430;      Oberschöna;10,7
1983;14522440;      Oederan, Stadt;13,8
1983;14522460;      Penig, Stadt;13,6
1983;14522470;      Rechenberg-Bienenmühle;13,9
1983;14522480;      Reinsberg;17,3
1983;14522490;      Rochlitz, Stadt;12,4
1983;14522500;      Rossau;14,5
1983;14522510;      Roßwein, Stadt;14,3
1983;14522520;      Sayda, Stadt;16,8
1983;14522530;      Seelitz;16,3
1983;14522540;      Striegistal;15,4
1983;14522550;      Taura;20,3
1983;14522570;      Waldheim, Stadt;14,8
1983;14522580;      Wechselburg;17,2
1983;14522590;      Weißenborn/Erzgeb.;14,8
1983;14522600;      Zettlitz;9,6
1983;14523;    Vogtlandkreis;16,8
1983;14523010;      Adorf/Vogtl., Stadt;15,3
1983;14523020;      Auerbach/Vogtl., Stadt;19,0
1983;14523030;      Bad Brambach;16,3
1983;14523040;      Bad Elster, Stadt;19,0
1983;14523050;      Bergen;15,7
1983;14523060;      Bösenbrunn;22,6
1983;14523080;      Eichigt;19,0
1983;14523090;      Ellefeld;16,7
