"Notes","State","State Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","Jan., 1999","1999/01",1021,Not Applicable,Not Applicable
,"Alabama","01","Feb., 1999","1999/02",865,Not Applicable,Not Applicable
,"Alabama","01","Mar., 1999","1999/03",1189,Not Applicable,Not Applicable
,"Alabama","01","Apr., 1999","1999/04",946,Not Applicable,Not Applicable
,"Alabama","01","May, 1999","1999/05",845,Not Applicable,Not Applicable
,"Alabama","01","Jun., 1999","1999/06",828,Not Applicable,Not Applicable
,"Alabama","01","Jul., 1999","1999/07",816,Not Applicable,Not Applicable
,"Alabama","01","Aug., 1999","1999/08",794,Not Applicable,Not Applicable
,"Alabama","01","Sep., 1999","1999/09",807,Not Applicable,Not Applicable
,"Alabama","01","Oct., 1999","1999/10",805,Not Applicable,Not Applicable
,"Alabama","01","Nov., 1999","1999/11",859,Not Applicable,Not Applicable
,"Alabama","01","Dec., 1999","1999/12",1074,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2000","2000/01",1281,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2000","2000/02",1021,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2000","2000/03",903,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2000","2000/04",841,Not Applicable,Not Applicable
,"Alabama","01","May, 2000","2000/05",853,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2000","2000/06",817,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2000","2000/07",771,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2000","2000/08",881,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2000","2000/09",864,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2000","2000/10",894,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2000","2000/11",802,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2000","2000/12",1016,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2001","2001/01",1139,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2001","2001/02",916,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2001","2001/03",966,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2001","2001/04",1002,Not Applicable,Not Applicable
,"Alabama","01","May, 2001","2001/05",929,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2001","2001/06",831,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2001","2001/07",863,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2001","2001/08",779,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2001","2001/09",882,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2001","2001/10",940,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2001","2001/11",951,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2001","2001/12",1004,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2002","2002/01",1105,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2002","2002/02",1125,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2002","2002/03",1147,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2002","2002/04",876,Not Applicable,Not Applicable
,"Alabama","01","May, 2002","2002/05",914,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2002","2002/06",837,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2002","2002/07",890,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2002","2002/08",867,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2002","2002/09",889,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2002","2002/10",825,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2002","2002/11",1007,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2002","2002/12",1046,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2003","2003/01",1171,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2003","2003/02",1038,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2003","2003/03",985,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2003","2003/04",907,Not Applicable,Not Applicable
,"Alabama","01","May, 2003","2003/05",910,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2003","2003/06",906,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2003","2003/07",863,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2003","2003/08",893,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2003","2003/09",865,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2003","2003/10",865,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2003","2003/11",907,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2003","2003/12",1309,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2004","2004/01",1145,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2004","2004/02",923,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2004","2004/03",996,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2004","2004/04",892,Not Applicable,Not Applicable
,"Alabama","01","May, 2004","2004/05",963,Not Applicable,Not Applicable
