date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all,age_group_type
202104,0 - 9,fully_vaccinated,0,0,6,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,0 - 9,partially_vaccinated,0,0,10,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,0 - 9,not_vaccinated,0,0,887672,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,0 - 9,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,10 - 19,fully_vaccinated,0,0,51,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,10 - 19,partially_vaccinated,0,0,976,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,10 - 19,not_vaccinated,0,0,861844,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,10 - 19,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,20 - 29,fully_vaccinated,0,0,419,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,20 - 29,partially_vaccinated,0,0,7567,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,20 - 29,not_vaccinated,0,0,1024229,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,20 - 29,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,30 - 39,fully_vaccinated,0,0,708,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,30 - 39,partially_vaccinated,0,0,11904,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,30 - 39,not_vaccinated,0,0,1247355,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,30 - 39,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,40 - 49,fully_vaccinated,0,0,1060,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,40 - 49,partially_vaccinated,0,0,16126,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,40 - 49,not_vaccinated,1,1,1193781,0.08,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,40 - 49,unknown,1,1,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,50 - 59,fully_vaccinated,0,0,1639,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,50 - 59,partially_vaccinated,0,0,25027,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
202104,50 - 59,not_vaccinated,1,1,1279780,0.08,NA,CHFL,COVID19Death,vaccine,all,limited,2022-11-17_06-08-21,TRUE,age_group_AKL10
