"Notes","Year","Year Code","Month","Month Code",Births
,"2016","2016","January","1",316707
,"2016","2016","February","2",306015
,"2016","2016","March","3",328526
,"2016","2016","April","4",313485
,"2016","2016","May","5",327631
,"2016","2016","June","6",332324
,"2016","2016","July","7",342728
,"2016","2016","August","8",357830
,"2016","2016","September","9",345552
,"2016","2016","October","10",330958
,"2016","2016","November","11",319389
,"2016","2016","December","12",324730
"Total","2016","2016",,,3945875
,"2017","2017","January","1",313786
,"2017","2017","February","2",289054
,"2017","2017","March","3",319625
,"2017","2017","April","4",300116
,"2017","2017","May","5",322456
,"2017","2017","June","6",323920
,"2017","2017","July","7",334924
,"2017","2017","August","8",352151
,"2017","2017","September","9",337175
,"2017","2017","October","10",329869
,"2017","2017","November","11",316511
,"2017","2017","December","12",315913
"Total","2017","2017",,,3855500
,"2018","2018","January","1",314808
,"2018","2018","February","2",284250
,"2018","2018","March","3",316044
,"2018","2018","April","4",298394
,"2018","2018","May","5",320622
,"2018","2018","June","6",314816
,"2018","2018","July","7",329009
,"2018","2018","August","8",344750
,"2018","2018","September","9",322772
,"2018","2018","October","10",326778
,"2018","2018","November","11",308703
,"2018","2018","December","12",310766
"Total","2018","2018",,,3791712
,"2019","2019","January","1",310872
,"2019","2019","February","2",279963
,"2019","2019","March","3",304237
,"2019","2019","April","4",298947
,"2019","2019","May","5",316386
,"2019","2019","June","6",304092
,"2019","2019","July","7",333646
,"2019","2019","August","8",341685
,"2019","2019","September","9",325781
,"2019","2019","October","10",325043
,"2019","2019","November","11",298086
,"2019","2019","December","12",308802
"Total","2019","2019",,,3747540
,"2020","2020","January","1",304722
,"2020","2020","February","2",282654
,"2020","2020","March","3",301625
,"2020","2020","April","4",290478
,"2020","2020","May","5",301481
,"2020","2020","June","6",302164
,"2020","2020","July","7",321637
,"2020","2020","August","8",319621
,"2020","2020","September","9",311705
,"2020","2020","October","10",305085
,"2020","2020","November","11",282597
,"2020","2020","December","12",289878
"Total","2020","2020",,,3613647
,"2021","2021","January","1",277172
,"2021","2021","February","2",266355
,"2021","2021","March","3",302692
,"2021","2021","April","4",293208
,"2021","2021","May","5",300912
,"2021","2021","June","6",313597
,"2021","2021","July","7",326117
,"2021","2021","August","8",330271
,"2021","2021","September","9",325738
,"2021","2021","October","10",315414
,"2021","2021","November","11",301730
,"2021","2021","December","12",311086
"Total","2021","2021",,,3664292
,"2022","2022","January","1",294843
,"2022","2022","February","2",275727
,"2022","2022","March","3",307459
,"2022","2022","April","4",288660
,"2022","2022","May","5",297576
,"2022","2022","June","6",305759
,"2022","2022","July","7",320822
,"2022","2022","August","8",335912
,"2022","2022","September","9",312233
,"2022","2022","October","10",306805
,"2022","2022","November","11",307148
,"2022","2022","December","12",314814
"Total","2022","2022",,,3667758
"Total",,,,,26286324
