group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2017-09;70560.53;73673.41;72111.37;75246.57;76480
Total;2017-10;70143.02;73211;71671.54;74761.33;73114
Total;2017-11;69665.32;72684.16;71169.4;74209.51;70770
Total;2017-12;69135.2;72102.54;70613.67;73601.72;68919
Total;2017-13;68561.16;71476.49;70013.77;72949.26;68722
Total;2017-14;67952.21;70816.87;69379.61;72263.92;67418
Total;2017-15;67317.77;70134.69;68721.42;71557.51;67063
Total;2017-16;66667.48;69440.97;68049.51;70841.78;66241
Total;2017-17;66011.03;68746.45;67374.11;70127.98;68295
Total;2017-18;65358.11;68061.42;66705.2;69426.71;67510
Total;2017-19;64718.09;67395.68;66052.36;68747.99;67082
Total;2017-20;64100.17;66758.18;65424.68;68100.63;66332
Total;2017-21;63512.96;66157.22;64830.6;67492.77;65368
Total;2017-22;62964.59;65600.24;64277.91;66931.51;64111
Total;2017-23;62462.55;65093.83;63773.66;66422.98;62003
Total;2017-24;62013.53;64643.8;63324.11;65972.54;64171
Total;2017-25;61623.51;64255.08;62934.71;65584.55;66224
Total;2017-26;61297.47;63931.96;62610.1;65263;63021
Total;2017-27;61039.96;63677.54;62354.1;65010.22;64270
Total;2017-28;60853.99;63494.79;62169.71;64829.14;62161
Total;2017-29;60742.24;63385.38;62059.12;64720.96;63142
Total;2017-30;60706.11;63350.66;62023.69;64686.96;62373
Total;2017-31;60746.28;63390.99;62063.94;64727.37;64624
Total;2017-32;60862.5;63506.13;62179.63;64841.93;63228
Total;2017-33;61053.57;63695.05;62369.65;65029.71;62631
Total;2017-34;61317.34;63956.07;62632.07;65289.26;63073
Total;2017-35;61650.77;64286.77;62964.17;65618.5;62646
Total;2017-36;62049.97;64683.82;63362.33;66014.37;61507
Total;2017-37;62510.03;65143.29;63822.13;66473.44;63100
Total;2017-38;63025.17;65660.38;64338.28;66991.42;64687
Total;2017-39;63588.91;66229.39;64904.67;67562.99;66066
Total;2017-40;64193.73;66843.95;65514.37;68182.41;66452
Total;2017-41;64831.58;67496.73;66159.68;68842.67;67705
Total;2017-42;65493.7;68179.65;66832.18;69536.06;67020
Total;2017-43;66170.89;68883.77;67522.79;70253.78;66408
Total;2017-44;66853.5;69599.46;68221.87;70986.2;66881
Total;2017-45;67531.62;70316.54;68919.39;71723.01;68125
Total;2017-46;68195.29;71024.29;69605;72453.1;70230
Total;2017-47;68834.65;71711.59;70268.21;73164.72;71140
Total;2017-48;69440.06;72367.33;70898.66;73846;71609
Total;2017-49;70001.98;72980.74;71486.19;74485.56;74446
Total;2017-50;70511.98;73541.01;72021.19;75071.38;76853
Total;2017-51;70961.94;74038.35;72494.7;75592.8;78056
Total;2017-52;71344.72;74463.8;72898.7;76039.94;81374
Total;2018-01;71654.22;74809.55;73226.22;76404.13;85501
Total;2018-02;71885.53;75069.23;73471.63;76678.24;83481
Total;2018-03;72034.98;75238.03;73630.7;76856.89;83207
Total;2018-04;72100.28;75312.86;73700.74;76936.58;80969
Total;2018-05;72080.58;75292.45;73680.68;76915.8;80345
Total;2018-06;71976.37;75177.37;73571.07;76795.2;81013
Total;2018-07;71789.65;74970.03;73374.1;76577.37;83458
Total;2018-08;71523.74;74674.58;73093.5;76266.9;85104
Total;2018-09;71183.26;74296.84;72734.5;75870.22;90492
Total;2018-10;70773.98;73844.07;72303.6;75395.34;91220
Total;2018-11;70302.69;73324.77;71808.43;74851.64;84788
Total;2018-12;69777.11;72748.53;71257.66;74249.66;80714
Total;2018-13;69205.68;72125.65;70660.64;73600.65;77746
Total;2018-14;68597.42;71467;70027.31;72916.43;75274
Total;2018-15;67961.71;70783.67;69367.91;72208.93;72678
Total;2018-16;67308.27;70086.75;68692.82;71489.97;69695
Total;2018-17;66646.85;69387.14;68012.39;70771.03;66314
Total;2018-18;65987.21;68695.31;67336.72;70062.91;65500
Total;2018-19;65338.93;68021.14;66675.54;69375.68;65276
Total;2018-20;64711.26;67373.9;66038.11;68718.59;64206
Total;2018-21;64113.02;66762.02;65433.05;68099.86;64855
Total;2018-22;63552.53;66193.1;64868.34;67526.76;65163
Total;2018-23;63037.42;65673.99;64351.2;67005.71;63598
Total;2018-24;62574.63;65210.63;63888.1;66542.17;62025
Total;2018-25;62170.28;64808.18;63484.66;66140.77;63091
Total;2018-26;61829.68;64470.96;63145.72;65805.35;64942
Total;2018-27;61557.27;64202.55;62875.27;65539.04;65041
