year,age_group,jurisdiction,population
1999,0-29,Deutschland,771223
2000,0-29,Deutschland,766554
2001,0-29,Deutschland,735755
2002,0-29,Deutschland,719250
2003,0-29,Deutschland,706449
2004,0-29,Deutschland,704988
2005,0-29,Deutschland,685987
2006,0-29,Deutschland,673132
2007,0-29,Deutschland,685495
2008,0-29,Deutschland,683350
2009,0-29,Deutschland,665151
2010,0-29,Deutschland,678233
2011,0-29,Deutschland,658332
2012,0-29,Deutschland,674411
2013,0-29,Deutschland,683070
2014,0-29,Deutschland,716419
2015,0-29,Deutschland,744721
2016,0-29,Deutschland,788299
2017,0-29,Deutschland,785074
2018,0-29,Deutschland,783978
2019,0-29,Deutschland,774870
2020,0-29,Deutschland,769380
2021,0-29,Deutschland,791254
2022,0-29,Deutschland,799265
2023,0-29,Deutschland,799265
1999,0-29,Deutschland,788905
2000,0-29,Deutschland,772940
2001,0-29,Deutschland,772147
2002,0-29,Deutschland,739547
2003,0-29,Deutschland,722845
2004,0-29,Deutschland,710046
2005,0-29,Deutschland,708013
2006,0-29,Deutschland,688498
2007,0-29,Deutschland,676142
2008,0-29,Deutschland,688205
2009,0-29,Deutschland,687796
2010,0-29,Deutschland,670614
2011,0-29,Deutschland,679236
2012,0-29,Deutschland,665848
2013,0-29,Deutschland,684337
2014,0-29,Deutschland,695915
2015,0-29,Deutschland,740078
2016,0-29,Deutschland,762519
2017,0-29,Deutschland,796149
2018,0-29,Deutschland,796374
2019,0-29,Deutschland,794132
2020,0-29,Deutschland,783593
2021,0-29,Deutschland,780795
2022,0-29,Deutschland,788700
2023,0-29,Deutschland,788700
1999,0-29,Deutschland,814425
2000,0-29,Deutschland,789766
2001,0-29,Deutschland,775918
2002,0-29,Deutschland,773772
2003,0-29,Deutschland,741235
2004,0-29,Deutschland,724130
2005,0-29,Deutschland,710594
2006,0-29,Deutschland,708358
2007,0-29,Deutschland,689181
2008,0-29,Deutschland,676795
2009,0-29,Deutschland,689510
2010,0-29,Deutschland,690118
2011,0-29,Deutschland,669579
2012,0-29,Deutschland,684310
2013,0-29,Deutschland,672324
2014,0-29,Deutschland,694369
2015,0-29,Deutschland,715608
2016,0-29,Deutschland,753217
2017,0-29,Deutschland,770628
2018,0-29,Deutschland,802651
2019,0-29,Deutschland,802415
2020,0-29,Deutschland,798366
2021,0-29,Deutschland,789145
2022,0-29,Deutschland,797134
2023,0-29,Deutschland,797134
1999,0-29,Deutschland,799778
2000,0-29,Deutschland,814674
2001,0-29,Deutschland,792198
2002,0-29,Deutschland,777811
2003,0-29,Deutschland,775035
2004,0-29,Deutschland,741711
2005,0-29,Deutschland,724512
2006,0-29,Deutschland,710219
2007,0-29,Deutschland,708342
2008,0-29,Deutschland,689055
2009,0-29,Deutschland,677640
2010,0-29,Deutschland,691188
2011,0-29,Deutschland,689691
2012,0-29,Deutschland,674000
2013,0-29,Deutschland,690111
2014,0-29,Deutschland,681109
2015,0-29,Deutschland,713757
2016,0-29,Deutschland,727203
2017,0-29,Deutschland,760868
2018,0-29,Deutschland,776763
2019,0-29,Deutschland,807816
2020,0-29,Deutschland,806198
2021,0-29,Deutschland,803334
2022,0-29,Deutschland,811467
2023,0-29,Deutschland,811467
1999,0-29,Deutschland,773303
2000,0-29,Deutschland,799910
2001,0-29,Deutschland,816966
2002,0-29,Deutschland,794141
2003,0-29,Deutschland,778756
2004,0-29,Deutschland,775447
2005,0-29,Deutschland,741752
2006,0-29,Deutschland,723939
2007,0-29,Deutschland,709884
2008,0-29,Deutschland,707767
2009,0-29,Deutschland,689511
2010,0-29,Deutschland,678967
2011,0-29,Deutschland,689748
2012,0-29,Deutschland,693673
2013,0-29,Deutschland,679650
2014,0-29,Deutschland,698599
2015,0-29,Deutschland,699382
2016,0-29,Deutschland,725208
2017,0-29,Deutschland,734059
2018,0-29,Deutschland,766631
2019,0-29,Deutschland,782143
2020,0-29,Deutschland,811601
2021,0-29,Deutschland,810805
2022,0-29,Deutschland,819014
2023,0-29,Deutschland,819014
1999,0-29,Deutschland,782784
2000,0-29,Deutschland,773740
2001,0-29,Deutschland,802195
2002,0-29,Deutschland,819000
2003,0-29,Deutschland,794971
2004,0-29,Deutschland,778818
2005,0-29,Deutschland,775287
2006,0-29,Deutschland,741017
2007,0-29,Deutschland,723274
2008,0-29,Deutschland,708961
2009,0-29,Deutschland,707731
2010,0-29,Deutschland,690501
2011,0-29,Deutschland,677338
2012,0-29,Deutschland,693323
2013,0-29,Deutschland,699007
2014,0-29,Deutschland,687851
2015,0-29,Deutschland,716863
2016,0-29,Deutschland,709649
2017,0-29,Deutschland,732088
2018,0-29,Deutschland,739729
2019,0-29,Deutschland,771479
2020,0-29,Deutschland,785754
2021,0-29,Deutschland,816142
2022,0-29,Deutschland,824405
2023,0-29,Deutschland,824405
1999,0-29,Deutschland,814607
2000,0-29,Deutschland,782802
2001,0-29,Deutschland,775663
2002,0-29,Deutschland,803429
2003,0-29,Deutschland,819102
2004,0-29,Deutschland,794354
