SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,36,001,New York,Albany County,1,0,314848,153120,161728,116312,121937,21057,23278,496,510,10476,11085,126,121,4653,4797,120515,126176,23810,26325,1194,1271,12216,12724,295,318,143228,151394,109636,115146,18948,20953,230,247,10364,10965,72,74,3978,4009,113213,118657,21165,23350,779,853,12055,12546,205,235,9892,10334,6676,6791,2109,2325,266,263,112,120,54,47,675,788,7302,7519,2645,2975,415,418,161,178,90,83
050,36,001,New York,Albany County,1,1,15220,7780,7440,4976,4686,1458,1416,34,34,730,666,15,14,567,624,5523,5295,1817,1821,66,71,928,875,24,22,6933,6566,4498,4218,1206,1182,12,12,714,651,9,9,494,494,4977,4702,1503,1475,30,30,908,851,14,12,847,874,478,468,252,234,22,22,16,15,6,5,73,130,546,593,314,346,36,41,20,24,10,10
050,36,001,New York,Albany County,1,2,16267,8428,7839,5304,4921,1567,1545,44,23,847,704,18,18,648,628,5928,5529,1983,1967,86,53,1070,907,28,28,7557,6989,4780,4440,1374,1324,10,8,832,681,9,14,552,522,5313,4948,1710,1655,36,25,1049,877,17,20,871,850,524,481,193,221,34,15,15,23,9,4,96,106,615,581,273,312,50,28,21,30,11,8
050,36,001,New York,Albany County,1,3,16312,8373,7939,5410,5123,1663,1579,41,24,636,657,7,6,616,550,6000,5642,2069,1956,84,60,852,833,15,17,7555,7145,4914,4655,1463,1369,16,10,627,650,5,2,530,459,5421,5086,1792,1666,45,32,840,821,12,11,818,794,496,468,200,210,25,14,9,7,2,4,86,91,579,556,277,290,39,28,12,12,3,6
050,36,001,New York,Albany County,1,4,22858,11094,11764,7803,8100,1874,2098,34,31,829,940,14,8,540,587,8300,8642,2226,2496,85,88,1019,1130,30,26,10060,10718,7116,7438,1641,1839,19,11,813,929,10,5,461,496,7544,7898,1925,2157,53,48,998,1115,20,21,1034,1046,687,662,233,259,15,20,16,11,4,3,79,91,756,744,301,339,32,40,21,15,10,5
050,36,001,New York,Albany County,1,5,32288,15766,16522,11511,11717,2316,2683,40,67,1222,1525,15,7,662,523,12115,12190,2752,3040,126,144,1449,1690,34,26,14449,15153,10669,10788,1991,2378,20,25,1212,1511,9,2,548,449,11170,11197,2333,2673,77,83,1433,1674,24,17,1317,1369,842,929,325,305,20,42,10,14,6,5,114,74,945,993,419,367,49,61,16,16,10,9
050,36,001,New York,Albany County,1,6,21665,10844,10821,7663,7555,1998,1984,42,37,771,864,10,10,360,371,7988,7892,2208,2213,93,91,904,993,30,25,9992,9904,7088,6926,1812,1789,13,16,765,857,7,8,307,308,7366,7204,1985,1968,49,53,894,979,23,20,852,917,575,629,186,195,29,21,6,7,3,2,53,63,622,688,223,245,44,38,10,14,7,5
050,36,001,New York,Albany County,1,7,19736,9901,9835,7287,6984,1505,1615,29,37,822,902,8,9,250,288,7506,7245,1615,1776,69,83,951,1017,24,23,9093,9065,6680,6464,1366,1440,14,15,811,895,4,7,218,244,6868,6684,1456,1568,46,48,937,1008,17,19,808,770,607,520,139,175,15,22,11,7,4,2,32,44,638,561,159,208,23,35,14,9,7,4
050,36,001,New York,Albany County,1,8,19787,9812,9975,7440,7208,1251,1524,22,26,889,967,6,11,204,239,7617,7409,1352,1652,56,68,981,1075,19,33,9100,9286,6918,6715,1114,1378,7,13,885,963,5,7,171,210,7064,6891,1192,1483,34,46,974,1070,16,27,712,689,522,493,137,146,15,13,4,4,1,4,33,29,553,518,160,169,22,22,7,5,3,6
050,36,001,New York,Albany County,1,9,17614,8779,8835,6629,6280,1139,1390,20,28,820,907,7,15,164,215,6771,6457,1222,1509,54,65,891,1001,12,33,8159,8265,6177,5900,1027,1258,10,12,812,902,2,7,131,186,6289,6050,1088,1356,34,46,877,993,7,21,620,570,452,380,112,132,10,16,8,5,5,8,33,29,482,407,134,153,20,19,14,8,5,12
050,36,001,New York,Albany County,1,10,17251,8519,8732,6446,6497,1101,1303,22,25,842,741,5,4,103,162,6528,6617,1150,1404,50,62,892,808,11,12,8075,8222,6099,6138,1038,1203,9,9,840,739,1,2,88,131,6166,6230,1076,1278,35,41,889,801,6,10,444,510,347,359,63,100,13,16,2,2,4,2,15,31,362,387,74,126,15,21,3,7,5,2
050,36,001,New York,Albany County,1,11,19241,9502,9739,7644,7680,1133,1314,44,36,551,544,8,10,122,155,7735,7787,1193,1409,88,93,602,602,19,25,9066,9234,7328,7351,1059,1200,21,19,545,538,4,4,109,122,7407,7429,1108,1269,62,70,595,592,13,18,436,505,316,329,74,114,23,17,6,6,4,6,13,33,328,358,85,140,26,23,7,10,6,7
050,36,001,New York,Albany County,1,12,21414,10461,10953,8647,9067,1211,1265,39,32,438,468,3,4,123,117,8739,9145,1259,1330,92,81,487,508,14,14,10104,10568,8371,8805,1161,1183,20,20,435,463,2,3,115,94,8455,8863,1203,1231,72,65,483,499,13,12,357,385,276,262,50,82,19,12,3,5,1,1,8,23,284,282,56,99,20,16,4,9,1,2
050,36,001,New York,Albany County,1,13,20506,10013,10493,8505,8906,1022,1114,23,29,370,347,7,2,86,95,8572,8970,1057,1168,65,77,407,373,12,8,9733,10182,8308,8687,968,1057,11,19,366,340,3,2,77,77,8366,8734,997,1097,50,64,403,363,8,7,280,311,197,219,54,57,12,10,4,7,4,0,9,18,206,236,60,71,15,13,4,10,4,1
050,36,001,New York,Albany County,1,14,17795,8444,9351,7380,8149,701,804,18,24,274,281,1,1,70,92,7431,8198,728,854,56,82,303,309,8,10,8246,9071,7240,7926,663,766,13,13,273,278,0,1,57,87,7278,7970,683,814,47,68,298,306,3,9,198,280,140,223,38,38,5,11,1,3,1,0,13,5,153,228,45,40,9,14,5,3,5,1
050,36,001,New York,Albany County,1,15,14621,6728,7893,5929,6888,527,662,18,22,198,253,1,1,55,67,5966,6926,551,704,51,65,217,270,2,6,6597,7705,5839,6734,495,641,14,17,198,252,1,1,50,60,5871,6766,515,678,47,59,215,268,1,5,131,188,90,154,32,21,4,5,0,1,0,0,5,7,95,160,36,26,4,6,2,2,1,1
050,36,001,New York,Albany County,1,16,9207,4001,5206,3553,4593,295,420,11,14,114,138,0,1,28,40,3572,4618,310,442,26,38,120,145,2,7,3923,5084,3491,4505,288,397,9,13,113,138,0,0,22,31,3504,4523,298,414,22,33,119,144,2,3,78,122,62,88,7,23,2,1,1,0,0,1,6,9,68,95,12,28,4,5,1,1,0,4
050,36,001,New York,Albany County,1,17,5973,2413,3560,2138,3156,180,280,7,7,72,92,0,0,16,25,2149,3176,186,294,17,21,77,95,2,2,2361,3497,2103,3109,168,273,5,5,72,90,0,0,13,20,2112,3124,173,284,12,17,77,93,2,2,52,63,35,47,12,7,2,2,0,2,0,0,3,5,37,52,13,10,5,4,0,2,0,0
050,36,001,New York,Albany County,1,18,7093,2262,4831,2047,4427,116,282,8,14,51,89,1,0,39,19,2075,4438,132,290,30,29,66,93,9,1,2225,4740,2017,4347,114,276,7,10,51,88,1,0,35,19,2042,4358,128,284,28,25,66,92,7,1,37,91,30,80,2,6,1,4,0,1,0,0,4,0,33,80,4,6,2,4,0,1,2,0
050,36,001,New York,Albany County,2,0,314368,152914,161454,116058,121610,21100,23324,506,519,10441,11049,130,120,4679,4832,120195,125784,23602,26100,1147,1252,12550,13095,348,359,142961,151087,109351,114808,18980,20982,234,253,10326,10931,75,75,3995,4038,112864,118265,20956,23114,730,818,12369,12900,252,272,9953,10367,6707,6802,2120,2342,272,266,115,118,55,45,684,794,7331,7519,2646,2986,417,434,181,195,96,87
050,36,001,New York,Albany County,2,1,15098,7719,7379,4916,4640,1463,1401,34,34,718,668,17,15,571,621,5461,5238,1782,1759,63,68,965,928,31,28,6859,6515,4440,4176,1207,1169,12,13,702,653,10,10,488,494,4908,4656,1459,1419,31,27,938,899,17,15,860,864,476,464,256,232,22,21,16,15,7,5,83,127,553,582,323,340,32,41,27,29,14,13
