SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
040,3,6,01,000,Alabama,Alabama,5024356,5031362,5049846,5074296,7006,18484,24450,13867,57112,58280,15165,69056,66870,-1298,-11944,-8590,127,1805,4597,9042,27704,28609,9169,29509,33206,-865,919,-166,127918,131155,134475,141319,11.330388184,11.513074392,13.699945483,13.210008315,-2.369557299,-1.696933923,0.3580920064,0.908126338,5.4961667292,5.6516394179,5.8542587357,6.559765756
050,3,6,01,001,Alabama,Autauga County,58802,58902,59210,59759,100,308,549,162,694,709,177,682,673,-15,12,36,0,15,27,99,240,508,99,255,535,16,41,-22,478,478,478,478,11.751557843,11.919071355,11.548360878,11.313871681,0.2031969656,0.6051996739,0.253996207,0.4538997554,4.0639393118,8.5400398423,4.3179355188,8.9939395977
050,3,6,01,003,Alabama,Baldwin County,231761,233219,239361,246435,1458,6142,7074,560,2367,2411,593,3044,2909,-33,-677,-498,11,105,315,1592,6969,6982,1603,7074,7297,-112,-255,275,3546,3450,3360,3369,10.01735156,9.9259771591,12.882474925,11.976220471,-2.865123365,-2.050243312,0.4443692073,1.2968406492,29.493419104,28.744575913,29.937788311,30.041416562
050,3,6,01,005,Alabama,Barbour County,25224,24960,24539,24706,-264,-421,167,60,276,277,93,383,372,-33,-107,-95,0,0,4,-195,-308,243,-195,-308,247,-36,-6,15,2716,2475,2244,2701,11.151740439,11.249873084,15.475060102,15.108132805,-4.323319663,-3.858259722,0,0.1624530409,-12.44469585,9.8690222358,-12.44469585,10.031475277
050,3,6,01,007,Alabama,Bibb County,22300,22183,22370,22005,-117,187,-365,56,244,248,55,318,321,1,-74,-73,0,1,2,-107,259,-301,-107,260,-299,-11,1,7,2147,2063,2002,2033,10.953246695,11.177464789,14.275132988,14.467605634,-3.321886293,-3.290140845,0.0448903553,0.0901408451,11.626602025,-13.56619718,11.67149238,-13.47605634
050,3,6,01,009,Alabama,Blount County,59130,59102,59085,59512,-28,-17,427,137,656,674,201,865,844,-64,-209,-170,1,9,14,21,140,592,22,149,606,14,43,-9,616,616,616,616,11.101051723,11.366223429,14.637819726,14.233075036,-3.536768003,-2.866851607,0.1523010145,0.2360936617,2.3691268921,9.9833891245,2.5214279066,10.219482786
050,3,6,01,011,Alabama,Bullock County,10362,10296,10280,10202,-66,-16,-78,24,110,112,40,150,149,-16,-40,-37,0,1,1,-44,18,-39,-44,19,-38,-6,5,-3,1706,1696,1704,1702,10.692068429,10.936431989,14.580093313,14.549360414,-3.888024883,-3.612928425,0.0972006221,0.0976467142,1.7496111975,-3.808221853,1.8468118196,-3.710575139
050,3,6,01,013,Alabama,Butler County,19055,19031,18855,18650,-24,-176,-205,47,219,222,88,331,317,-41,-112,-95,0,5,11,15,-75,-116,15,-70,-105,2,6,-5,288,288,288,288,11.560998786,11.838421544,17.473473051,16.904412745,-5.912474265,-5.065991201,0.263949744,0.5865884549,-3.95924616,-6.185841888,-3.695296416,-5.599253433
050,3,6,01,015,Alabama,Calhoun County,116444,116239,115677,115788,-205,-562,111,305,1276,1303,396,1868,1832,-91,-592,-529,0,12,35,-119,-68,637,-119,-56,672,5,86,-32,5631,5554,5410,5752,11.003984201,11.258721621,16.109280947,15.829607068,-5.105296745,-4.570885447,0.1034857448,0.3024215324,-0.586419221,5.5040718899,-0.482933476,5.8064934223
050,3,6,01,017,Alabama,Chambers County,34774,34645,34446,34088,-129,-199,-358,87,381,391,169,612,589,-82,-231,-198,2,22,53,-54,-10,-208,-52,12,-155,5,20,-5,860,856,848,850,11.028932857,11.410394841,17.715766163,17.18854875,-6.686833307,-5.778153909,0.6368412673,1.5466775615,-0.289473303,-6.069979864,0.347367964,-4.523302303
050,3,6,01,019,Alabama,Cherokee County,24979,24972,25026,25302,-7,54,276,62,239,248,124,476,471,-62,-237,-223,0,7,14,58,284,478,58,291,492,-3,0,7,278,278,278,278,9.5603824153,9.8553489111,19.04076163,18.717215069,-9.480379215,-8.861866158,0.2800112004,0.5563503418,11.360454418,18.99539024,11.640465619,19.551740582
050,3,6,01,021,Alabama,Chilton County,45009,45051,45259,45884,42,208,625,147,546,562,144,666,641,3,-120,-79,1,20,36,26,290,659,27,310,695,12,18,9,388,388,388,388,12.091684199,12.332269072,14.74919721,14.065808674,-2.657513011,-1.733539603,0.4429188351,0.7899674138,6.4223231093,14.460792381,6.8652419444,15.250759795
050,3,6,01,023,Alabama,Choctaw County,12663,12619,12549,12439,-44,-70,-110,33,136,137,53,203,200,-20,-67,-63,0,1,0,-23,-12,-41,-23,-11,-41,-1,8,-6,66,66,66,66,10.807374444,10.965263326,16.131595677,16.007683688,-5.324221233,-5.042420362,0.0794659886,0,-0.953591863,-3.281575156,-0.874125874,-3.281575156
050,3,6,01,025,Alabama,Clarke County,23087,22981,22715,22515,-106,-266,-200,57,282,285,101,436,423,-44,-154,-138,0,0,1,-57,-120,-57,-57,-120,-56,-5,8,-6,366,366,366,366,12.342436975,12.60225514,19.082633053,18.704399735,-6.740196078,-6.102144594,0,0.0442184391,-5.25210084,-2.520451028,-5.25210084,-2.476232589
050,3,6,01,027,Alabama,Clay County,14237,14211,14190,14198,-26,-21,8,33,153,156,39,257,244,-6,-104,-88,0,-1,-3,-20,77,104,-20,76,101,0,7,-5,259,259,258,259,10.774268512,10.990559391,18.097954297,17.190362125,-7.323685786,-6.199802734,-0.070420056,-0.211356911,5.4223442837,7.3270395942,5.351924228,7.1156826828
050,3,6,01,029,Alabama,Cleburne County,15057,15063,15148,15346,6,85,198,37,168,172,48,259,251,-11,-91,-79,0,0,0,14,174,268,14,174,268,3,2,9,173,173,173,173,11.121776836,11.28090772,17.146072623,16.46225487,-6.024295786,-5.18134715,0,0,11.518983152,17.577228307,11.518983152,17.577228307
050,3,6,01,031,Alabama,Coffee County,53460,53547,54171,54805,87,624,634,159,678,685,176,722,704,-17,-44,-19,1,26,70,93,628,586,94,654,656,10,14,-3,769,714,696,704,12.588425333,12.571575393,13.40537329,12.920276024,-0.816947957,-0.348700631,0.4827419744,1.2846865365,11.660075382,10.754661577,12.142817356,12.039348113
050,3,6,01,033,Alabama,Colbert County,57232,57299,57619,58033,67,320,414,166,636,647,176,880,858,-10,-244,-211,2,10,23,67,540,595,69,550,618,8,14,7,406,406,406,406,11.068762074,11.18873863,15.315268278,14.837616297,-4.246506204,-3.648877667,0.1740371395,0.397744959,9.3980055344,10.289489157,9.5720426739,10.687234116
