"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","1999","1999",8198,996193,822.9
,"Alabama","01","2000","2000",8375,1015741,824.5
,"Alabama","01","2001","2001",8622,1048479,822.3
,"Alabama","01","2002","2002",8871,1077429,823.3
,"Alabama","01","2003","2003",9349,1105027,846.0
,"Alabama","01","2004","2004",9512,1133736,839.0
,"Alabama","01","2005","2005",10000,1163718,859.3
,"Alabama","01","2006","2006",10106,1196222,844.8
,"Alabama","01","2007","2007",10185,1222870,832.9
,"Alabama","01","2008","2008",10666,1244494,857.1
,"Alabama","01","2009","2009",10733,1265621,848.0
,"Alabama","01","2010","2010",10793,1281887,842.0
,"Alabama","01","2011","2011",11154,1295372,861.1
,"Alabama","01","2012","2012",11162,1288872,866.0
,"Alabama","01","2013","2013",11424,1287234,887.5
,"Alabama","01","2014","2014",11352,1286061,882.7
,"Alabama","01","2015","2015",11738,1287439,911.7
,"Alabama","01","2016","2016",11649,1289110,903.6
,"Alabama","01","2017","2017",11719,1287177,910.4
"Total","Alabama","01",,,195608,22772682,859.0
,"Alaska","02","1999","1999",703,135461,519.0
,"Alaska","02","2000","2000",747,139702,534.7
,"Alaska","02","2001","2001",817,147596,553.5
,"Alaska","02","2002","2002",907,155272,584.1
,"Alaska","02","2003","2003",885,162136,545.8
,"Alaska","02","2004","2004",860,169057,508.7
,"Alaska","02","2005","2005",921,175353,525.2
,"Alaska","02","2006","2006",932,181283,514.1
,"Alaska","02","2007","2007",1036,185355,558.9
,"Alaska","02","2008","2008",1021,189130,539.8
,"Alaska","02","2009","2009",1061,195393,543.0
,"Alaska","02","2010","2010",1099,196935,558.1
,"Alaska","02","2011","2011",1183,200496,590.0
,"Alaska","02","2012","2012",1172,199082,588.7
,"Alaska","02","2013","2013",1216,193302,629.1
,"Alaska","02","2014","2014",1234,190633,647.3
,"Alaska","02","2015","2015",1239,188064,658.8
,"Alaska","02","2016","2016",1214,189489,640.7
,"Alaska","02","2017","2017",1179,186651,631.7
"Total","Alaska","02",,,19426,3380390,574.7
,"Arizona","04","1999","1999",6781,1032514,656.7
,"Arizona","04","2000","2000",6854,1070276,640.4
,"Arizona","04","2001","2001",7042,1128753,623.9
,"Arizona","04","2002","2002",7594,1179404,643.9
,"Arizona","04","2003","2003",7815,1230617,635.0
,"Arizona","04","2004","2004",8028,1286040,624.2
,"Arizona","04","2005","2005",8686,1353018,642.0
,"Arizona","04","2006","2006",8872,1417801,625.8
,"Arizona","04","2007","2007",8878,1468199,604.7
,"Arizona","04","2008","2008",9121,1507727,605.0
,"Arizona","04","2009","2009",9157,1540845,594.3
,"Arizona","04","2010","2010",9441,1568774,601.8
,"Arizona","04","2011","2011",9629,1598632,602.3
,"Arizona","04","2012","2012",9901,1603872,617.3
,"Arizona","04","2013","2013",10067,1613067,624.1
,"Arizona","04","2014","2014",10127,1633417,620.0
,"Arizona","04","2015","2015",10529,1657469,635.2
,"Arizona","04","2016","2016",10955,1678039,652.8
,"Arizona","04","2017","2017",10679,1694017,630.4
"Total","Arizona","04",,,170156,27262481,624.1
,"Arkansas","05","1999","1999",4665,591060,789.3
,"Arkansas","05","2000","2000",4883,606302,805.4
,"Arkansas","05","2001","2001",4927,625960,787.1
,"Arkansas","05","2002","2002",5242,642505,815.9
,"Arkansas","05","2003","2003",5378,657421,818.0
,"Arkansas","05","2004","2004",5529,673738,820.6
,"Arkansas","05","2005","2005",5664,691183,819.5
,"Arkansas","05","2006","2006",5776,709982,813.5
,"Arkansas","05","2007","2007",5886,724609,812.3
,"Arkansas","05","2008","2008",6219,737074,843.7
,"Arkansas","05","2009","2009",6195,749138,827.0
,"Arkansas","05","2010","2010",6170,758257,813.7
,"Arkansas","05","2011","2011",6456,767111,841.6
,"Arkansas","05","2012","2012",6506,761087,854.8
,"Arkansas","05","2013","2013",6520,758066,860.1
,"Arkansas","05","2014","2014",6647,755423,879.9
,"Arkansas","05","2015","2015",6773,756882,894.9
,"Arkansas","05","2016","2016",6847,757242,904.2
,"Arkansas","05","2017","2017",6934,756507,916.6
"Total","Arkansas","05",,,113217,13479547,839.9
,"California","06","1999","1999",38712,6732357,575.0
,"California","06","2000","2000",39326,6945728,566.2
,"California","06","2001","2001",41017,7262695,564.8
,"California","06","2002","2002",41824,7531818,555.3
,"California","06","2003","2003",43866,7797979,562.5
,"California","06","2004","2004",43867,8035211,545.9
,"California","06","2005","2005",45307,8279719,547.2
,"California","06","2006","2006",46152,8498120,543.1
,"California","06","2007","2007",46598,8705909,535.2
,"California","06","2008","2008",46661,8907401,523.8
,"California","06","2009","2009",47354,9125993,518.9
,"California","06","2010","2010",46708,9288864,502.8
,"California","06","2011","2011",48069,9470194,507.6
,"California","06","2012","2012",48523,9535809,508.9
,"California","06","2013","2013",48605,9615601,505.5
,"California","06","2014","2014",49138,9763144,503.3
,"California","06","2015","2015",49921,9876676,505.4
,"California","06","2016","2016",50546,9884015,511.4
,"California","06","2017","2017",49966,9925366,503.4
"Total","California","06",,,872160,165182599,528.0
,"Colorado","08","1999","1999",4562,922105,494.7
,"Colorado","08","2000","2000",4734,953432,496.5
,"Colorado","08","2001","2001",4868,1007267,483.3
,"Colorado","08","2002","2002",5324,1049321,507.4
,"Colorado","08","2003","2003",5553,1089599,509.6
