"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","1999","1999",10849,65953,16449.6
,"Alabama","01","2000","2000",10944,67301,16261.3
,"Alabama","01","2001","2001",11202,66936,16735.4
,"Alabama","01","2002","2002",11528,66424,17355.2
,"Alabama","01","2003","2003",11619,65567,17720.8
,"Alabama","01","2004","2004",11093,65503,16935.1
,"Alabama","01","2005","2005",11505,67390,17072.3
,"Alabama","01","2006","2006",11393,69278,16445.3
,"Alabama","01","2007","2007",11446,70918,16139.8
,"Alabama","01","2008","2008",11944,72594,16453.2
,"Alabama","01","2009","2009",11799,74324,15875.1
,"Alabama","01","2010","2010",12045,75684,15914.9
,"Alabama","01","2011","2011",12293,77743,15812.4
,"Alabama","01","2012","2012",12529,80104,15640.9
,"Alabama","01","2013","2013",12585,81976,15352.1
,"Alabama","01","2014","2014",12477,83567,14930.5
,"Alabama","01","2015","2015",13042,85439,15264.7
,"Alabama","01","2016","2016",12816,86753,14773.0
,"Alabama","01","2017","2017",13033,88179,14780.2
"Total","Alabama","01",,,226142,1411633,16019.9
,"Alaska","02","1999","1999",344,2461,13978.1
,"Alaska","02","2000","2000",364,2634,13819.3
,"Alaska","02","2001","2001",378,2839,13314.5
,"Alaska","02","2002","2002",373,2985,12495.8
,"Alaska","02","2003","2003",457,3164,14443.7
,"Alaska","02","2004","2004",417,3318,12567.8
,"Alaska","02","2005","2005",466,3613,12897.9
,"Alaska","02","2006","2006",532,3870,13746.8
,"Alaska","02","2007","2007",534,4005,13333.3
,"Alaska","02","2008","2008",544,4285,12695.4
,"Alaska","02","2009","2009",601,4508,13331.9
,"Alaska","02","2010","2010",702,4711,14901.3
,"Alaska","02","2011","2011",666,5094,13074.2
,"Alaska","02","2012","2012",690,5373,12842.0
,"Alaska","02","2013","2013",735,5689,12919.7
,"Alaska","02","2014","2014",732,5931,12341.9
,"Alaska","02","2015","2015",763,6137,12432.8
,"Alaska","02","2016","2016",786,6420,12243.0
,"Alaska","02","2017","2017",798,6554,12175.8
"Total","Alaska","02",,,10882,83591,13018.1
,"Arizona","04","1999","1999",9503,66200,14355.0
,"Arizona","04","2000","2000",9766,68525,14251.7
,"Arizona","04","2001","2001",10152,70994,14299.8
,"Arizona","04","2002","2002",10790,72605,14861.2
,"Arizona","04","2003","2003",11049,75704,14595.0
,"Arizona","04","2004","2004",11118,78197,14217.9
,"Arizona","04","2005","2005",12037,82184,14646.4
,"Arizona","04","2006","2006",12326,86787,14202.6
,"Arizona","04","2007","2007",12400,91210,13595.0
,"Arizona","04","2008","2008",12710,94831,13402.8
,"Arizona","04","2009","2009",12688,99851,12706.9
,"Arizona","04","2010","2010",13486,103400,13042.6
,"Arizona","04","2011","2011",14296,110240,12968.1
,"Arizona","04","2012","2012",14383,114425,12569.8
,"Arizona","04","2013","2013",14890,119210,12490.6
,"Arizona","04","2014","2014",14946,124772,11978.6
,"Arizona","04","2015","2015",15847,130789,12116.5
,"Arizona","04","2016","2016",16589,136834,12123.4
,"Arizona","04","2017","2017",16821,136727,12302.6
"Total","Arizona","04",,,245797,1863485,13190.2
,"Arkansas","05","1999","1999",7476,45862,16301.1
,"Arkansas","05","2000","2000",7439,46492,16000.6
,"Arkansas","05","2001","2001",7345,46467,15806.9
,"Arkansas","05","2002","2002",7673,46266,16584.5
,"Arkansas","05","2003","2003",7424,46272,16044.3
,"Arkansas","05","2004","2004",7126,46414,15353.1
,"Arkansas","05","2005","2005",7494,47128,15901.4
,"Arkansas","05","2006","2006",7346,48405,15176.1
,"Arkansas","05","2007","2007",7461,49210,15161.6
,"Arkansas","05","2008","2008",7786,50052,15555.8
,"Arkansas","05","2009","2009",7544,50628,14900.8
,"Arkansas","05","2010","2010",7846,51402,15264.0
,"Arkansas","05","2011","2011",8136,53051,15336.2
,"Arkansas","05","2012","2012",8076,53920,14977.7
,"Arkansas","05","2013","2013",7997,54416,14696.0
,"Arkansas","05","2014","2014",7847,55050,14254.3
,"Arkansas","05","2015","2015",8081,55980,14435.5
,"Arkansas","05","2016","2016",8176,56680,14424.8
,"Arkansas","05","2017","2017",8255,57882,14261.8
"Total","Arkansas","05",,,146528,961577,15238.3
,"California","06","1999","1999",61097,413264,14784.0
,"California","06","2000","2000",62132,425657,14596.7
,"California","06","2001","2001",63745,437227,14579.4
,"California","06","2002","2002",64402,446450,14425.4
,"California","06","2003","2003",67002,461006,14533.9
,"California","06","2004","2004",64934,471045,13785.1
,"California","06","2005","2005",68204,493239,13827.8
,"California","06","2006","2006",70014,513007,13647.8
,"California","06","2007","2007",69790,537402,12986.6
,"California","06","2008","2008",72603,560907,12943.9
,"California","06","2009","2009",72982,584844,12478.9
,"California","06","2010","2010",76546,600968,12737.1
,"California","06","2011","2011",79798,633634,12593.7
,"California","06","2012","2012",81238,654281,12416.4
,"California","06","2013","2013",84053,668466,12574.0
,"California","06","2014","2014",81971,688650,11903.1
,"California","06","2015","2015",87948,707777,12425.9
,"California","06","2016","2016",88331,722333,12228.6
,"California","06","2017","2017",91368,732793,12468.5
"Total","California","06",,,1408158,10752950,13095.6
,"Colorado","08","1999","1999",7251,47252,15345.4
,"Colorado","08","2000","2000",7425,48216,15399.5
,"Colorado","08","2001","2001",7782,49534,15710.4
,"Colorado","08","2002","2002",8089,50422,16042.6
,"Colorado","08","2003","2003",8151,52063,15656.0
,"Colorado","08","2004","2004",7569,53947,14030.4
,"Colorado","08","2005","2005",8435,56302,14981.7
,"Colorado","08","2006","2006",8478,59396,14273.7
,"Colorado","08","2007","2007",8847,62355,14188.1
,"Colorado","08","2008","2008",9294,64898,14320.9
