"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018",11692,1282637,911.6
,"Alabama","01","2019","2019",11390,1274283,893.8
,"Alabama","01","2020","2020",13758,1265455,1087.2
,"Alabama","01","2021 (provisional)","2021",15770,1265455,1246.2
,"Alabama","01","2022 (provisional and partial)","2022",12185,1265455,962.9
"Total","Alabama","01",,,64795,6353285,1019.9
,"Alaska","02","2018","2018",1167,182719,638.7
,"Alaska","02","2019","2019",1104,178469,618.6
,"Alaska","02","2020","2020",1265,175012,722.8
,"Alaska","02","2021 (provisional)","2021",1533,175012,875.9
,"Alaska","02","2022 (provisional and partial)","2022",1174,175012,670.8
"Total","Alaska","02",,,6243,886224,704.4
,"Arizona","04","2018","2018",10938,1717067,637.0
,"Arizona","04","2019","2019",10851,1732884,626.2
,"Arizona","04","2020","2020",14014,1754593,798.7
,"Arizona","04","2021 (provisional)","2021",16048,1754593,914.6
,"Arizona","04","2022 (provisional and partial)","2022",12375,1754593,705.3
"Total","Arizona","04",,,64226,8713730,737.1
,"Arkansas","05","2018","2018",6714,753134,891.5
,"Arkansas","05","2019","2019",6733,747576,900.6
,"Arkansas","05","2020","2020",7765,744267,1043.3
,"Arkansas","05","2021 (provisional)","2021",8807,744267,1183.3
,"Arkansas","05","2022 (provisional and partial)","2022",7154,744267,961.2
"Total","Arkansas","05",,,37173,3733511,995.7
,"California","06","2018","2018",49663,9853200,504.0
,"California","06","2019","2019",49236,9766380,504.1
,"California","06","2020","2020",60065,9673369,620.9
,"California","06","2021 (provisional)","2021",66395,9673369,686.4
,"California","06","2022 (provisional and partial)","2022",51486,9673369,532.2
"Total","California","06",,,276845,48639687,569.2
,"Colorado","08","2018","2018",7333,1420771,516.1
,"Colorado","08","2019","2019",7463,1419163,525.9
,"Colorado","08","2020","2020",8598,1413690,608.2
,"Colorado","08","2021 (provisional)","2021",9470,1413690,669.9
,"Colorado","08","2022 (provisional and partial)","2022",7823,1413690,553.4
"Total","Colorado","08",,,40687,7081004,574.6
,"Connecticut","09","2018","2018",5089,1006756,505.5
,"Connecticut","09","2019","2019",5105,990360,515.5
,"Connecticut","09","2020","2020",6115,973729,628.0
,"Connecticut","09","2021 (provisional)","2021",6051,973729,621.4
,"Connecticut","09","2022 (provisional and partial)","2022",5154,973729,529.3
"Total","Connecticut","09",,,27514,4918303,559.4
