"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018",13271,89865,14767.7
,"Alabama","01","2019","2019",13080,91543,14288.4
,"Alabama","01","2020","2020",15447,92859,16634.9
,"Alabama","01","2021 (provisional)","2021",14555,92859,15674.3
,"Alabama","01","2022 (provisional and partial)","2022",13272,92859,14292.6
"Total","Alabama","01",,,69625,459985,15136.4
,"Alaska","02","2018","2018",821,6853,11980.2
,"Alaska","02","2019","2019",826,7181,11502.6
,"Alaska","02","2020","2020",930,7339,12672.0
,"Alaska","02","2021 (provisional)","2021",1046,7339,14252.6
,"Alaska","02","2022 (provisional and partial)","2022",902,7339,12290.5
"Total","Alaska","02",,,4525,36051,12551.7
,"Arizona","04","2018","2018",17188,142275,12080.8
,"Arizona","04","2019","2019",17069,145737,11712.2
,"Arizona","04","2020","2020",20546,152098,13508.4
,"Arizona","04","2021 (provisional)","2021",19927,152098,13101.4
,"Arizona","04","2022 (provisional and partial)","2022",18492,152098,12158.0
"Total","Arizona","04",,,93222,744306,12524.7
,"Arkansas","05","2018","2018",8207,59017,13906.2
,"Arkansas","05","2019","2019",8322,59912,13890.4
,"Arkansas","05","2020","2020",9600,61105,15710.7
,"Arkansas","05","2021 (provisional)","2021",8970,61105,14679.6
,"Arkansas","05","2022 (provisional and partial)","2022",8403,61105,13751.7
"Total","Arkansas","05",,,43502,302244,14393.0
,"California","06","2018","2018",90173,743585,12126.8
,"California","06","2019","2019",89969,749846,11998.3
,"California","06","2020","2020",101789,756372,13457.5
,"California","06","2021 (provisional)","2021",98821,756372,13065.1
,"California","06","2022 (provisional and partial)","2022",93551,756372,12368.4
"Total","California","06",,,474303,3762547,12605.9
,"Colorado","08","2018","2018",11989,88364,13567.7
,"Colorado","08","2019","2019",11937,89921,13275.0
,"Colorado","08","2020","2020",14146,91290,15495.7
,"Colorado","08","2021 (provisional)","2021",12928,91290,14161.5
,"Colorado","08","2022 (provisional and partial)","2022",12577,91290,13777.0
"Total","Colorado","08",,,63577,452155,14060.9
,"Connecticut","09","2018","2018",12421,91871,13520.0
,"Connecticut","09","2019","2019",12415,91330,13593.6
,"Connecticut","09","2020","2020",14422,90574,15922.9
,"Connecticut","09","2021 (provisional)","2021",11980,90574,13226.8
,"Connecticut","09","2022 (provisional and partial)","2022",11740,90574,12961.8
"Total","Connecticut","09",,,62978,454923,13843.7
,"Delaware","10","2018","2018",2879,19837,14513.3
,"Delaware","10","2019","2019",2752,20254,13587.4
,"Delaware","10","2020","2020",3296,20604,15996.9
,"Delaware","10","2021 (provisional)","2021",2978,20604,14453.5
,"Delaware","10","2022 (provisional and partial)","2022",2810,20604,13638.1
"Total","Delaware","10",,,14715,101903,14440.2
,"District of Columbia","11","2018","2018",1326,12153,10910.9
,"District of Columbia","11","2019","2019",1238,12242,10112.7
,"District of Columbia","11","2020","2020",1551,12290,12620.0
,"District of Columbia","11","2021 (provisional)","2021",1278,12290,10398.7
,"District of Columbia","11","2022 (provisional and partial)","2022",1176,12290,9568.8
"Total","District of Columbia","11",,,6569,61265,10722.3
,"Florida","12","2018","2018",65812,571419,11517.3
,"Florida","12","2019","2019",65757,581454,11309.1
,"Florida","12","2020","2020",74833,596309,12549.4
,"Florida","12","2021 (provisional)","2021",74932,596309,12566.0
,"Florida","12","2022 (provisional and partial)","2022",69647,596309,11679.7
"Total","Florida","12",,,350981,2941800,11930.8
,"Georgia","13","2018","2018",20564,146633,14024.1
,"Georgia","13","2019","2019",20519,151069,13582.5
,"Georgia","13","2020","2020",24309,155589,15623.9
,"Georgia","13","2021 (provisional)","2021",23771,155589,15278.1
,"Georgia","13","2022 (provisional and partial)","2022",21484,155589,13808.2
"Total","Georgia","13",,,110647,764469,14473.7
,"Hawaii","15","2018","2018",4260,41044,10379.1
,"Hawaii","15","2019","2019",4337,41668,10408.5
,"Hawaii","15","2020","2020",4339,42146,10295.2
,"Hawaii","15","2021 (provisional)","2021",4433,42146,10518.2
,"Hawaii","15","2022 (provisional and partial)","2022",4470,42146,10606.0
"Total","Hawaii","15",,,21839,209150,10441.8
,"Idaho","16","2018","2018",4497,29419,15286.0
,"Idaho","16","2019","2019",4511,29774,15150.8
,"Idaho","16","2020","2020",5023,30414,16515.4
,"Idaho","16","2021 (provisional)","2021",5116,30414,16821.2
,"Idaho","16","2022 (provisional and partial)","2022",4716,30414,15506.0
"Total","Idaho","16",,,23863,150435,15862.7
,"Illinois","17","2018","2018",35879,266674,13454.3
,"Illinois","17","2019","2019",35143,266969,13163.7
,"Illinois","17","2020","2020",41752,266856,15645.9
,"Illinois","17","2021 (provisional)","2021",36165,266856,13552.3
,"Illinois","17","2022 (provisional and partial)","2022",34729,266856,13014.1
"Total","Illinois","17",,,183668,1334211,13766.0
,"Indiana","18","2018","2018",19288,130810,14745.1
,"Indiana","18","2019","2019",19008,131069,14502.3
,"Indiana","18","2020","2020",22635,131191,17253.5
,"Indiana","18","2021 (provisional)","2021",19995,131191,15241.1
,"Indiana","18","2022 (provisional and partial)","2022",18643,131191,14210.6
"Total","Indiana","18",,,99569,655452,15190.9
,"Iowa","19","2018","2018",11319,79091,14311.4
,"Iowa","19","2019","2019",11162,78674,14187.7
,"Iowa","19","2020","2020",13042,78095,16700.2
,"Iowa","19","2021 (provisional)","2021",11080,78095,14187.8
,"Iowa","19","2022 (provisional and partial)","2022",10732,78095,13742.2
"Total","Iowa","19",,,57335,392050,14624.4
,"Kansas","20","2018","2018",9378,65536,14309.7
,"Kansas","20","2019","2019",9254,65678,14090.0
,"Kansas","20","2020","2020",10570,65487,16140.6
,"Kansas","20","2021 (provisional)","2021",9408,65487,14366.2
,"Kansas","20","2022 (provisional and partial)","2022",9119,65487,13924.9
"Total","Kansas","20",,,47729,327675,14566.0
,"Kentucky","21","2018","2018",11999,80618,14883.8
,"Kentucky","21","2019","2019",12063,81868,14734.7
,"Kentucky","21","2020","2020",13408,82442,16263.6
,"Kentucky","21","2021 (provisional)","2021",12878,82442,15620.7
,"Kentucky","21","2022 (provisional and partial)","2022",11843,82442,14365.3
"Total","Kentucky","21",,,62191,409812,15175.5
,"Louisiana","22","2018","2018",11266,81050,13900.1
,"Louisiana","22","2019","2019",11224,82057,13678.3
,"Louisiana","22","2020","2020",13527,83267,16245.3
,"Louisiana","22","2021 (provisional)","2021",12248,83267,14709.3
,"Louisiana","22","2022 (provisional and partial)","2022",10863,83267,13046.0
"Total","Louisiana","22",,,59128,412908,14319.9
,"Maine","23","2018","2018",4971,33419,14874.8
,"Maine","23","2019","2019",4982,33800,14739.6
,"Maine","23","2020","2020",5152,33625,15321.9
,"Maine","23","2021 (provisional)","2021",5247,33625,15604.5
,"Maine","23","2022 (provisional and partial)","2022",5074,33625,15090.0
"Total","Maine","23",,,25426,168094,15126.1
,"Maryland","24","2018","2018",15540,118403,13124.7
,"Maryland","24","2019","2019",15280,119393,12798.1
,"Maryland","24","2020","2020",17870,120531,14826.1
,"Maryland","24","2021 (provisional)","2021",16138,120531,13389.1
,"Maryland","24","2022 (provisional and partial)","2022",15397,120531,12774.3
"Total","Maryland","24",,,80225,599389,13384.5
,"Massachusetts","25","2018","2018",22525,159852,14091.2
,"Massachusetts","25","2019","2019",22298,159523,13977.9
,"Massachusetts","25","2020","2020",25776,158370,16275.8
,"Massachusetts","25","2021 (provisional)","2021",21652,158370,13671.8
,"Massachusetts","25","2022 (provisional and partial)","2022",21119,158370,13335.2
"Total","Massachusetts","25",,,113370,794485,14269.6
,"Michigan","26","2018","2018",31218,213986,14588.8
,"Michigan","26","2019","2019",31188,213136,14632.9
,"Michigan","26","2020","2020",35765,211713,16893.2
,"Michigan","26","2021 (provisional)","2021",32815,211713,15499.8
,"Michigan","26","2022 (provisional and partial)","2022",30077,211713,14206.5
"Total","Michigan","26",,,161063,1062261,15162.3
,"Minnesota","27","2018","2018",16896,121684,13885.1
,"Minnesota","27","2019","2019",16841,122610,13735.4
,"Minnesota","27","2020","2020",19070,122747,15536.0
,"Minnesota","27","2021 (provisional)","2021",16885,122747,13755.9
,"Minnesota","27","2022 (provisional and partial)","2022",16255,122747,13242.7
"Total","Minnesota","27",,,85947,612535,14031.4
,"Mississippi","28","2018","2018",7549,52341,14422.7
,"Mississippi","28","2019","2019",7566,52298,14467.1
,"Mississippi","28","2020","2020",9079,53315,17029.0
,"Mississippi","28","2021 (provisional)","2021",8268,53315,15507.8
,"Mississippi","28","2022 (provisional and partial)","2022",7693,53315,14429.3
"Total","Mississippi","28",,,40155,264584,15176.7
,"Missouri","29","2018","2018",18500,131884,14027.5
,"Missouri","29","2019","2019",18028,133531,13501.0
,"Missouri","29","2020","2020",21372,133953,15954.8
,"Missouri","29","2021 (provisional)","2021",19223,133953,14350.6
,"Missouri","29","2022 (provisional and partial)","2022",17974,133953,13418.1
"Total","Missouri","29",,,95097,667274,14251.6
,"Montana","30","2018","2018",3170,22695,13967.8
,"Montana","30","2019","2019",3264,22855,14281.3
,"Montana","30","2020","2020",3671,23072,15911.1
,"Montana","30","2021 (provisional)","2021",3469,23072,15035.5
,"Montana","30","2022 (provisional and partial)","2022",3148,23072,13644.2
"Total","Montana","30",,,16722,114766,14570.5
,"Nebraska","31","2018","2018",6145,43078,14264.8
,"Nebraska","31","2019","2019",6035,43058,14016.0
,"Nebraska","31","2020","2020",6801,42630,15953.6
,"Nebraska","31","2021 (provisional)","2021",6071,42630,14241.1
,"Nebraska","31","2022 (provisional and partial)","2022",5772,42630,13539.8
"Total","Nebraska","31",,,30824,214026,14402.0
,"Nevada","32","2018","2018",5688,43362,13117.5
,"Nevada","32","2019","2019",5897,44816,13158.2
,"Nevada","32","2020","2020",6901,46914,14709.9
,"Nevada","32","2021 (provisional)","2021",6658,46914,14191.9
,"Nevada","32","2022 (provisional and partial)","2022",6427,46914,13699.5
"Total","Nevada","32",,,31571,228920,13791.3
,"New Hampshire","33","2018","2018",4419,30488,14494.2
,"New Hampshire","33","2019","2019",4268,30241,14113.3
,"New Hampshire","33","2020","2020",4761,30580,15569.0
,"New Hampshire","33","2021 (provisional)","2021",4412,30580,14427.7
,"New Hampshire","33","2022 (provisional and partial)","2022",4300,30580,14061.5
"Total","New Hampshire","33",,,22160,152469,14534.1
,"New Jersey","34","2018","2018",27506,202293,13597.1
,"New Jersey","34","2019","2019",27068,203104,13327.2
,"New Jersey","34","2020","2020",33075,201369,16425.1
,"New Jersey","34","2021 (provisional)","2021",27273,201369,13543.8
,"New Jersey","34","2022 (provisional and partial)","2022",26022,201369,12922.5
"Total","New Jersey","34",,,140944,1009504,13961.7
,"New Mexico","35","2018","2018",5221,41171,12681.3
,"New Mexico","35","2019","2019",5201,41409,12560.1
,"New Mexico","35","2020","2020",6098,42299,14416.4
,"New Mexico","35","2021 (provisional)","2021",5829,42299,13780.5
,"New Mexico","35","2022 (provisional and partial)","2022",5419,42299,12811.2
"Total","New Mexico","35",,,27768,209477,13255.9
,"New York","36","2018","2018",56726,456319,12431.2
,"New York","36","2019","2019",55559,460001,12078.0
,"New York","36","2020","2020",68698,460519,14917.5
,"New York","36","2021 (provisional)","2021",58623,460519,12729.8
,"New York","36","2022 (provisional and partial)","2022",54618,460519,11860.1
"Total","New York","36",,,294224,2297877,12804.2
,"North Carolina","37","2018","2018",25765,185749,13870.9
,"North Carolina","37","2019","2019",26435,189394,13957.7
,"North Carolina","37","2020","2020",29420,194241,15146.1
,"North Carolina","37","2021 (provisional)","2021",29018,194241,14939.2
,"North Carolina","37","2022 (provisional and partial)","2022",26516,194241,13651.1
"Total","North Carolina","37",,,137154,957866,14318.7
,"North Dakota","38","2018","2018",2393,18796,12731.4
,"North Dakota","38","2019","2019",2475,18813,13155.8
,"North Dakota","38","2020","2020",3017,18633,16191.7
,"North Dakota","38","2021 (provisional)","2021",2283,18633,12252.5
,"North Dakota","38","2022 (provisional and partial)","2022",2196,18633,11785.5
"Total","North Dakota","38",,,12364,93508,13222.4
,"Ohio","39","2018","2018",38617,256337,15064.9
,"Ohio","39","2019","2019",37416,256272,14600.1
,"Ohio","39","2020","2020",43789,255610,17131.2
