"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",49416,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",44250,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",48648,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",44928,Not Applicable,Not Applicable
,"May, 1999","1999/05",46071,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",44127,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",46389,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",44963,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",43609,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",46132,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",44584,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",49814,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",52519,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",45305,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",46283,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",44833,Not Applicable,Not Applicable
,"May, 2000","2000/05",46816,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",45138,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",46999,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",46389,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",45078,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",46986,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",46274,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",50123,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",51022,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",45416,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",49147,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",47343,Not Applicable,Not Applicable
,"May, 2001","2001/05",47947,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",46307,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",47657,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",47960,Not Applicable,Not Applicable
