"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",64890,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",59057,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",64582,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",52760,Not Applicable,Not Applicable
,"May, 1999","1999/05",50012,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",46051,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",47580,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",46848,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",47066,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",52603,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",52417,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",62275,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",73718,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",57632,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",54943,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",50977,Not Applicable,Not Applicable
,"May, 2000","2000/05",50894,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",47645,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",49526,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",49556,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",50388,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",54795,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",55141,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",62956,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",65123,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",55995,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",60986,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",56140,Not Applicable,Not Applicable
,"May, 2001","2001/05",54806,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",51809,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",51097,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",50469,Not Applicable,Not Applicable
,"Sep., 2001","2001/09",50486,Not Applicable,Not Applicable
,"Oct., 2001","2001/10",55928,Not Applicable,Not Applicable
,"Nov., 2001","2001/11",54242,Not Applicable,Not Applicable
,"Dec., 2001","2001/12",58450,Not Applicable,Not Applicable
,"Jan., 2002","2002/01",65300,Not Applicable,Not Applicable
,"Feb., 2002","2002/02",61114,Not Applicable,Not Applicable
,"Mar., 2002","2002/03",65686,Not Applicable,Not Applicable
,"Apr., 2002","2002/04",55561,Not Applicable,Not Applicable
,"May, 2002","2002/05",54029,Not Applicable,Not Applicable
,"Jun., 2002","2002/06",50271,Not Applicable,Not Applicable
,"Jul., 2002","2002/07",51242,Not Applicable,Not Applicable
,"Aug., 2002","2002/08",50907,Not Applicable,Not Applicable
,"Sep., 2002","2002/09",50807,Not Applicable,Not Applicable
,"Oct., 2002","2002/10",55557,Not Applicable,Not Applicable
,"Nov., 2002","2002/11",57016,Not Applicable,Not Applicable
,"Dec., 2002","2002/12",63586,Not Applicable,Not Applicable
,"Jan., 2003","2003/01",65667,Not Applicable,Not Applicable
,"Feb., 2003","2003/02",58100,Not Applicable,Not Applicable
