"Notes","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01","< 1 year","1",2351,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","1-4 years","1-4",469,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","5-9 years","5-9",274,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","10-14 years","10-14",324,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","15-19 years","15-19",1089,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","20-24 years","20-24",1413,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","25-29 years","25-29",1400,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","30-34 years","30-34",2013,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","35-39 years","35-39",3174,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","40-44 years","40-44",4572,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","45-49 years","45-49",5994,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","50-54 years","50-54",7583,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","55-59 years","55-59",9591,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","60-64 years ","60-64",12587,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","65-69 years","65-69",17423,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","70-74 years","70-74",25215,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","75-79 years","75-79",32103,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","80-84 years","80-84",35108,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","85-89 years","85-89",32749,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","90-94 years","90-94",21714,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","95-99 years","95-99",8545,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","100+ years","100+",1882,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Not Stated","NS",31,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","< 1 year","1",2160,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","1-4 years","1-4",451,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","5-9 years","5-9",294,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","10-14 years","10-14",326,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","15-19 years","15-19",966,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","20-24 years","20-24",1123,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","25-29 years","25-29",1303,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","30-34 years","30-34",1855,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","35-39 years","35-39",2922,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","40-44 years","40-44",4148,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","45-49 years","45-49",5430,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","50-54 years","50-54",6816,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","55-59 years","55-59",8454,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","60-64 years ","60-64",11233,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","65-69 years","65-69",16097,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","70-74 years","70-74",23254,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","75-79 years","75-79",29741,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","80-84 years","80-84",32518,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","85-89 years","85-89",29921,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","90-94 years","90-94",19801,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","95-99 years","95-99",7679,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","100+ years","100+",1656,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Not Stated","NS",26,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","< 1 year","1",2399,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","1-4 years","1-4",467,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","5-9 years","5-9",286,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","10-14 years","10-14",331,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","15-19 years","15-19",1086,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","20-24 years","20-24",1413,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","25-29 years","25-29",1450,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","30-34 years","30-34",1958,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","35-39 years","35-39",3050,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","40-44 years","40-44",4594,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","45-49 years","45-49",5897,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","50-54 years","50-54",7401,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","55-59 years","55-59",9384,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","60-64 years ","60-64",12415,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","65-69 years","65-69",17292,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","70-74 years","70-74",25223,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","75-79 years","75-79",32349,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","80-84 years","80-84",35158,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","85-89 years","85-89",32984,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","90-94 years","90-94",21281,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","95-99 years","95-99",8415,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","100+ years","100+",1902,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Not Stated","NS",30,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","< 1 year","1",2337,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","1-4 years","1-4",418,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","5-9 years","5-9",260,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","10-14 years","10-14",335,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","15-19 years","15-19",1051,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","20-24 years","20-24",1327,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","25-29 years","25-29",1439,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","30-34 years","30-34",1952,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","35-39 years","35-39",2917,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","40-44 years","40-44",4325,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","45-49 years","45-49",5552,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","50-54 years","50-54",6812,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","55-59 years","55-59",8512,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","60-64 years ","60-64",11041,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","65-69 years","65-69",15443,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","70-74 years","70-74",22075,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","75-79 years","75-79",27947,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","80-84 years","80-84",30017,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","85-89 years","85-89",27128,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","90-94 years","90-94",17509,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","95-99 years","95-99",6678,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","100+ years","100+",1445,Not Applicable,Not Applicable
,"Apr., 1999","1999/04","Not Stated","NS",24,Not Applicable,Not Applicable
,"May, 1999","1999/05","< 1 year","1",2347,Not Applicable,Not Applicable
,"May, 1999","1999/05","1-4 years","1-4",436,Not Applicable,Not Applicable
,"May, 1999","1999/05","5-9 years","5-9",287,Not Applicable,Not Applicable
,"May, 1999","1999/05","10-14 years","10-14",346,Not Applicable,Not Applicable
,"May, 1999","1999/05","15-19 years","15-19",1243,Not Applicable,Not Applicable
,"May, 1999","1999/05","20-24 years","20-24",1395,Not Applicable,Not Applicable
,"May, 1999","1999/05","25-29 years","25-29",1522,Not Applicable,Not Applicable
,"May, 1999","1999/05","30-34 years","30-34",2006,Not Applicable,Not Applicable
,"May, 1999","1999/05","35-39 years","35-39",3138,Not Applicable,Not Applicable
,"May, 1999","1999/05","40-44 years","40-44",4398,Not Applicable,Not Applicable
,"May, 1999","1999/05","45-49 years","45-49",5632,Not Applicable,Not Applicable
,"May, 1999","1999/05","50-54 years","50-54",6970,Not Applicable,Not Applicable
,"May, 1999","1999/05","55-59 years","55-59",8697,Not Applicable,Not Applicable
,"May, 1999","1999/05","60-64 years ","60-64",11070,Not Applicable,Not Applicable
,"May, 1999","1999/05","65-69 years","65-69",15111,Not Applicable,Not Applicable
,"May, 1999","1999/05","70-74 years","70-74",21680,Not Applicable,Not Applicable
,"May, 1999","1999/05","75-79 years","75-79",27008,Not Applicable,Not Applicable
,"May, 1999","1999/05","80-84 years","80-84",28653,Not Applicable,Not Applicable
,"May, 1999","1999/05","85-89 years","85-89",25809,Not Applicable,Not Applicable
,"May, 1999","1999/05","90-94 years","90-94",16522,Not Applicable,Not Applicable
,"May, 1999","1999/05","95-99 years","95-99",6287,Not Applicable,Not Applicable
,"May, 1999","1999/05","100+ years","100+",1394,Not Applicable,Not Applicable
,"May, 1999","1999/05","Not Stated","NS",31,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","< 1 year","1",2296,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","1-4 years","1-4",472,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","5-9 years","5-9",323,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","10-14 years","10-14",381,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","15-19 years","15-19",1247,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","20-24 years","20-24",1435,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","25-29 years","25-29",1473,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","30-34 years","30-34",1922,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","35-39 years","35-39",3090,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","40-44 years","40-44",4233,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","45-49 years","45-49",5464,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","50-54 years","50-54",6721,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","55-59 years","55-59",8159,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","60-64 years ","60-64",10383,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","65-69 years","65-69",14332,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","70-74 years","70-74",20198,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","75-79 years","75-79",25738,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","80-84 years","80-84",26200,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","85-89 years","85-89",23891,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","90-94 years","90-94",15094,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","95-99 years","95-99",5817,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","100+ years","100+",1249,Not Applicable,Not Applicable
,"Jun., 1999","1999/06","Not Stated","NS",35,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","< 1 year","1",2321,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","1-4 years","1-4",470,Not Applicable,Not Applicable
