"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",552931,184286959,300.0
,"2000","2000",562743,186176778,302.3
,"2001","2001",577813,189228407,305.4
,"2002","2002",591268,191539956,308.7
,"2003","2003",603629,193615754,311.8
,"2004","2004",602045,195950177,307.2
,"2005","2005",619775,198347755,312.5
,"2006","2006",627314,200699096,312.6
,"2007","2007",627956,202723881,309.8
,"2008","2008",633567,204408961,310.0
,"2009","2009",638458,206060773,309.8
,"2010","2010",635852,207250341,306.8
,"2011","2011",649870,208996670,310.9
,"2012","2012",652004,209624586,311.0
,"2013","2013",659373,210335642,313.5
,"2014","2014",671689,211545890,317.5
,"2015","2015",687378,212641181,323.3
