"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",646141,4154018,15554.6
,"2000","2000",658171,4239587,15524.4
,"2001","2001",665531,4312494,15432.6
,"2002","2002",681076,4368808,15589.5
,"2003","2003",687852,4466176,15401.4
,"2004","2004",671773,4545883,14777.6
,"2005","2005",703169,4693299,14982.4
,"2006","2006",701992,4865929,14426.7
,"2007","2007",713647,5039545,14160.9
,"2008","2008",744691,5195840,14332.4
,"2009","2009",733178,5367301,13660.1
,"2010","2010",765474,5493433,13934.3
,"2011","2011",790545,5737173,13779.3
,"2012","2012",805307,5887330,13678.6
,"2013","2013",825198,6040789,13660.4
,"2014","2014",826226,6162231,13407.9
,"2015","2015",859701,6287161,13673.9
